ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5008804,1,1,1,1,0,0,0,0,2,15,427500.0,32.86857361889703,12.435573625741801,Working,Higher education,Civil marriage,Rented apartment,Other,1
5008806,1,1,1,0,0,0,0,0,2,29,112500.0,58.79381506807121,3.1047865459249677,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5008808,0,0,1,0,1,1,0,0,1,4,270000.0,52.32140290355038,8.353354278321937,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
5008812,0,0,1,0,0,0,1,0,1,20,283500.0,61.504343004989835,0.0,Pensioner,Higher education,Separated,House / apartment,Other,0
5008815,1,1,1,1,1,1,0,0,2,5,270000.0,46.1939670219101,2.1054504883741623,Working,Higher education,Married,House / apartment,Accountants,0
5008819,1,1,1,0,0,0,0,0,2,17,135000.0,48.67451077024169,3.269060966344278,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5008825,0,1,0,0,0,0,0,0,2,25,130500.0,29.210729857560388,3.019911428708324,Working,Incomplete higher,Married,House / apartment,Accountants,1
5008830,0,0,1,0,1,0,0,0,2,31,157500.0,27.463945187101718,4.021985393266117,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5008834,0,0,1,0,0,0,0,1,2,44,112500.0,30.02936405264995,4.435409351321383,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5008836,1,1,1,0,0,0,0,3,5,24,270000.0,34.74130201167717,3.1841858491276342,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008838,1,0,1,0,0,0,0,1,3,39,405000.0,32.42229477675791,5.519620526088831,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008844,1,1,1,0,1,0,0,0,2,43,112500.0,56.132569457278386,12.183686181098858,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5008854,0,1,1,0,0,0,0,2,4,39,135000.0,43.15215233714587,8.687378933174534,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008868,0,0,1,0,0,0,0,1,3,24,211500.0,44.38694839729769,19.436401842611414,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5008872,1,1,1,0,1,0,0,0,2,10,360000.0,45.64090980649842,14.686133185486355,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1
5008873,0,0,1,0,0,1,0,2,4,21,126000.0,33.98016386373437,4.854309123390624,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008884,0,0,1,0,0,0,1,0,1,40,315000.0,55.26739084307001,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
