Date,Close/Last,Open,High,Low
06/28/2024,5460.48,5488.48,5523.64,5451.12
06/27/2024,5482.87,5473.59,5490.81,5467.54
06/26/2024,5477.90,5460.71,5483.14,5451.87
06/25/2024,5469.30,5460.73,5472.88,5446.56
06/24/2024,5447.87,5459.58,5490.66,5447.59
06/21/2024,5464.62,5466.77,5478.31,5452.03
06/20/2024,5473.17,5499.99,5505.53,5455.56
06/18/2024,5487.03,5476.15,5490.38,5471.32
06/17/2024,5473.23,5431.11,5488.50,5420.40
06/14/2024,5431.60,5424.08,5432.39,5403.75
06/13/2024,5433.74,5441.93,5441.93,5402.51
06/12/2024,5421.03,5409.13,5447.25,5409.13
06/11/2024,5375.32,5353.00,5375.95,5327.25
06/10/2024,5360.79,5341.22,5365.79,5331.52
06/07/2024,5346.99,5343.81,5375.08,5331.33
06/06/2024,5352.96,5357.80,5362.35,5335.36
06/05/2024,5354.03,5314.48,5354.16,5297.64
06/04/2024,5291.34,5278.24,5298.80,5257.63
06/03/2024,5283.40,5297.15,5302.11,5234.32
05/31/2024,5277.51,5243.21,5280.33,5191.68
05/30/2024,5235.48,5259.77,5260.21,5222.10
05/29/2024,5266.95,5278.73,5282.27,5262.70
