State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Andhra Pradesh ,1610,1831,1933,2588,3119,3413,4068,4294,5223,5768,6581,7758,8984,10541,12459,14301,16265,17745,21958,22767,28119,31074,34373,40120,47153,48306,56648,74875,80803.89,85074.79,100635.64,115881.55,129440.92,136629.27,111067.46,112048.99
Arunachal Pradesh,–,–,–,–,–,–,251,348,326,392,398,443,503,575,691,803,891,972,1004,1098,1206,1381,1363,2192,2085,2437,2786,3068,4272.59,5236.62,5579.12,6665.17,6353.56,7781.63,11482.51,12712.91
Assam,758,618,691,942,1165,1207,1586,1794,1855,2266,2689,2763,3136,3620,3998,4390,4267,5022,5204,7086,7631,8550,8936,10596,14745,12088,13485,15150,17485.86,24968.3,25946.97,30268.93,33747.64,37178.4,64979.96,63602.17
Bihar,1791,1871,1940,2144,2408,2966,3360,3914,4324,5219,6217,6805,7743,8433,8555,9417,9407,10216,12171,19548,16946,14869,17752,19134,20055,22568,27136,31573,37181.25,42796.03,50704.52,60180.03,69206.57,80405.17,132186.89,120685.32
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1917,5624,6822,8951,9647,9725,11991,15029,17713.97,21558.72,23564.68,28720.69,34819.25,39441.94,55979.35,65810.7
Goa,–,–,–,–,–,–,255,258,284,327,395,466,499,558,601,943,946,1270,1458,1614,1962,2353,2401,2416,2541,2849,3176,3559,4517.43,5524.45,6228.9,6953.57,7346.45,8149.5,10131.41,13102.77
Gujarat,1442,1565,1949,2178,2463,2625,3323,4089,4374,4844,5470,6908,7987,8408,9498,10811,12576,14875,19172,21466,27175,25651,26921,32986,34900,34235,39200,42681,51897.42,60335.23,71606.61,79414.19,98281.32,104720.58,125490.25,137518.73
Haryana,607,696,917,960,1120,1315,1509,1663,1879,2121,2397,2727,2956,4109,6912,6131,7831,7806,8581,8359,9159,10728,10582,15122,14442,14830,19638,22079,26368.17,32561.93,34434.23,39751.43,46511.92,48928.65,63772.43,71674.8
Himachal Pradesh,338,297,353,385,479,588,648,805,985,992,1118,2341,1447,1691,2009,2350,2633,3453,4167,4714,5315,5670,6616,8096,8034,8587,10091,10614,12492.35,14030.92,16131.28,17328.51,20714.59,21271.18,24894.61,28338.62
Jammu & Kashmir,428,548,504,620,747,889,989,1269,1404,1611,2021,2286,2321,2593,3339,3573,4021,4893,5849,7108,7829,8050,8738,8817,11127,13467,13873,17046,18749.89,22518.56,25568.92,29856.23,31778.03,31908.7,42471.21,45919.52
