State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,
Andhra Pradesh ,8191,10041,10844,12564,13576,15266,16404,19608,24732,28284,33336,40659,44395,57867,68923,79854,90147,95782,114937,128797,144723,156711,167096,190017,134767,147606,174064,212361,237383,273327,319864,379229.63,410960.81,468493.95,532921.99,603376.25,
Arunachal Pradesh,107,142,166,189,221,269,305,330,387,412,508,629,741,893,970,1184,1212,1337,1515,1612,1787,2104,2071,2368,3488,3755,4108,4810,5687,7474,9021,11062.68581,12546.64971,14607.35643,16389.23232,19472.53454,
Assam,2516,3228,3657,4347,5113,5673,6176,7001,7600,9084,10621,11848,13048,15143,17551,19411,21017,22806,25558,34833,36814,38313,43407,47305,53398,59385,64692,71076,81074,95975,112688,143174.91,156864.24,177745.22,198098,NA,
Bihar,7353,8562,9635,10945,13004,14295,16261,17638,21181,22610,26429,29519,31914,22812,25945,24483,32541,33662,39033,50174,57242,57657,64965,66174,77781,82490,100737,113680,142279,162923,203555,247143.9562,282367.9373,317101.3413,373919.8816,413503.2077,
Chhattisgarh,,,,,,,,,,,,,,16194,18087,19749,21191,27716,30551,34323,32093,35069,37967,42449,47862,53381,66875,80255,96972,99364,119420,158073.8309,177511.32,206785.73,236317.82,NA,
Goa,398,436,519,549,666,655,771,856,978,1128,1257,1551,1872,2397,2838,3319,3965,4921,6075,6330,6757,7097,8100,9301,12713,14327,16523,19565,25414,29126,33605,42252.73688,38647.28947,42243.44922,45547.55379,NA,
Gujarat,7427,9253,9887,12681,13311,13988,16174,16339,22349,24777,27996,30632,40316,49194,63516,71886,85837,91188,105305,109861,111139,123573,141534,168080,203373,244736,283693,329285,367912,431262,521519,615606.0723,724495.7885,807623.1973,895926.713,NA,
Haryana,3386,3911,4485,4890,5382,6552,6889,7739,10015,11147,13636,16339,17343,22131,26245,29789,35642,38649,43646,51375,58183,65505,72528,82862,95795,108885,128732,151596,182522,223600,260621,300755.5681,350406.6094,395747.7261,441864.263,NA,
Himachal Pradesh,794,925,987,1127,1139,1372,1517,1722,2157,2436,2815,3317,3824,4783,5825,6698,7755,8837,10696,14112,15661,17148,18905,20721,24077,27127,30274,33963,41483,48189,57452,72719.83498,82819.77858,94764.15963,104368.7884,NA,
Jammu & Kashmir,1186,1361,1561,1782,2021,2256,2620,2524,3065,3299,3614,4110,4558,6343,6977,8097,9124,10286,11415,15660,16700,18039,20326,22194,27305,29920,33230,37099,42315,48385,58073,77944.98239,86537.33448,97400.30947,102680.5109,NA,
Jharkhand,,,,,,,,,,,,,,41079,47915,56215,65176,73046,87841,101247,108362,112847,120889,130990,59758,60901,66935,83950,87794,100621,127281,150917.59,174723.69,188566.62,217107.18,241955,
Karnataka,6210,7169,8012,9610,10831,11575,13271,15158,17709,20214,23300,30092,33036,26326,31877,38762,44460,49484,56204,69168,72659,77924,86895,96698,166747,195904,227237,270629,310312,337559,410703,603777.5823,692224.0719,818167.1863,920061.4466,1040147.944,
Kerala,4286,4610,5373,6272,6977,7520,8536,9578,10673,12213,14098,17530,19937,37971,42339,47841,55049,60062,69216,80132,79203,86745,86832,102839,119264,136842,153785,175141,202783,231999,263773,364047.8726,412312.9962,465039.756,526774.3755,NA,
Madhya Pradesh,7788,8564,9822,11471,11871,13905,14513,18397,21663,24492,30472,32609,36583,14171,15562,17177,19404,21658,24061,27249,25846,29539,32493,38802,112927,124276,144577,161479,197276,227557,263396,315560.91,380926.18,435789.86,484537.56,565053.43,
Maharashtra,16631,18738,20315,23457,25558,29616,32009,37754,45160,55674,64433,73406,90921,113320,130073,157818,179311,195168,209699,247830,252283,273188,299479,340600,415480,486766,584498,684817,753969,855751,1049150,1272966.952,1448465.903,1647506.471,1792121.649,NA,
Manipur,218,265,285,337,382,418,479,604,680,720,821,986,1093,1308,1405,1627,1898,2158,2430,3260,3112,3369,3506,3979,5133,5718,6137,6783,7399,8254,9137,12914.6091,13747.7938,16198.4303,18042.7571,NA,
Meghalaya,200,230,256,298,343,393,447,534,589,761,890,1037,1152,1511,1665,1995,2198,2497,2939,3578,3961,4478,4763,5280,6559,7265,8625,9735,11617,12709,14583,19917.74838,21872.02373,22938.23608,24064.99005,27304.50833,
Mizoram,68,78,87,106,135,181,214,286,288,312,341,465,533,711,739,937,1072,1123,1246,1550,1737,1947,2166,2325,2682,2971,3290,3816,4577,5260,6388,7258.69,8361.93,10293.3674,11559.32621,NA,
Nagaland,119,147,180,209,243,273,308,395,477,545,655,786,918,1375,1596,1814,2024,2324,2385,2802,3399,3972,4467,4812,5839,6588,7257,8075,9436,10527,11759,11839.11899,13618.77437,16611.8464,18414.24099,NA,
Odisha,3708,4162,4448,5708,5694,6823,7427,7614,9613,11025,10904,14012,15138,18537,22224,27118,26504,32235,35581,42986,43351,46756,49713,61008,77729,85096,101839,129274,148491,162946,197530,225283.4816,255272.6132,277270.686,309807.2182,332329.1338,
Punjab,5025,5954,6602,7326,8354,9506,10429,12255,14088,16980,18883,22842,26275,30248,34218,38615,44198,48704,55736,67162,74677,79611,82249,90089,96839,108637,127123,152245,174039,197500,226204,266628.2913,297733.8157,334714.2895,368010.8889,NA,
Rajasthan,4637,5461,6246,7863,7936,8797,9957,10925,14555,15794,20710,23012,27047,32970,41487,47313,57516,64061,73180,82720,82435,91771,88550,111606,127746,142236,171043,194822,230949,265825,338348,436465.2851,494003.8484,549700.6014,612194.4688,NA,
Sikkim,52,59,70,80,102,122,145,167,185,204,234,259,267,403,440,520,592,680,787,896,1014,1136,1276,1430,1739,1993,2161,2506,3229,6133,7412,11165.09684,12338.42038,13861.90232,15209.32709,16636.78419,
Tamil Nadu,8081,9712,10025,11646,13658,15648,17513,20693,23199,27134,31339,36957,43010,57549,68666,78205,89237,103550,118209,134185,146796,148861,158155,175371,219003,257833,310526,350819,401336,479733,584896,751485.0883,855480.8552,971089.8718,1092563.733,1212667.991,
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,89946,108335,126971,152452,189382,203508,263898,361700.68,404104.79,460171.51,522001.08,583117.25,
Tripura,286,339,386,426,474,524,580,668,853,936,1031,1165,1231,1777,1881,2296,2757,3298,3814,4867,5499,6370,6733,7551,8904,9826,10914,11797,13573,15403,17868,19208.41,21663.2,25592.83,29666.61608,NA,
Uttar Pradesh,15554,16887,19724,21896,24211,27748,30657,34352,41102,46926,55506,64677,70704,80451,94019,106249,127778,137561,153853,175159,181512,190269,206855,226972,260841,293172,336317,383026,444685,523394,600286,724048.5532,822902.9887,944145.7151,1043371.15,1153794.59,
Uttarakhand,,,,,,,,,,,,,,5686,6914,7529,8242,8984,9946,12621,14501,15826,18473,20439,24786,29968,36795,45856,56025,70730,83969,115523.49,131835.22,149816.6,161985.29,184091.31,
West Bengal,10345,11575,13049,15302,17676,19033,20803,25078,27107,30623,34797,40380,43290,53424,62032,73865,82075,97966,115516,135376,143725,157144,168000,189259,208656,230245,261682,299483,341942,398880,460959,528316,603311,706561,800868,NA,
