Age,Salary,Savings,Investment_Return,Years_to_Retirement,Expected_Retirement_Expenses
63,74327,15728.928361900893,0.07559058989407673,38,70133.89520611323
53,98904,22029.00841874964,0.06259941595497173,3,74578.17525541218
39,33797,8774.233947488503,0.05590824573397665,38,36583.81280796392
32,77882,33193.24054153367,0.026751390443563387,3,66632.9283664933
45,43718,6824.6614436689315,0.05194949987157528,30,52322.161400436016
63,64560,25772.3580147933,0.09281077094257074,1,42319.0969640037
43,106589,24770.173197216838,0.08464181039252423,30,113859.29900496645
47,52116,16720.632828718153,0.03728410920093497,32,52335.98372716981
35,66244,22168.10678736954,0.05732862277577727,28,70251.71552019041
35,131721,28686.447902623637,0.08533785620468357,21,103337.47931507904
48,31645,8882.018675931966,0.025390764382841803,13,28329.63858990364
60,77523,18284.887088496038,0.050991406853492745,27,83562.43798472462
64,147718,11981.370609461774,0.08814729894991581,36,109241.12425462168
48,49256,12152.658276202725,0.052311829133609905,7,36233.69468461311
27,131376,12326.619453051962,0.02620917157851527,22,122262.52202404501
46,130158,30230.41372501342,0.06340274948258012,10,118982.39303066817
26,83173,26350.310931143955,0.08893939959346363,39,63989.76987099292
48,67430,20952.975998229515,0.06722284343625277,15,52517.544668933275
54,69282,24122.577353514505,0.03810232865713854,15,53119.00115836636
62,149719,13904.055969256413,0.05073916961099051,4,159137.4086462109
26,93374,32069.810167671596,0.056009868894554574,32,92546.75485261751
45,98244,18712.203156938587,0.06634130830564215,23,108014.39626017411
57,41694,9571.71975520832,0.08074808206020904,6,49419.22346551489
36,86264,37619.19679377473,0.027909889411250832,24,76300.38531216397
46,105060,5679.930416032747,0.09117216264140532,20,67240.11550827387
49,127416,40108.732840376964,0.020984776241286047,37,80126.23789407594
51,87545,27963.736924538764,0.04960418677394042,20,68057.39751782033
52,148195,33862.097999855374,0.022193624797812613,12,171836.0672514519
40,69224,10844.807371210358,0.051437938027623295,33,63265.7403103823
39,132516,20619.929184420467,0.062065007909865896,28,101119.23717892464
27,127945,57277.05515813524,0.06093451092652094,8,107409.83731422742
61,43224,10758.927689575607,0.033250267762261226,1,41458.6049534757
31,70738,14069.803291607619,0.07165924080764899,37,70155.81175041282
45,55150,13895.037438560845,0.023582276040373457,22,38183.19657871633
33,93731,32920.73427363433,0.08095254561059323,6,111185.49364455351
63,79688,9211.172234629497,0.0957315547194837,21,73859.88553428267
42,129929,32773.96994896858,0.04718150617208943,32,88535.30846545984
28,138618,43602.01008956083,0.06137915053714656,35,157495.15892900064
49,103509,49359.56151479267,0.05031282224470515,15,66740.84961756035
38,38577,6312.643912105552,0.020536831224324797,5,44156.82588341334
33,38070,8058.00418792716,0.05086996023160928,6,45605.55272095293
50,38666,8534.025657073196,0.08333762074090773,25,39449.33756771123
26,87761,28302.235413882652,0.06767910737467854,29,93225.73114120464
44,66368,13972.416803271475,0.028100793169212716,7,53252.46879040448
52,36783,10670.026116734416,0.08777115917550281,13,42850.212824467366
31,141530,56867.55342233516,0.06248682759081943,38,129900.25057399037
32,71914,26422.894826743253,0.0873378689395741,18,74749.78964916994
59,100507,25213.7780997682,0.06641772150280235,2,116031.77652185697
