Symbol,Name,Sector,industry
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation,Basic Industries,Aluminum
AACG,ATA Creativity Global,Consumer Services,Other Consumer Services
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp,Finance,Real Estate
AAME,Atlantic American Corporation,Finance,Life Insurance
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores
AAPL,Apple Inc.,Technology,Computer Manufacturing
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AAU,"Almaden Minerals, Ltd.",Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,n/a,n/a
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers
ABB,ABB Ltd,Consumer Durables,Electrical Products
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp,Finance,Major Banks
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,n/a,n/a
ABR^B,Arbor Realty Trust,n/a,n/a
ABR^C,Arbor Realty Trust,n/a,n/a
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service
ACA,"Arcosa, Inc.",Capital Goods,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ACAM,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMU,Acamar Partners Acquisition Corp.,Finance,Business Services
ACAMW,Acamar Partners Acquisition Corp.,Finance,Business Services
ACB,Aurora Cannabis Inc.,Consumer Durables,Specialty Chemicals
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation,Consumer Durables,Publishing
ACCP,"Accelerated Pharma, Inc.",n/a,n/a
ACEL,"Accel Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
ACEL.WS,"Accel Entertainment, Inc.",n/a,n/a
ACER,Acer Therapeutics Inc.,Health Care,Major Pharmaceuticals
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities
ACHV,"Achieve Life Sciences, Inc. ",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors
ACIU,AC Immune SA,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components
ACM,AECOM,Consumer Services,Military/Government/Technical
ACMR,"ACM Research, Inc.",Technology,Industrial Machinery/Components
ACN,Accenture plc,Miscellaneous,Business Services
ACNB,ACNB Corporation,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,Aberdeen Income Credit Strategies Fund,n/a,n/a
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals
ACT,AdvisorShares Vice ETF,n/a,n/a
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies
ACTT,Act II Global Acquisition Corp.,Consumer Non-Durables,Specialty Foods
ACTTU,Act II Global Acquisition Corp.,Consumer Non-Durables,Specialty Foods
ACTTW,Act II Global Acquisition Corp.,Consumer Non-Durables,Specialty Foods
ACU,Acme United Corporation.,Capital Goods,Industrial Machinery/Components
ACV,AllianzGI Diversified Income & Convertible Fund,n/a,n/a
ACWI,iShares MSCI ACWI Index Fund,n/a,n/a
ACWX,iShares MSCI ACWI ex US Index Fund,n/a,n/a
ACY,AeroCentury Corp.,Technology,Diversified Commercial Services
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc.,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts
ADCT,ADC Therapeutics SA,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",Health Care,Major Pharmaceuticals
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,n/a,n/a
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment
ADTX,"ADiTx Therapeutics, Inc.",n/a,n/a
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a
ADXN,Addex Therapeutics Ltd,Health Care,Major Pharmaceuticals
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",Energy,Oil Refining/Marketing
AEB,Aegon NV,Finance,Life Insurance
AEE,Ameren Corporation,Public Utilities,Power Generation
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",n/a,n/a
AEFC,Aegon Funding Company LLC,Finance,Life Insurance
AEG,Aegon NV,Finance,Life Insurance
AEGN,Aegion Corp,Basic Industries,Water Supply
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance
AEL^A,American Equity Investment Life Holding Company,n/a,n/a
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
AEP^B,"American Electric Power Company, Inc.",n/a,n/a
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AES,The AES Corporation,Basic Industries,Electric Utilities: Central
AESE,"Allied Esports Entertainment, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services
AEYE,"AudioEye, Inc.",Technology,Computer Software: Prepackaged Software
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals
AFB,Alliance National Municipal Income Fund Inc,n/a,n/a
AFC,Ares Capital Corporation,n/a,n/a
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGB,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGC,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGD,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products
AFIN,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
AFINP,"American Finance Trust, Inc.",Consumer Services,Real Estate Investment Trusts
