Client_ID,Age,Income,Investment_Experience,Risk_Tolerance,Investment_Amount,Financial_GOAL,Returns
1,56,91228,1,Medium,33312,Buying Home,0.2827203540505826
2,69,78984,2,Low,27677,Travel,0.17070796176972133
3,46,70774,0,High,36289,Retirement,0.09300837985705698
4,32,32568,4,High,36024,Retirement,0.097210263108722
5,60,92592,0,Low,47675,Retirement,-0.06668623552189615
6,25,97563,7,Low,9777,Buying Home,-0.06331834109660757
7,38,32695,0,High,34749,Buying Home,0.1409763703604476
8,56,78190,0,High,20338,Retirement,0.12148122093832031
9,36,35258,1,Medium,7491,Travel,-0.014908841990308425
10,40,117538,1,High,32236,Buying Home,0.27847781715267617
11,28,69504,5,Medium,19599,Retirement,0.21251842018848102
12,28,63159,6,Medium,24508,Retirement,-0.054614159193020796
13,41,43986,4,Medium,8051,Travel,0.27237164227491706
14,53,91858,0,Medium,26606,Education,0.28969928341376405
15,57,42666,0,Medium,26699,Buying Home,0.2983724968121316
16,41,68660,2,Low,5876,Travel,-0.07765153812905999
17,20,33561,1,High,37093,Retirement,0.19481422271640356
18,39,56854,4,Medium,9142,Retirement,0.11836630806599557
19,19,94505,9,High,20202,Travel,0.18233259355147782
20,41,82251,5,High,44734,Buying Home,0.28746077758965394
21,61,52662,6,Medium,12079,Education,0.1752120040700156
22,47,38392,3,Low,12987,Education,0.23478554969494955
23,55,60535,6,Medium,44567,Retirement,0.2467474821243366
24,19,108603,7,Low,33940,Buying Home,0.23539230550559406
25,38,82256,0,High,42233,Education,0.07043659001877645
26,50,119135,5,Low,22019,Buying Home,-0.010969432971587784
27,29,65222,7,Low,23077,Buying Home,0.058660640781700746
28,39,107373,4,Low,31258,Retirement,0.2567587635107107
29,61,109575,3,High,26136,Education,-0.041358071323189805
30,42,114651,1,High,13311,Travel,0.10533046747695715
31,66,93335,5,Low,22214,Retirement,-0.0067087710301888814
32,44,40965,5,Low,19098,Education,0.13252216689071292
33,59,54538,0,Medium,33251,Education,0.24525540879560156
34,45,100592,8,Low,42945,Education,0.2521439874553667
35,33,38110,5,Medium,30945,Education,-0.0053259225271685
36,32,109309,2,Low,30316,Education,0.26307748253941854
37,64,57266,3,Medium,37217,Buying Home,0.13675549552851374
38,68,82992,3,High,13308,Retirement,0.04008729868012542
39,61,112948,2,Low,10949,Buying Home,0.18327247823327994
40,69,36910,9,Low,6150,Travel,0.09266679518564613
41,20,30206,2,Low,28944,Education,0.0511950360489018
42,54,117054,2,Low,39699,Retirement,0.18203374571866396
43,68,117897,3,Medium,14204,Education,-0.0005103382278848212
44,24,53419,6,Low,6081,Retirement,0.032101011607639396
45,38,80636,3,High,34305,Buying Home,0.07378073779530855
46,26,80015,8,High,21896,Retirement,0.00147286954925549
47,56,84268,0,Low,12805,Travel,0.06208083471256684
48,35,117939,7,High,10237,Travel,0.12858921008200427
49,21,48141,6,Low,25056,Retirement,0.19638954436426734
50,42,110356,1,Low,8343,Retirement,0.2068779412434287
51,31,101910,7,High,18500,Retirement,0.2291161407506773
52,67,86044,0,Low,34375,Retirement,0.1976846627773192
53,26,97214,8,High,14662,Travel,0.1724157708387636
54,43,63827,8,Medium,21964,Education,-0.004997411483012026
55,19,85820,1,Low,13130,Retirement,0.06008915714880994
56,37,92623,6,Medium,24531,Retirement,0.09108595635209107
57,45,111734,9,High,6679,Travel,-0.0668434713226583
58,64,105450,2,Medium,8506,Travel,0.11134804851888366
59,24,52299,6,Medium,18284,Buying Home,0.07453433264262241
60,61,73585,9,High,12253,Retirement,0.22084369961069364
61,25,94044,8,Medium,24128,Buying Home,0.2911602675017083
62,64,72557,3,Medium,32932,Travel,0.12240201545703383
63,52,79080,0,High,14435,Travel,0.02907455531103348
64,31,32693,1,Medium,49078,Education,-0.0826396866807309
65,34,99163,0,High,18296,Retirement,0.2698573320894384
66,53,55939,4,Medium,35445,Buying Home,0.2676462861114638
67,67,78925,4,High,18245,Travel,0.0011960671956964541
68,57,72941,6,High,34124,Travel,0.17816444924265903
69,21,51834,8,Medium,34899,Buying Home,-0.0698261811640923
70,19,48047,8,Medium,48919,Education,-0.03351382723629884
71,23,56105,2,Medium,48225,Travel,-0.013276357365403516
72,59,105766,2,Low,40247,Retirement,0.01779757873577195
73,21,45707,2,Low,34222,Travel,0.2983325500117483
74,46,51976,3,Low,31211,Retirement,0.17877002234552594
75,35,74262,7,High,42220,Buying Home,0.05368073255168798
76,43,53776,5,Medium,31646,Retirement,0.1948402823372077
77,61,60080,7,High,43649,Buying Home,0.2661017366676426
78,51,96842,0,Low,28049,Retirement,0.2834809629631385
79,27,91373,7,Medium,19069,Buying Home,-0.07685444089691705
80,53,36776,3,High,37580,Retirement,0.057808719443251944
81,31,85016,0,Medium,36843,Education,-0.05729757362564625
82,48,39474,7,High,7849,Retirement,0.034264025918785274
83,65,88053,3,Medium,45158,Retirement,-0.032128038441773796
84,32,51959,5,Low,28289,Education,0.15873934466748954
85,25,35530,7,Low,49690,Travel,0.05530735359594888
86,31,33748,3,Medium,40257,Travel,-0.008242101718020131
87,40,43545,2,High,14823,Retirement,0.006375169985695581
88,57,96199,8,Low,46975,Education,0.04413803808210731
89,38,64766,2,Low,14540,Retirement,0.003979945141705077
90,33,103530,8,Low,21364,Buying Home,0.08129633873153241
91,62,91087,1,Medium,9611,Buying Home,-0.08707361955613982
92,35,98840,1,Medium,32663,Retirement,0.011905402867578282
93,64,84384,1,High,43646,Travel,0.0644826883488745
94,41,81005,5,High,35977,Travel,0.14111275280931942
95,43,76576,2,High,34168,Retirement,0.00838305700605195
96,42,69353,8,Medium,30471,Retirement,-0.04672594991050012
97,62,92003,3,Medium,27687,Buying Home,-0.06951984816033474
98,58,113211,0,High,5851,Travel,0.27621273085415343
99,46,82733,3,High,23071,Retirement,0.06665562309539169
100,32,95318,0,Medium,11833,Buying Home,0.1324650484723305
