Period,Central bank interest rate diskonto average,Inflation,Price level
1908,5.877,1.5,95
1909,4.6809,-1.0,94
1910,4.624,0.0,94
1911,4.5625,3.0,97
1912,4.7969,2.1,99
1913,5.50,0.3,99
1914,5.2392,1.3,100
1915,5.5039,14.9,115
1916,5.2305,13.0,130
1917,5.6627,26.2,164
1918,6.9333,47.0,241
1919,6.3819,10.4,266
1920,6.9341,1.9,271
1921,6.4806,-18.5,221
1922,4.8438,-16.7,184
1923,4.6294,-5.4,174
1924,5.50,0.0,174
1925,5.1686,1.7,177
1926,4.50,-3.4,171
1927,4.1512,-1.2,169
1928,4.0059,0.6,170
1929,4.7333,-1.2,168
1930,3.7146,-3.6,162
1931,4.098,-3.1,157
1932,4.3721,-1.3,155
1933,3.1699,-2.6,151
1934,2.50,0.7,152
1935,2.50,2.0,155
1936,2.50,1.3,157
1937,2.50,3.2,162
1938,2.50,1.9,165
1939,2.5176,3.0,170
1940,3.3105,13.5,193
1941,3.2028,13.5,219
1942,3.00,6.8,234
1943,3.00,0.4,235
1944,3.00,-0.4,234
1945,2.5549,-0.4,233
1946,2.50,0.4,234
1947,2.50,3.0,241
1948,2.50,5.8,255
1949,2.50,0.4,256
1950,2.5371,1.6,260
1951,3.00,16.9,304
1952,3.00,7.2,326
1953,2.9735,0.6,328
1954,2.75,0.9,331
1955,3.4593,2.4,339
1956,3.7725,5.0,356
1957,4.4706,4.5,372
1958,4.6732,4.3,388
1959,4.50,0.8,391
1960,4.9845,4.1,407
1961,5.00,2.2,416
1962,4.3529,4.8,436
1963,3.7961,3.0,449
1964,4.5332,3.1,463
1965,5.3677,5.2,487
1966,5.781,6.6,519
1967,5.1738,4.0,540
1968,5.4492,2.0,551
1969,6.315,2.7,566
1970,7.00,6.9,605
1971,6.035,7.4,650
1972,5.00,6.0,689
1973,5.00,6.7,735
1974,6.1137,9.9,808
1975,6.6457,9.8,887
1976,6.314,10.4,979
1977,8.00,11.3,"1,090"
1978,6.9922,10.1,"1,200"
1979,7.0824,7.2,"1,286"
1980,9.9526,13.6,"1,461"
1981,11.6892,12.1,"1,638"
1982,10.1905,8.5,"1,778"
1983,8.6818,8.9,"1,937"
1984,9.012,8.0,"2,092"
1985,10.296,7.4,"2,246"
1986,8.247,4.2,"2,341"
1987,7.50,4.2,"2,440"
1988,8.1798,5.8,"2,582"
1989,9.2331,6.4,"2,748"
1990,11.108,10.5,"3,036"
1991,9.404,9.3,"3,319"
1992,8.8506,2.3,"3,395"
1993,6.7579,4.7,"3,553"
1994,5.3854,2.2,"3,631"
1995,7.1355,2.5,"3,723"
1996,4.8845,0.5,"3,740"
1997,2.504,0.5,"3,760"
1998,2.244,-0.2,"3,754"
1999,1.252,0.5,"3,772"
2000,2.1155,1.0,"3,809"
2001,1.882,2.4,"3,902"
,,,
Fotnot,,,
,,,
Diskonto (1907-11-09 - 2002-06-28),,,
Diskonto,,,
Källa: Sveriges riksbank,,,
,,,
Räntor och valutor,,,
DETALJERAT RESULTAT 1907-08-08 - 2002-08-08,,,
,Andra riksbanksräntor,,
,Diskonto,,
,,,
,,,
Source: SCB,"colum c,d",,
Inflation och prisnivå i Sverige 1830 - 2015,,,
