DrawNumber,DrawDate,Ball1,Ball2,Ball3,Ball4,Ball5,LuckyStar1,LuckyStar2,UKMillionaireMaker,BallSet,DrawMachine,Match_5_and_2_Stars_roll,Match_5_and_2_Stars_UKWinners,Match_5_and_2_Stars_PrizePerWinner,Match_5_and_2_Stars_UKPrizeFund,Match_5_and_2_Stars_TotalWinners,Match_5_and_1_Star_UKWinners,Match_5_and_1_Star_PrizePerWinner,Match_5_and_1_Star_UKPrizeFund,Match_5_and_1_Star_TotalWinners,Match_5_UKWinners,Match_5_PrizePerWinner,Match_5_UKPrizeFund,Match_5_TotalWinners,Match_4_and_2_Stars_UKWinners,Match_4_and_2_Stars_PrizePerWinner,Match_4_and_2_Stars_UKPrizeFund,Match_4_and_2_Stars_TotalWinners,Match_4_and_1_Star_UKWinners,Match_4_and_1_Star_PrizePerWinner,Match_4_and_1_Star_UKPrizeFund,Match_4_and_1_Star_TotalWinners,Match_3_and_2_Stars_UKWinners,Match_3_and_2_Stars_PrizePerWinner,Match_3_and_2_Stars_UKPrizeFund,Match_3_and_2_Stars_TotalWinners,Match_4_UKWinners,Match_4_PrizePerWinner,Match_4_UKPrizeFund,Match_4_TotalWinners,Match_2_and_2_Stars_UKWinners,Match_2_and_2_Stars_PrizePerWinner,Match_2_and_2_Stars_UKPrizeFund,Match_2_and_2_Stars_TotalWinners,Match_3_and_1_Star_UKWinners,Match_3_and_1_Star_PrizePerWinner,Match_3_and_1_Star_UKPrizeFund,Match_3_and_1_Star_TotalWinners,Match_3_UKWinners,Match_3_PrizePerWinner,Match_3_UKPrizeFund,Match_3_TotalWinners,Match_1_and_2_Stars_UKWinners,Match_1_and_2_Stars_PrizePerWinner,Match_1_and_2_Stars_UKPrizeFund,Match_1_and_2_Stars_TotalWinners,Match_2_and_1_Star_UKWinners,Match_2_and_1_Star_PrizePerWinner,Match_2_and_1_Star_UKPrizeFund,Match_2_and_1_Star_TotalWinners,Match_2_UKWinners,Match_2_PrizePerWinner,Match_2_UKPrizeFund,Match_2_TotalWinners,Totals_UKWinners,Totals_UKPrizeFund,Totals_TotalWinners,JackpotWinner_country,TicketPrice
1745,11-06-2024,48,15,7,34,45,7,9,['MHHQ42012'],21,15,1,0,121156630.00,0.00,0,0,0.00,0.00,5,2,13742.60,27485.20,10,13,764.30,9935.90,56,248,83.40,20683.20,945,633,35.30,22344.90,2360,570,31.30,17841.00,1867,8748,8.40,73483.20,34664,11525,7.90,91047.50,41280,23873,7.30,174272.90,82326,48341,3.90,188529.90,187141,172577,3.70,638534.90,616187,353357.0,3.00,1060071.00,1209516.0,619887,2324229.60,2176357,,2.5
1744,07-06-2024,30,26,15,37,16,8,5,['HGGP69328'],21,15,1,0,110474000.0,0.0,0,2,95775.8,191551.6,9,1,40291.9,40291.9,5,22,794.3,17474.6,79,381,88.1,33566.1,1312,997,31.9,31804.3,3821,766,29.5,22597.0,2910,14699,7.5,110242.5,56573,16524,7.8,128887.2,60826,35991,6.9,248337.9,127695,75116,3.6,270417.6,294555,235023,3.8,893087.4,885563,514213.0,2.9,1491217.7,1876170.0,893735,3479475.8,3309518,,2.5
1743,04-06-2024,43,7,6,9,14,4,3,['XFGJ15568'],21,15,1,0,59838166.0,0.0,0,1,196646.7,196646.7,2,3,13131.3,39393.9,7,8,1101.1,8808.8,26,188,81.5,15322.0,647,421,34.6,14566.6,1608,412,27.1,11165.2,1443,5812,9.3,54051.6,20966,8435,6.6,55671.0,33014,17290,6.0,103740.0,67722,28530,4.9,139797.0,100326,123221,3.2,394307.2,473384,246089.0,2.6,639831.4,948932.0,430410,1673301.4,1648077,,2.5
1742,31-05-2024,16,33,4,34,7,8,7,['MDFW59706'],20,13,1,0,52171704.0,0.0,0,1,246725.9,246725.9,2,0,0.0,0.0,3,9,1238.6,11147.4,29,236,79.9,18856.4,828,489,40.1,19608.9,1741,459,31.9,14642.1,1539,6979,10.0,69790.0,24339,11524,6.5,74906.0,41733,23444,6.6,154730.4,76287,36440,4.8,174912.0,126555,163320,3.2,522624.0,591308,330543.0,2.8,925520.4,1102388.0,573444,2233463.5,1966752,,2.5
1741,28-05-2024,18,16,35,41,36,6,7,['MCFL72403'],20,13,1,0,40682863.0,0.0,0,1,178725.7,178725.7,2,5,6961.8,34809.0,12,7,1734.7,12142.9,15,131,93.4,12235.4,513,298,52.0,15496.0,973,290,38.3,11107.0,928,4238,11.5,48737.0,15394,5811,9.3,54042.3,21209,12567,8.6,108076.2,42788,23948,5.1,122134.8,87237,91825,4.2,385665.0,332149,195838.0,3.4,665849.2,668155.0,334959,1649020.5,1169375,,2.5
1740,24-05-2024,12,9,22,18,50,1,3,['VBFB54031'],20,13,1,0,32523165.0,0.0,0,1,226335.0,226335.0,2,3,17632.7,52898.1,6,13,1136.3,14771.9,29,230,75.5,17365.0,803,454,36.5,16571.0,1757,469,25.6,12006.4,1760,6712,9.1,61079.2,24731,9909,6.7,66390.3,37089,21669,5.8,125680.2,79991,32972,4.6,151671.2,120936,137737,3.4,468305.8,512888,303329.0,2.5,758322.5,1114599.0,513498,1971396.6,1894591,,2.5
1739,21-05-2024,13,11,48,14,34,9,7,['VZDS62828'],20,13,1,0,22076027.0,0.0,0,0,0.0,0.0,1,3,14740.4,44221.2,5,5,695.6,3478.0,33,111,94.6,10500.6,447,299,35.3,10554.7,1264,253,34.1,8627.3,919,4814,7.7,37067.8,20234,6153,7.6,46762.8,22989,12421,7.1,88189.1,45943,26123,3.6,94042.8,109565,95372,3.4,324264.8,362186,191463.0,2.8,536096.4,707727.0,337017,1203805.5,1271313,,2.5
1738,17-05-2024,31,41,46,32,18,10,1,['ZWCV34866'],20,13,1,0,14562200.0,0.0,0,1,217237.1,217237.1,2,0,0.0,0.0,3,4,1265.1,5060.4,25,133,133.3,17728.9,437,321,61.0,19581.0,1009,378,39.0,14742.0,1108,4321,14.6,63086.6,14760,6604,10.9,71983.6,21945,16436,8.2,134775.2,54773,23937,6.5,155590.5,83136,95567,5.1,487391.7,333262,241654.0,3.2,773292.8,853890.0,389356,1960469.8,1364350,,2.5
1737,14-05-2024,35,2,8,28,17,7,9,['VWCX50624'],20,13,0,0,41933803.0,0.0,1,1,71196.3,71196.3,5,3,11885.5,35656.5,7,10,602.6,6026.0,43,221,55.7,12309.7,856,440,29.6,13024.0,1704,493,20.8,10254.4,1704,6024,7.5,45180.0,23530,8839,6.1,53917.9,32287,18594,5.5,102267.0,66637,30374,3.6,109346.4,120656,118771,3.2,380067.2,429438,242481.0,2.6,630450.6,858175.0,426251,1469696.0,1535043,['France'],2.5
1736,10-05-2024,29,44,13,48,28,12,4,['ZVCN94656'],20,13,1,0,33335763.0,0.0,0,0,0.0,0.0,3,1,16848.6,16848.6,6,4,1749.3,6997.2,18,164,92.2,15120.8,629,385,49.4,19019.0,1241,424,28.7,12168.8,1499,5378,11.8,63460.4,18174,7988,8.5,67898.0,28133,19462,6.1,118718.2,72372,27939,5.8,162046.2,93179,118873,4.1,487379.3,415055,287835.0,2.5,719587.5,1067762.0,468453,1689244.0,1698071,,2.5
