Country (or dependency),Population (2020),Yearly Change %,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share %
China,1439323776,0.39,5540090,153.0,9388211.0,-348399.0,1.7,38.0,61.0,18.47
India,1380004385,0.99,13586631,464.0,2973190.0,-532687.0,2.2,28.0,35.0,17.7
United States,331002651,0.59,1937734,36.0,9147420.0,954806.0,1.8,38.0,83.0,4.25
Indonesia,273523615,1.07,2898047,151.0,1811570.0,-98955.0,2.3,30.0,56.0,3.51
Pakistan,220892340,2.0,4327022,287.0,770880.0,-233379.0,3.6,23.0,35.0,2.83
Brazil,212559417,0.72,1509890,25.0,8358140.0,21200.0,1.7,33.0,88.0,2.73
Nigeria,206139589,2.58,5175990,226.0,910770.0,-60000.0,5.4,18.0,52.0,2.64
Bangladesh,164689383,1.01,1643222,1265.0,130170.0,-369501.0,2.1,28.0,39.0,2.11
Russia,145934462,0.04,62206,9.0,16376870.0,182456.0,1.8,40.0,74.0,1.87
Mexico,128932753,1.06,1357224,66.0,1943950.0,-60000.0,2.1,29.0,84.0,1.65
Japan,126476461,,-383840,347.0,364555.0,71560.0,1.4,48.0,92.0,1.62
Ethiopia,114963588,2.57,2884858,115.0,1000000.0,30000.0,4.3,19.0,21.0,1.47
Philippines,109581078,1.35,1464463,368.0,298170.0,-67152.0,2.6,26.0,47.0,1.41
Egypt,102334404,1.94,1946331,103.0,995450.0,-38033.0,3.3,25.0,43.0,1.31
Vietnam,97338579,0.91,876473,314.0,310070.0,-80000.0,2.1,32.0,38.0,1.25
DR Congo,89561403,3.19,2770836,40.0,2267050.0,23861.0,6.0,17.0,46.0,1.15
Turkey,84339067,1.09,909452,110.0,769630.0,283922.0,2.1,32.0,76.0,1.08
Iran,83992949,1.3,1079043,52.0,1628550.0,-55000.0,2.2,32.0,76.0,1.08
Germany,83783942,0.32,266897,240.0,348560.0,543822.0,1.6,46.0,76.0,1.07
Thailand,69799978,0.25,174396,137.0,510890.0,19444.0,1.5,40.0,51.0,0.9
United Kingdom,67886011,0.53,355839,281.0,241930.0,260650.0,1.8,40.0,83.0,0.87
France,65273511,0.22,143783,119.0,547557.0,36527.0,1.9,42.0,82.0,0.84
Italy,60461826,,-88249,206.0,294140.0,148943.0,1.3,47.0,69.0,0.78
Tanzania,59734218,2.98,1728755,67.0,885800.0,-40076.0,4.9,18.0,37.0,0.77
South Africa,59308690,1.28,750420,49.0,1213090.0,145405.0,2.4,28.0,67.0,0.76
Myanmar,54409800,0.67,364380,83.0,653290.0,-163313.0,2.2,29.0,31.0,0.7
Kenya,53771296,2.28,1197323,94.0,569140.0,-10000.0,3.5,20.0,28.0,0.69
South Korea,51269185,0.09,43877,527.0,97230.0,11731.0,1.1,44.0,82.0,0.66
Colombia,50882891,1.08,543448,46.0,1109500.0,204796.0,1.8,31.0,80.0,0.65
Spain,46754778,0.04,18002,94.0,498800.0,40000.0,1.3,45.0,80.0,0.6
Uganda,45741007,3.32,1471413,229.0,199810.0,168694.0,5.0,17.0,26.0,0.59
Argentina,45195774,0.93,415097,17.0,2736690.0,4800.0,2.3,32.0,93.0,0.58
Algeria,43851044,1.85,797990,18.0,2381740.0,-10000.0,3.1,29.0,73.0,0.56
Sudan,43849260,2.42,1036022,25.0,1765048.0,-50000.0,4.4,20.0,35.0,0.56
Ukraine,43733762,,-259876,75.0,579320.0,10000.0,1.4,41.0,69.0,0.56
Iraq,40222493,2.32,912710,93.0,434320.0,7834.0,3.7,21.0,73.0,0.52
Afghanistan,38928346,2.33,886592,60.0,652860.0,-62920.0,4.6,18.0,25.0,0.5
Poland,37846611,,-41157,124.0,306230.0,-29395.0,1.4,42.0,60.0,0.49
Canada,37742154,0.89,331107,4.0,9093510.0,242032.0,1.5,41.0,81.0,0.48
Morocco,36910560,1.2,438791,83.0,446300.0,-51419.0,2.4,30.0,64.0,0.47
Saudi Arabia,34813871,1.59,545343,16.0,2149690.0,134979.0,2.3,32.0,84.0,0.45
Uzbekistan,33469203,1.48,487487,79.0,425400.0,-8863.0,2.4,28.0,50.0,0.43
Peru,32971854,1.42,461401,26.0,1280000.0,99069.0,2.3,31.0,79.0,0.42
Angola,32866272,3.27,1040977,26.0,1246700.0,6413.0,5.6,17.0,67.0,0.42
Malaysia,32365999,1.3,416222,99.0,328550.0,50000.0,2.0,30.0,78.0,0.42
Mozambique,31255435,2.93,889399,40.0,786380.0,-5000.0,4.9,18.0,38.0,0.4
Ghana,31072940,2.15,655084,137.0,227540.0,-10000.0,3.9,22.0,57.0,0.4
Yemen,29825964,2.28,664042,56.0,527970.0,-30000.0,3.8,20.0,38.0,0.38
Nepal,29136808,1.85,528098,203.0,143350.0,41710.0,1.9,25.0,21.0,0.37
Venezuela,28435940,,-79889,32.0,882050.0,-653249.0,2.3,30.0,,0.36
Madagascar,27691018,2.68,721711,48.0,581795.0,-1500.0,4.1,20.0,39.0,0.36
Cameroon,26545863,2.59,669483,56.0,472710.0,-4800.0,4.6,19.0,56.0,0.34
Côte d'Ivoire,26378274,2.57,661730,83.0,318000.0,-8000.0,4.7,19.0,51.0,0.34
North Korea,25778816,0.44,112655,214.0,120410.0,-5403.0,1.9,35.0,63.0,0.33
Australia,25499884,1.18,296686,3.0,7682300.0,158246.0,1.8,38.0,86.0,0.33
Niger,24206644,3.84,895929,19.0,1266700.0,4000.0,7.0,15.0,17.0,0.31
Taiwan,23816775,0.18,42899,673.0,35410.0,30001.0,1.2,42.0,79.0,0.31
Sri Lanka,21413249,0.42,89516,341.0,62710.0,-97986.0,2.2,34.0,18.0,0.27
Burkina Faso,20903273,2.86,581895,76.0,273600.0,-25000.0,5.2,18.0,31.0,0.27
Mali,20250833,3.02,592802,17.0,1220190.0,-40000.0,5.9,16.0,44.0,0.26
Romania,19237691,,-126866,84.0,230170.0,-73999.0,1.6,43.0,55.0,0.25
Malawi,19129952,2.69,501205,203.0,94280.0,-16053.0,4.3,18.0,18.0,0.25
