,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
0,2022/1/4,000002.SZA,7.3822,-20577953792,6.212694,2.38204E+11,3956475666,3171.7524,3334.4897
1,2022/1/5,000002.SZA,7.3822,-20577953792,6.4188743,2.46109E+11,4075047844,3324.7256,3445.1514
2,2022/1/6,000002.SZA,7.3822,-20577953792,6.3824897,2.44714E+11,2923511291,3437.0144,3425.6228
3,2022/1/7,000002.SZA,7.3822,-20577953792,6.6371827,2.5448E+11,4969780143,3479.3262,3562.3223
4,2022/1/10,000002.SZA,7.3822,-20577953792,6.7190485,2.57618E+11,3376585470,3547.6758,3606.2612
5,2022/1/11,000002.SZA,7.3822,-20577953792,6.7614975,2.59246E+11,3837452592,3598.1245,3629.0444
6,2022/1/12,000002.SZA,7.3822,-20577953792,6.685696,2.5634E+11,2783109367,3604.634,3588.36
7,2022/1/13,000002.SZA,7.3822,-20577953792,6.5280285,2.50295E+11,1984764398,3580.2234,3503.7368
8,2022/1/14,000002.SZA,7.3822,-20577953792,6.2763677,2.40645E+11,2191322326,3513.501,3368.6648
9,2022/1/17,000002.SZA,7.3822,-20577953792,6.327913,2.42622E+11,1311268282,3362.1553,3396.33
10,2022/1/18,000002.SZA,7.3822,-20577953792,6.5462213,2.50992E+11,2286204060,3409.349,3513.501
11,2022/1/19,000002.SZA,7.3822,-20577953792,6.640215,2.54596E+11,2611685896,3547.6758,3563.9497
12,2022/1/20,000002.SZA,7.3822,-20577953792,6.7038884,2.57037E+11,3538267133,3578.596,3598.1245
13,2022/1/21,000002.SZA,7.3822,-20577953792,6.5613813,2.51573E+11,1717179550,3567.2043,3521.638
14,2022/1/24,000002.SZA,7.3822,-20577953792,6.5795736,2.52271E+11,1761877978,3513.501,3531.402
15,2022/1/25,000002.SZA,7.3822,-20577953792,6.3127522,2.4204E+11,2239316767,3515.1284,3388.193
16,2022/1/26,000002.SZA,7.3822,-20577953792,6.285464,2.40994E+11,1400883473,3415.8586,3373.5469
17,2022/1/27,000002.SZA,7.3822,-20577953792,6.197534,2.37623E+11,2038304825,3340.9993,3326.353
18,2022/1/28,000002.SZA,7.3822,-20577953792,6.164181,2.36344E+11,1765406636,3352.3909,3308.452
19,2022/2/7,000002.SZA,7.3822,-20577953792,6.3400407,2.43087E+11,1936407933,3340.9993,3402.8396
20,2022/2/8,000002.SZA,7.3822,-20577953792,6.3309445,2.42738E+11,1690753297,3386.5657,3397.9575
21,2022/2/9,000002.SZA,7.3822,-20577953792,6.2157264,2.3832E+11,2857589555,3388.193,3336.1172
22,2022/2/10,000002.SZA,7.3822,-20577953792,6.3218484,2.42389E+11,2911436086,3323.0981,3393.0752
23,2022/2/11,000002.SZA,7.3822,-20577953792,6.4219065,2.46226E+11,3179393916,3417.4858,3446.7786
24,2022/2/14,000002.SZA,7.3822,-20577953792,6.136893,2.35298E+11,2590358817,3409.349,3293.8054
25,2022/2/15,000002.SZA,7.3822,-20577953792,6.006514,2.30299E+11,2269888626,3295.4329,3223.8284
26,2022/2/16,000002.SZA,7.3822,-20577953792,6.064123,2.32508E+11,1409098466,3233.5925,3254.7485
