Start,End,Open,High,Low,Close,Volume,Market Cap
2024-06-27,2024-06-28,3383.5292,3481.1707,3379.1649,3458.8487,15804001113.083624,411660524696.79443
2024-06-26,2024-06-27,3405.1884,3432.36,3347.8603,3381.2506,14391379660.648083,408026765037.5157
2024-06-25,2024-06-26,3361.4335,3430.0008,3345.1593,3408.774,22117258703.212543,407521531994.4843
2024-06-24,2024-06-25,3441.3306,3451.1578,3262.5114,3363.7635,19520467666.891987,403338358849.2683
2024-06-23,2024-06-24,3523.0682,3544.8247,3443.0237,3443.0237,9130648585.49129,422080922898.73517
2024-06-22,2024-06-23,3532.3234,3532.3234,3496.4233,3520.6715,15479329282.728224,422467085586.3763
2024-06-21,2024-06-22,3529.9099,3552.3111,3473.5469,3529.105,18831776300.62021,422523924635.46344
2024-06-20,2024-06-21,3567.5669,3632.773,3505.837,3527.9278,18144710484.853657,428482362066.4843
2024-06-19,2024-06-20,3494.1308,3590.9042,3480.0472,3569.4527,22778733739.61324,427145834201.70734
2024-06-18,2024-06-19,3527.9577,3527.9577,3387.0528,3490.6478,23930785821.7108,413602417130.9686
2024-06-17,2024-06-18,3642.0912,3652.911,3493.0054,3525.994,17339845259.048782,428176093469.0035
2024-06-16,2024-06-17,3581.4901,3663.6045,3561.9866,3640.5622,13016030239.463415,432247167582.0697
2024-06-15,2024-06-16,3498.1517,3599.2194,3493.2443,3582.6116,19756475838.763065,426813068665.6446
2024-06-14,2024-06-15,3536.0149,3575.9255,3384.5426,3497.0945,20153361899.055748,423703071492.34845
2024-06-13,2024-06-14,3586.2721,3588.8137,3490.8431,3529.6099,23211103123.770035,425325229002.01044
2024-06-12,2024-06-13,3536.8556,3659.8818,3513.4303,3588.8847,23450549242.818817,430843443790.446
2024-06-11,2024-06-12,3692.0118,3692.8508,3490.1683,3535.8359,21582378438.477352,429673502382.01044
2024-06-10,2024-06-11,3718.052,3719.0333,3683.7432,3690.4326,13743983447.017422,444690143411.09753
2024-06-09,2024-06-10,3701.2617,3724.9377,3693.7207,3719.0626,13138578064.8223,445617354298.2439
2024-06-08,2024-06-09,3692.4326,3715.3797,3688.5027,3702.4338,22112730180.585365,444481579284.3171
2024-06-07,2024-06-08,3793.6145,3817.2667,3668.1147,3693.2824,20603711252.878048,452704840800.39374
2024-06-06,2024-06-07,3838.5863,3845.3347,3767.6704,3795.4837,19970081917.759583,458547159096.48083
2024-06-05,2024-06-06,3795.4214,3847.128,3773.3584,3840.318,20340658273.08711,456769021114.10803
2024-06-04,2024-06-05,3760.3363,3803.5736,3744.5133,3796.1807,19452924197.55401,453185780723.83624
2024-06-03,2024-06-04,3764.2367,3817.2073,3753.4775,3758.8311,18158729639.44948,454180678717.2021
2024-06-02,2024-06-03,3784.9528,3797.2425,3749.5158,3767.4795,15485260823.125435,453279408832.5993
2024-06-01,2024-06-02,3756.2266,3793.886,3746.8638,3785.174,19357635370.045296,453321558587.43555
2024-05-31,2024-06-01,3745.2897,3811.4366,3727.1787,3754.9694,21320456633.634148,451477412650.8432
2024-05-30,2024-05-31,3762.5786,3797.9878,3711.5996,3746.2971,22354133103.777004,451313140941.1882
2024-05-29,2024-05-30,3822.6668,3848.4572,3742.574,3760.2263,24065068932.97561,455443680075.39374
2024-05-28,2024-05-29,3858.295,3879.4064,3774.1062,3821.6187,25053251979.163765,460371595445.115
2024-05-27,2024-05-28,3801.3107,3919.9212,3801.3107,3863.3463,23755397501.55401,465065452369.7108
2024-05-26,2024-05-27,3747.1139,3834.8396,3739.1002,3802.9031,17103181755.10453,454784966401.04877
2024-05-25,2024-05-26,3725.8296,3765.8658,3718.0679,3746.9927,21662918305.146343,449798743843.85364
2024-05-24,2024-05-25,3768.5169,3813.6985,3651.6707,3729.3849,50662180631.808365,448277908521.60626
2024-05-23,2024-05-24,3743.3851,3906.8369,3686.0141,3762.9906,38218067429.25087,454989857889.6829
2024-05-22,2024-05-23,3782.7658,3798.8464,3679.8664,3740.4041,40014294156.902435,450294175895.48083
2024-05-21,2024-05-22,3668.3001,3809.484,3635.5832,3783.9725,51567094232.36585,447199485584.09753
2024-05-20,2024-05-21,3073.1032,3678.9175,3058.8148,3655.0761,16711641275.91986,383216106689.8188
2024-05-19,2024-05-20,3124.5805,3138.3659,3064.9943,3077.2446,10498406217.547039,372228665170.92334
2024-05-18,2024-05-19,3094.1352,3148.4639,3091.3772,3124.6459,15607196432.749128,374230786925.331
2024-05-17,2024-05-18,2944.6721,3114.4688,2939.1483,3096.5567,17499374712.27526,364653625093.99304
2024-05-16,2024-05-17,3037.0939,3040.4646,2930.0507,2946.525,18409130091.707317,358471069527.8467
2024-05-15,2024-05-16,2890.9995,3040.3976,2871.2261,3038.4018,15530322763.84669,353959643433.3275
2024-05-14,2024-05-15,2950.9286,2962.4673,2876.9228,2885.9471,15243697099.031359,350244429929.1707
2024-05-13,2024-05-14,2939.8921,2991.1717,2879.5344,2951.8969,14451671027.114983,353931208475.7317
2024-05-12,2024-05-13,2921.2714,2957.482,2913.4757,2940.0684,8710887809.041811,352364420037.8049
2024-05-11,2024-05-12,2917.1542,2942.2771,2899.6712,2917.5761,14615951567.163763,350918186700.95123
2024-05-10,2024-05-11,3036.2341,3055.5622,2893.4119,2914.7175,15348847522.299652,358912264073.77
2024-05-09,2024-05-10,2982.4435,3057.9938,2962.5723,3041.4941,15431620439.303137,360740331162.1742
2024-05-08,2024-05-09,3016.9787,3039.6624,2950.6782,2980.2923,16305526586.721254,361327030605.0418
2024-05-07,2024-05-08,3073.4499,3129.9726,3017.5895,3018.8003,18009353668.947735,369251753660.5958
2024-05-06,2024-05-07,3147.9043,3226.2427,3064.5102,3070.6776,14774931107.118467,376193524069.8014
2024-05-05,2024-05-06,3123.1863,3171.0526,3083.8993,3145.7927,12769298228.240417,376368010916.2474
2024-05-04,2024-05-05,3109.0019,3167.0271,3105.2793,3122.9548,16112788053.874565,375675206669.1812
2024-05-03,2024-05-04,2995.1504,3129.2215,2970.1135,3109.1052,17797249529.780487,364082517035.04877
2024-05-02,2024-05-03,2982.6549,3016.1151,2905.9576,2996.1961,24512610743.36934,358685178592.1882
2024-05-01,2024-05-02,3020.1584,3025.2748,2842.6042,2978.4627,27698776252.498257,359085171300.11847
2024-04-30,2024-05-01,3215.8261,3251.9596,2934.4719,3025.4554,22560950656.414635,375229420309.8989
2024-04-29,2024-04-30,3276.7759,3290.2292,3128.9746,3221.3244,20112239962.38676,390258332156.72125
2024-04-28,2024-04-29,3262.7431,3349.1001,3259.9104,3267.5264,17495409070.247387,403962888143.59235
2024-04-27,2024-04-28,3138.1956,3276.4548,3090.4257,3266.4045,16096897368.655052,385995129319.4982
2024-04-26,2024-04-27,3159.7408,3164.0257,3109.0185,3136.485,17568442069.9338,383571092868.8153
2024-04-25,2024-04-26,3144.7356,3191.1677,3086.2351,3160.3572,20916663780.80488,384275950203.8467
2024-04-24,2024-04-25,3226.5814,3292.5009,3119.827,3143.4108,16777945141.348433,392818371296.6411
2024-04-23,2024-04-24,3203.5081,3259.6654,3161.1935,3222.9544,15615157883.369337,390925135790.0557
2024-04-22,2024-04-23,3154.885,3236.2895,3139.1486,3205.1638,15268999696.658537,384038270821.7282
2024-04-21,2024-04-22,3152.6366,3197.1134,3125.9824,3151.7936,13828359560.832752,379923371242.5958
2024-04-20,2024-04-21,3061.1119,3164.9343,3029.3462,3156.4933,18414450765.38676,370812382193.7317
2024-04-19,2024-04-20,3064.6866,3119.2634,2883.5642,3066.9869,26626321057.444057,367780406783.85315
2024-04-18,2024-04-19,2994.9314,3088.8207,2964.3582,3066.9058,24462589620.685513,364033049456.682
2024-04-17,2024-04-18,3086.2507,3123.377,2940.8497,2986.9312,23766865779.351917,365614112033.7108
2024-04-16,2024-04-17,3104.6052,3120.097,3011.6021,3085.2485,29508772950.404182,369044674825.86414
2024-04-15,2024-04-16,3148.3086,3274.6408,3046.618,3104.8875,30679480180.114983,380234324207.1882
2024-04-14,2024-04-15,3020.6766,3167.6846,2921.9017,3155.7818,45094615982.205574,366674727759.561
2024-04-13,2024-04-14,3231.1639,3297.6372,2874.401,3024.3586,32796794122.344948,384236672197.23346
2024-04-12,2024-04-13,3515.9494,3559.298,3207.709,3245.0984,20597446897.686413,413222734268.30664
2024-04-11,2024-04-12,3544.0727,3619.6398,3487.4192,3516.6996,23359330960.536587,425841437102.52264
2024-04-10,2024-04-11,3505.5251,3559.9659,3426.2983,3547.5273,25494309764.846153,421861208539.6189
2024-04-09,2024-04-10,3702.1783,3719.8724,3480.2572,3510.2155,27414389831.860626,432872592945.6272
2024-04-08,2024-04-09,3456.3606,3724.6406,3422.8278,3699.5419,20463939705.55052,430431125658.2892
2024-04-07,2024-04-08,3360.5925,3463.4984,3352.8106,3462.0489,12749497898.470383,408159883981.91986
2024-04-06,2024-04-07,3318.1087,3397.7313,3316.7243,3365.1664,16843599707.247387,401605907921.04877
2024-04-05,2024-04-06,3324.0272,3343.0863,3225.0019,3326.061,23831950603.118465,396494426863.8397
2024-04-04,2024-04-05,3314.8306,3439.675,3262.6895,3331.3943,20347805872.010525,401101564956.02454
2024-04-03,2024-04-04,3283.1728,3365.8964,3221.5134,3321.2273,27226114831.296165,398621870510.1742
2024-04-02,2024-04-03,3511.5634,3511.5634,3229.8141,3279.5594,28351731556.358887,400451645261.00696
2024-04-01,2024-04-02,3652.7203,3652.7203,3429.8378,3511.6981,18201134326.12892,425281550994.6167
2024-03-31,2024-04-01,3517.0681,3659.4654,3517.0681,3653.6502,14470853501.923346,433640851431.5122
2024-03-30,2024-03-31,3516.4117,3568.2412,3497.0488,3519.1419,16656105596.710802,423417638388.7979
2024-03-29,2024-03-30,3567.225,3586.3339,3487.5848,3520.503,18536682158.29021,425081161185.0909
2024-03-28,2024-03-29,3505.8286,3611.656,3476.2504,3567.0539,25601507536.755245,427348384029.58044
2024-03-27,2024-03-28,3591.1871,3660.0635,3470.6405,3509.6288,23415479518.853657,427963136941.0139
2024-03-26,2024-03-27,3587.7997,3676.7396,3553.2567,3595.4684,26064494721.574913,434136144727.83624
2024-03-25,2024-03-26,3452.4423,3649.4378,3433.4649,3591.7146,19646724946.3554,422803962851.85016
2024-03-24,2024-03-25,3345.325,3473.0892,3309.7432,3460.4793,16352496809.58885,405839941531.16376
2024-03-23,2024-03-24,3331.1195,3431.2827,3288.2894,3356.3987,24481657007.91986,404503390067.9582
2024-03-22,2024-03-23,3505.3801,3551.8292,3265.4496,3326.7581,27183652182.027973,410744031950.0524
2024-03-21,2024-03-22,3509.118,3585.6894,3425.0405,3501.3058,44245048506.19512,422368503013.94775
2024-03-20,2024-03-21,3164.1316,3531.3412,3078.0581,3514.8143,47043055768.71777,395100234290.92334
2024-03-19,2024-03-20,3529.8262,3547.1665,3159.7787,3170.3712,37630296750.11498,399043149797.30664
2024-03-18,2024-03-19,3649.1913,3649.1913,3472.2709,3528.6413,25266583604.721256,428802919561.72125
2024-03-17,2024-03-18,3555.7336,3682.9814,3442.9855,3663.6151,30996885011.73171,431056161634.23694
2024-03-16,2024-03-17,3749.9245,3783.6849,3507.8981,3532.4625,31656354992.61324,442519542080.1777
2024-03-15,2024-03-16,3894.5792,3933.1728,3607.824,3749.2041,44055756685.15035,447371462752.54193
2024-03-14,2024-03-15,4011.6396,4018.9962,3751.6579,3890.384,29713647292.99303,472220454419.52264
2024-03-13,2024-03-14,3982.2827,4081.8289,3964.3421,4018.0569,33882154548.174217,483007794678.561
2024-03-12,2024-03-13,4076.2673,4094.1757,3874.9522,3982.9636,34803694659.452965,481090290652.9268
2024-03-11,2024-03-12,3889.3542,4083.2189,3807.2082,4073.1257,30778140301.30662,478841483542.5331
2024-03-10,2024-03-11,3917.6319,3970.349,3835.2639,3895.0927,17353264580.226482,472096230521.8467
2024-03-09,2024-03-10,3889.7214,3948.8374,3888.2514,3922.039,28234929441.5331,470829221073.5157
2024-03-08,2024-03-09,3877.8076,3993.3391,3844.0819,3894.9458,31443856716.763065,471804831393.9408
2024-03-07,2024-03-08,3825.5887,3935.9855,3747.3215,3871.5942,36303801550.452965,459429052528.3972
2024-03-06,2024-03-07,3561.7433,3897.5136,3511.8428,3828.5982,65334878536.79791,452570501214.9582
2024-03-05,2024-03-06,3634.0364,3820.7597,3371.5388,3568.8763,46819957537.74737,439895581457.5439
2024-03-04,2024-03-05,3498.8305,3643.7974,3472.8237,3635.9353,25816553469,424869505147.5018
2024-03-03,2024-03-04,3432.504,3501.2329,3396.4347,3498.5838,16299914909.303137,414306161157.8258
