Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,13.595000,13.630000,11.010000,11.010000,11.010000,8964400
2021-12-02,13.055000,13.290000,8.130000,8.750000,8.750000,35751200
2021-12-03,9.160000,9.520000,8.450000,8.990000,8.990000,29667200
2021-12-06,8.950000,9.100000,8.230000,9.000000,9.000000,25416000
2021-12-07,9.055000,9.060000,8.320000,8.850000,8.850000,25775900
2021-12-08,8.670000,8.990000,8.550000,8.890000,8.890000,26187700
2021-12-09,8.614000,8.614000,7.600000,8.080000,8.080000,36086700
2021-12-10,7.980000,7.980000,6.930000,7.120000,7.120000,39572600
2021-12-13,6.885000,7.280000,6.850000,7.170000,7.170000,16689400
2021-12-14,7.060000,7.080000,5.910000,6.790000,6.790000,32797900
2021-12-15,6.820000,7.170000,6.750000,7.140000,7.140000,26431500
2021-12-16,7.198000,7.570000,7.150000,7.250000,7.250000,21053300
2021-12-17,7.040000,7.640000,6.910000,7.570000,7.570000,21849400
2021-12-20,7.210000,7.320000,6.970000,7.300000,7.300000,9573800
2021-12-21,7.350000,7.440000,7.110000,7.300000,7.300000,5539700
2021-12-22,7.250000,7.360000,7.200000,7.340000,7.340000,4354100
2021-12-23,7.320000,7.380000,7.260000,7.350000,7.350000,13381700
2021-12-27,7.520000,7.530000,7.030000,7.090000,7.090000,11855800
2021-12-28,7.100000,7.230000,6.880000,6.980000,6.980000,13889400
2021-12-29,6.980000,7.010000,6.620000,6.960000,6.960000,7289300
2021-12-30,6.800000,7.260000,6.790000,7.150000,7.150000,7295300
2021-12-31,7.020000,7.300000,6.980000,7.130000,7.130000,8813500
2022-01-03,7.130000,7.250000,7.105000,7.220000,7.220000,4685500
2022-01-04,7.260000,7.330000,7.190000,7.290000,7.290000,5867700
2022-01-05,7.250000,7.270000,6.710000,6.900000,6.900000,30569400
2022-01-06,6.640000,6.780000,6.440000,6.650000,6.650000,18589000
2022-01-07,6.650000,6.840000,6.520000,6.810000,6.810000,20806900
2022-01-10,6.660000,6.700000,6.173000,6.600000,6.600000,25171000
2022-01-11,6.590000,6.810000,6.220000,6.540000,6.540000,32226700
2022-01-12,6.570000,6.600000,6.170000,6.250000,6.250000,12255500
2022-01-13,6.240000,6.260000,5.980000,6.110000,6.110000,23936200
2022-01-14,5.980000,6.060000,5.810000,6.040000,6.040000,14430600
2022-01-18,5.860000,5.890000,5.400000,5.540000,5.540000,37366700
2022-01-19,5.650000,5.940000,5.510000,5.650000,5.650000,15743900
2022-01-20,5.730000,5.970000,5.710000,5.940000,5.940000,19200700
2022-01-21,5.730000,5.800000,5.495000,5.600000,5.600000,41267600
2022-01-24,5.390000,5.590000,5.170000,5.560000,5.560000,26709000
2022-01-25,5.440000,6.010000,5.370000,5.820000,5.820000,23614100
2022-01-26,5.940000,6.260000,5.800000,5.940000,5.940000,49730900
2022-01-27,5.990000,6.025000,5.550000,5.710000,5.710000,35972700
2022-01-28,5.670000,5.690000,5.210000,5.510000,5.510000,34813100
2022-01-31,5.460000,5.920000,5.350000,5.660000,5.660000,15311400
2022-02-01,5.670000,5.890000,5.610000,5.700000,5.700000,8873400
2022-02-02,5.700000,5.762000,5.390000,5.480000,5.480000,7885400
2022-02-03,5.470000,5.500000,4.960000,4.980000,4.980000,14941100
2022-02-04,5.080000,5.400000,4.950000,5.320000,5.320000,16123000
2022-02-07,5.380000,5.490000,5.270000,5.340000,5.340000,8767900
2022-02-08,5.300000,5.300000,5.100000,5.210000,5.210000,6864200
2022-02-09,5.260000,5.580000,5.200000,5.550000,5.550000,8462600
2022-02-10,5.860000,6.610000,5.810000,6.350000,6.350000,60463400
2022-02-11,6.130000,6.310000,5.760000,5.890000,5.890000,25100600
2022-02-14,5.820000,6.130000,5.770000,5.920000,5.920000,21790500
2022-02-15,6.005000,6.230000,5.890000,6.000000,6.000000,18128000
2022-02-16,6.000000,6.080000,5.940000,6.040000,6.040000,14953900
2022-02-17,5.994000,6.055000,5.745000,5.810000,5.810000,12389300
2022-02-18,5.790000,5.790000,5.400000,5.520000,5.520000,16555500
2022-02-22,5.380000,5.480000,4.960000,5.170000,5.170000,27064600
2022-02-23,5.190000,5.420000,5.130000,5.300000,5.300000,25403200
2022-02-24,4.830000,5.520000,4.830000,5.500000,5.500000,31376700
2022-02-25,5.360000,5.860000,5.350000,5.800000,5.800000,25186500
2022-02-28,5.855000,6.030000,5.610000,5.760000,5.760000,178830700
2022-03-01,5.620000,5.680000,5.400000,5.520000,5.520000,14092800
2022-03-02,5.450000,5.530000,5.080000,5.230000,5.230000,17905500
2022-03-03,4.840000,4.840000,3.090000,3.280000,3.280000,116033100
2022-03-04,3.590000,4.180000,3.265000,3.360000,3.360000,85831200
2022-03-07,3.310000,3.630000,3.300000,3.360000,3.360000,27703000
2022-03-08,3.340000,3.415000,3.110000,3.240000,3.240000,28163700
2022-03-09,3.350000,3.360000,3.060000,3.140000,3.140000,27930300
2022-03-10,3.165000,3.400000,2.980000,3.290000,3.290000,21733200
2022-03-11,3.265000,3.270000,2.995000,3.140000,3.140000,19410700
2022-03-14,3.060000,3.280000,2.970000,3.020000,3.020000,24168900
2022-03-15,3.030000,3.340000,2.950000,3.030000,3.030000,29505600
2022-03-16,3.170000,3.720000,3.160000,3.530000,3.530000,35771100
2022-03-17,3.480000,3.800000,3.435000,3.780000,3.780000,15341200
2022-03-18,3.740000,4.130000,3.640000,4.100000,4.100000,24107800
2022-03-21,4.020000,4.080000,3.780000,3.870000,3.870000,12827200
2022-03-22,4.020000,4.020000,3.700000,3.750000,3.750000,13185400
2022-03-23,3.760000,3.790000,3.580000,3.710000,3.710000,9560700
2022-03-24,3.790000,3.800000,3.530000,3.630000,3.630000,15197600
2022-03-25,3.620000,3.655000,3.285000,3.300000,3.300000,15623000
2022-03-28,3.410000,3.520000,3.340000,3.440000,3.440000,15364400
2022-03-29,3.575000,3.950000,3.570000,3.910000,3.910000,25046600
