"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","21.18","4.15","1.35"
"11 Aug 2022","21.29","4.18","1.36"
"10 Aug 2022","21.11","4.21","1.34"
"08 Aug 2022","21.02","4.21","1.33"
"05 Aug 2022","20.86","4.18","1.29"
"04 Aug 2022","20.85","4.18","1.30"
"03 Aug 2022","20.85","4.18","1.30"
"02 Aug 2022","20.86","4.17","1.29"
"01 Aug 2022","20.90","4.17","1.29"
"29 Jul 2022","20.73","4.12","1.29"
"28 Jul 2022","20.49","4.07","1.33"
"27 Jul 2022","20.19","4.00","1.38"
"26 Jul 2022","20.17","3.96","1.39"
"25 Jul 2022","20.44","4.01","1.38"
"22 Jul 2022","20.55","4.03","1.40"
"21 Jul 2022","20.43","4.00","1.41"
"20 Jul 2022","20.33","3.98","1.36"
"19 Jul 2022","20.18","3.94","1.37"
"18 Jul 2022","20.11","3.92","1.36"
"15 Jul 2022","19.82","3.87","1.38"
"14 Jul 2022","19.69","3.84","1.42"
"13 Jul 2022","19.72","3.85","1.39"
"12 Jul 2022","19.83","3.87","1.38"
"11 Jul 2022","20.03","3.91","1.37"
"08 Jul 2022","20.04","4.00","1.37"
"07 Jul 2022","19.93","4.12","1.40"
"06 Jul 2022","19.76","4.08","1.41"
"05 Jul 2022","19.54","4.04","1.42"
"04 Jul 2022","19.57","4.04","1.43"
"01 Jul 2022","19.46","4.02","1.41"
"30 Jun 2022","19.50","4.03","1.41"
"29 Jun 2022","19.55","4.04","1.38"
"28 Jun 2022","19.61","4.05","1.41"
"27 Jun 2022","19.59","4.05","1.41"
"24 Jun 2022","19.43","4.01","1.43"
"22 Jun 2022","19.07","3.94","1.46"
"21 Jun 2022","19.35","4.00","1.44"
"20 Jun 2022","18.99","3.92","1.46"
"17 Jun 2022","18.92","3.91","1.46"
"16 Jun 2022","19.01","3.93","1.48"
"15 Jun 2022","19.42","4.01","1.45"
"14 Jun 2022","19.47","4.02","1.36"
"13 Jun 2022","19.52","4.03","1.38"
"10 Jun 2022","20.05","4.14","1.38"
"09 Jun 2022","20.39","4.21","1.43"
"07 Jun 2022","20.31","4.20","1.43"
"06 Jun 2022","20.50","4.24","1.41"
"03 Jun 2022","20.52","4.24","1.41"
"02 Jun 2022","20.58","4.25","1.43"
"01 Jun 2022","20.45","4.22","1.44"
"31 May 2022","20.44","4.24","1.43"
"30 May 2022","20.65","4.26","1.40"
"27 May 2022","20.27","4.18","1.43"
"26 May 2022","19.88","4.13","1.44"
"25 May 2022","19.74","4.09","1.38"
"24 May 2022","19.87","4.12","1.32"
"23 May 2022","20.01","4.14","1.32"
"20 May 2022","20.05","4.16","1.31"
"19 May 2022","19.51","4.04","1.35"
"18 May 2022","20.09","4.15","1.31"
"17 May 2022","20.12","4.15","1.31"
"16 May 2022","19.72","4.05","1.35"
"13 May 2022","19.83","4.03","1.35"
"12 May 2022","19.87","4.04","1.35"
"11 May 2022","20.32","4.13","1.22"
"10 May 2022","20.42","4.15","1.22"
"09 May 2022","20.75","4.17","1.21"
"06 May 2022","20.89","4.19","1.21"
"05 May 2022","21.24","4.26","1.19"
