"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","47.82","5.29","1.03"
"11 Aug 2022","48.54","5.31","0.98"
"10 Aug 2022","48.57","5.55","0.98"
"08 Aug 2022","57.95","5.54","1.02"
"05 Aug 2022","57.34","5.49","1.03"
"04 Aug 2022","57.98","5.55","1.11"
"03 Aug 2022","58.31","5.54","1.12"
"02 Aug 2022","58.66","5.58","0.98"
"01 Aug 2022","59.10","5.55","0.99"
"29 Jul 2022","58.07","5.37","1.02"
"28 Jul 2022","57.40","5.31","1.03"
"27 Jul 2022","57.11","5.28","1.04"
"26 Jul 2022","56.88","5.26","0.96"
"25 Jul 2022","57.56","5.34","0.95"
"22 Jul 2022","58.54","5.43","0.93"
"21 Jul 2022","58.29","5.40","1.01"
"20 Jul 2022","57.97","5.37","1.02"
"19 Jul 2022","58.10","5.39","1.01"
"18 Jul 2022","57.49","5.33","1.02"
"15 Jul 2022","57.28","5.31","1.03"
"14 Jul 2022","56.14","5.20","1.21"
"13 Jul 2022","56.06","5.20","0.94"
"12 Jul 2022","56.10","5.20","0.94"
"11 Jul 2022","56.77","5.26","0.95"
"08 Jul 2022","56.18","5.21","0.96"
"07 Jul 2022","56.13","5.31","1.27"
"06 Jul 2022","55.38","5.24","1.29"
"05 Jul 2022","53.98","5.11","1.33"
"04 Jul 2022","54.17","5.13","1.32"
"01 Jul 2022","54.27","5.14","1.32"
"30 Jun 2022","54.22","5.13","1.32"
"29 Jun 2022","55.00","5.19","0.97"
"28 Jun 2022","54.92","5.18","0.97"
"27 Jun 2022","54.24","5.12","0.98"
"24 Jun 2022","53.76","5.07","0.99"
"22 Jun 2022","50.50","4.77","1.05"
"21 Jun 2022","50.94","4.81","1.04"
"20 Jun 2022","49.92","4.71","1.06"
"17 Jun 2022","50.27","4.75","1.06"
"16 Jun 2022","50.85","4.80","1.05"
"15 Jun 2022","52.01","4.91","1.03"
"14 Jun 2022","51.54","4.87","1.04"
"13 Jun 2022","51.82","4.89","1.03"
"10 Jun 2022","52.88","4.99","1.01"
"09 Jun 2022","53.00","5.00","1.01"
"07 Jun 2022","52.74","4.98","1.01"
"06 Jun 2022","52.46","4.95","1.02"
"03 Jun 2022","52.36","4.94","1.02"
"02 Jun 2022","53.34","5.03","1.00"
"01 Jun 2022","53.67","5.07","1.00"
"31 May 2022","53.78","5.08","0.99"
"30 May 2022","57.56","5.03","1.00"
"27 May 2022","56.45","4.94","1.02"
"26 May 2022","55.58","4.86","1.04"
"25 May 2022","55.16","4.82","1.05"
"24 May 2022","55.68","4.87","1.04"
"23 May 2022","55.67","4.87","1.04"
"20 May 2022","53.84","4.78","1.05"
"19 May 2022","52.38","4.65","1.08"
"18 May 2022","53.81","4.78","1.06"
"17 May 2022","53.88","4.78","1.05"
"16 May 2022","52.78","4.67","1.08"
"13 May 2022","76.19","4.56","1.11"
"12 May 2022","74.38","4.45","1.13"
"11 May 2022","74.99","4.55","1.11"
"10 May 2022","75.68","4.59","1.10"
"09 May 2022","73.76","4.59","1.10"
"06 May 2022","74.00","4.61","1.09"
"05 May 2022","75.32","4.69","1.08"
"04 May 2022","75.00","4.67","1.08"
"02 May 2022","80.28","4.79","1.05"
"29 Apr 2022","81.31","4.85","1.04"
"28 Apr 2022","82.00","4.90","1.03"
"27 Apr 2022","81.76","4.89","1.03"
"26 Apr 2022","82.22","4.92","1.03"
"25 Apr 2022","79.98","4.78","1.05"
"22 Apr 2022","80.80","4.83","1.04"
"21 Apr 2022","81.26","4.86","1.04"
"20 Apr 2022","79.49","4.75","1.06"
"19 Apr 2022","77.77","4.65","1.08"
"18 Apr 2022","78.73","4.71","1.07"
"13 Apr 2022","78.38","4.69","1.08"
"12 Apr 2022","79.05","4.73","1.07"
"11 Apr 2022","79.73","4.77","1.06"
"08 Apr 2022","79.82","4.77","1.06"
"07 Apr 2022","79.28","4.74","1.06"
"06 Apr 2022","79.91","4.78","1.06"
"05 Apr 2022","80.13","4.79","1.05"
"04 Apr 2022","79.16","4.73","1.07"
"01 Apr 2022","78.23","4.68","1.08"
"31 Mar 2022","77.31","4.62","1.09"
"30 Mar 2022","72.85","4.39","1.15"
"29 Mar 2022","71.98","4.33","1.17"
"28 Mar 2022","72.02","4.34","1.16"
"25 Mar 2022","71.55","4.31","1.17"
"24 Mar 2022","71.95","4.33","1.15"
"23 Mar 2022","72.30","4.35","1.14"
"22 Mar 2022","73.06","4.40","1.13"
"21 Mar 2022","72.20","4.35","1.14"
"17 Mar 2022","73.08","4.40","1.13"
"16 Mar 2022","71.52","4.31","1.16"
"15 Mar 2022","70.01","4.21","1.18"
"14 Mar 2022","69.62","4.19","1.19"
"11 Mar 2022","68.96","4.15","1.20"
