"Date","Open","High","Low","Close"
"09 Sep 2022","40520.75","40685.95","40280.30","40415.70"
"08 Sep 2022","39763.90","40265.75","39706.40","40208.95"
"07 Sep 2022","39337.75","39572.05","39258.25","39455.90"
"06 Sep 2022","39892.95","40073.75","39564.30","39666.50"
"05 Sep 2022","39412.05","39865.20","39407.40","39805.75"
"02 Sep 2022","39422.30","39595.85","39200.45","39421.00"
"01 Sep 2022","38806.70","39667.65","38803.30","39301.25"
"30 Aug 2022","38516.95","39606.55","38472.70","39536.75"
"29 Aug 2022","38111.60","38397.10","37943.85","38276.70"
"26 Aug 2022","39129.65","39337.10","38846.80","38987.15"
"25 Aug 2022","39190.05","39471.75","38803.70","38950.75"
"24 Aug 2022","38552.70","39120.80","38552.20","39038.50"
"23 Aug 2022","37955.45","38869.90","37950.85","38697.65"
"22 Aug 2022","38693.65","38732.85","38247.25","38297.75"
"19 Aug 2022","39732.65","39759.15","38848.40","38985.95"
"18 Aug 2022","39324.40","39703.70","39291.15","39656.15"
"17 Aug 2022","39351.30","39504.50","39202.80","39461.70"
"16 Aug 2022","39284.10","39444.60","39119.90","39239.65"
"12 Aug 2022","38942.45","39088.90","38739.95","39042.30"
"11 Aug 2022","38712.95","38932.10","38648.90","38879.85"
"10 Aug 2022","38298.85","38402.95","38155.30","38287.85"
"08 Aug 2022","37847.35","38302.35","37681.45","38237.40"
"05 Aug 2022","37868.25","38150.45","37779.90","37920.60"
"04 Aug 2022","38111.05","38231.85","37249.50","37755.55"
"03 Aug 2022","37954.55","38068.60","37692.95","37989.25"
"02 Aug 2022","37767.70","38179.85","37632.30","38024.00"
"01 Aug 2022","37594.15","37939.60","37407.20","37903.20"
"29 Jul 2022","37717.30","37754.65","37221.15","37491.40"
"28 Jul 2022","37102.45","37414.40","37028.50","37378.15"
"27 Jul 2022","36370.55","36808.30","36248.60","36783.75"
"26 Jul 2022","36688.55","36695.75","36334.10","36408.50"
"25 Jul 2022","36766.70","37011.20","36464.65","36726.40"
"22 Jul 2022","36322.90","36823.45","36286.35","36738.95"
"21 Jul 2022","36026.55","36331.70","35887.35","36201.00"
"20 Jul 2022","36061.30","36182.70","35876.55","35972.10"
"19 Jul 2022","35113.25","35761.65","35110.50","35720.35"
"18 Jul 2022","34841.85","35382.50","34804.40","35358.70"
"15 Jul 2022","34734.45","34899.95","34463.90","34682.65"
"14 Jul 2022","34817.95","35027.60","34558.45","34651.20"
"13 Jul 2022","35259.80","35308.15","34757.60","34827.80"
"12 Jul 2022","35298.70","35419.65","35047.50","35132.25"
"11 Jul 2022","35017.60","35543.10","35006.55","35469.65"
"08 Jul 2022","35258.90","35262.10","34977.75","35124.05"
"07 Jul 2022","34627.40","34965.75","34553.10","34920.30"
"06 Jul 2022","33929.40","34388.50","33876.15","34324.25"
"05 Jul 2022","34084.70","34361.05","33757.00","33815.90"
"04 Jul 2022","33558.85","33978.50","33515.60","33940.90"
"01 Jul 2022","33264.75","33666.50","33080.45","33539.45"
"30 Jun 2022","33180.70","33659.30","33179.60","33425.10"
"29 Jun 2022","33273.55","33422.80","33185.25","33269.90"
"28 Jun 2022","33578.20","33745.30","33503.30","33642.45"
"27 Jun 2022","34126.20","34147.50","33735.50","33811.25"
"24 Jun 2022","33434.80","33721.90","33390.85","33627.45"
"23 Jun 2022","32927.40","33431.75","32652.15","33135.00"
"22 Jun 2022","33051.65","33106.95","32758.15","32845.30"
"21 Jun 2022","32978.05","33593.80","32797.55","33191.75"
"20 Jun 2022","32873.40","32926.10","32426.40","32684.80"
"17 Jun 2022","32393.45","32889.80","32290.55","32743.05"
"16 Jun 2022","33648.80","33756.50","32537.95","32617.10"
"15 Jun 2022","33317.80","33554.55","33249.55","33339.00"
"14 Jun 2022","33180.60","33618.15","33123.90","33311.35"
"13 Jun 2022","33728.65","33774.05","33210.35","33405.85"
"10 Jun 2022","34686.95","34752.45","34346.65","34483.80"
"09 Jun 2022","34802.25","35149.10","34659.10","35085.45"
"08 Jun 2022","35165.65","35449.90","34831.75","34946.15"
"07 Jun 2022","35080.80","35154.30","34834.40","34996.00"
"06 Jun 2022","35159.15","35424.50","35072.30","35310.20"
"03 Jun 2022","35929.55","35958.45","35175.10","35275.05"
"02 Jun 2022","35470.95","35676.20","35385.00","35613.65"
"01 Jun 2022","35358.95","35768.70","35285.45","35620.80"
"31 May 2022","35615.30","35881.95","35288.95","35487.40"
"30 May 2022","35958.80","36083.70","35748.45","35826.95"
"27 May 2022","35326.60","35694.85","35291.95","35613.30"
"26 May 2022","34670.60","35222.05","34424.75","35094.90"
"25 May 2022","34491.80","34722.60","34285.80","34339.50"
"24 May 2022","34223.20","34586.45","34115.80","34290.15"
"23 May 2022","34321.40","34819.95","34117.35","34247.60"
"20 May 2022","33765.15","34358.05","33658.05","34276.40"
