"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","13.42","2.44","3.48"
"11 Aug 2022","13.17","2.46","3.55"
"10 Aug 2022","12.92","2.49","3.42"
"08 Aug 2022","12.08","2.49","3.21"
"05 Aug 2022","12.03","2.47","3.25"
"04 Aug 2022","12.20","2.50","3.26"
"03 Aug 2022","12.31","2.52","3.23"
"02 Aug 2022","12.30","2.52","3.23"
"01 Aug 2022","11.94","2.50","3.26"
"29 Jul 2022","11.61","2.43","3.33"
"28 Jul 2022","11.41","2.39","3.39"
"27 Jul 2022","11.32","2.36","3.43"
"26 Jul 2022","11.32","2.36","3.43"
"25 Jul 2022","11.50","2.37","3.41"
"22 Jul 2022","11.62","2.39","3.38"
"21 Jul 2022","11.66","2.40","3.37"
"20 Jul 2022","11.61","2.39","3.38"
"19 Jul 2022","11.50","2.37","3.41"
"18 Jul 2022","11.46","2.36","3.43"
"15 Jul 2022","11.32","2.33","3.47"
"14 Jul 2022","11.32","2.33","3.47"
"13 Jul 2022","11.21","2.31","3.50"
"12 Jul 2022","11.38","2.34","3.45"
"11 Jul 2022","11.34","2.33","3.46"
"08 Jul 2022","11.04","2.27","3.56"
"07 Jul 2022","10.93","2.22","3.59"
"06 Jul 2022","10.92","2.21","3.60"
"05 Jul 2022","10.98","2.23","3.57"
"04 Jul 2022","10.92","2.21","3.60"
"01 Jul 2022","10.94","2.22","3.59"
"30 Jun 2022","11.38","2.31","3.45"
"29 Jun 2022","11.45","2.31","3.44"
"28 Jun 2022","11.22","2.27","3.51"
"27 Jun 2022","11.11","2.24","3.55"
"24 Jun 2022","11.01","2.22","3.58"
"22 Jun 2022","10.91","2.20","3.62"
"21 Jun 2022","11.17","2.26","3.53"
"20 Jun 2022","10.87","2.20","3.63"
"17 Jun 2022","11.08","2.24","3.56"
"16 Jun 2022","11.17","2.26","3.57"
"15 Jun 2022","11.41","2.30","3.50"
"14 Jun 2022","11.54","2.33","3.41"
"13 Jun 2022","11.61","2.34","3.39"
"10 Jun 2022","11.83","2.39","3.41"
"09 Jun 2022","12.05","2.43","3.35"
"07 Jun 2022","11.97","2.42","3.37"
"06 Jun 2022","11.84","2.39","3.41"
"03 Jun 2022","11.87","2.40","3.40"
"02 Jun 2022","11.91","2.41","3.39"
"01 Jun 2022","11.67","2.36","3.46"
"31 May 2022","11.75","2.37","3.43"
"30 May 2022","12.03","2.40","3.40"
"27 May 2022","11.84","2.36","3.45"
"26 May 2022","11.28","2.39","3.42"
"25 May 2022","11.29","2.39","3.42"
"24 May 2022","11.31","2.39","3.41"
"23 May 2022","11.52","2.41","3.38"
"20 May 2022","11.69","2.45","3.33"
"19 May 2022","11.43","2.39","3.41"
"18 May 2022","11.53","2.44","3.35"
"17 May 2022","11.59","2.45","3.33"
"16 May 2022","11.24","2.38","3.43"
"13 May 2022","11.11","2.35","3.47"
"12 May 2022","11.27","2.38","3.42"
"11 May 2022","11.60","2.45","3.33"
"10 May 2022","11.65","2.46","3.31"
