"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","16.62","3.25","1.37"
"11 Aug 2022","16.49","3.28","1.40"
"10 Aug 2022","16.43","3.30","1.39"
"08 Aug 2022","16.43","3.30","1.30"
"05 Aug 2022","16.33","3.28","1.28"
"04 Aug 2022","16.28","3.27","1.28"
"03 Aug 2022","16.30","3.27","1.28"
"02 Aug 2022","16.34","3.28","1.28"
"01 Aug 2022","16.35","3.27","1.27"
"29 Jul 2022","16.13","3.23","1.29"
"28 Jul 2022","15.86","3.18","1.32"
"27 Jul 2022","15.82","3.14","1.42"
"26 Jul 2022","15.54","3.10","1.44"
"25 Jul 2022","15.34","3.15","1.44"
"22 Jul 2022","15.34","3.14","1.44"
"21 Jul 2022","15.23","3.12","1.46"
"20 Jul 2022","15.06","3.09","1.34"
"19 Jul 2022","15.09","3.09","1.34"
"18 Jul 2022","14.99","3.07","1.34"
"15 Jul 2022","14.75","3.02","1.36"
"14 Jul 2022","14.65","3.00","1.37"
"13 Jul 2022","14.65","3.00","1.37"
"12 Jul 2022","14.72","3.02","1.36"
"11 Jul 2022","14.76","3.03","1.36"
"08 Jul 2022","14.51","3.17","1.38"
"07 Jul 2022","14.41","3.19","1.40"
"06 Jul 2022","14.18","3.14","1.41"
"05 Jul 2022","13.98","3.09","1.43"
"04 Jul 2022","14.01","3.10","1.47"
"01 Jul 2022","14.00","3.10","1.33"
"30 Jun 2022","13.84","3.06","1.36"
"29 Jun 2022","13.89","3.05","1.35"
"28 Jun 2022","13.95","3.07","1.38"
"27 Jun 2022","13.94","3.07","1.38"
"24 Jun 2022","13.77","3.03","1.40"
"22 Jun 2022","13.48","2.96","1.43"
"21 Jun 2022","13.72","3.02","1.40"
"20 Jun 2022","13.34","2.93","1.44"
"17 Jun 2022","13.40","2.95","1.44"
"16 Jun 2022","13.55","2.98","1.59"
"15 Jun 2022","13.89","3.05","1.55"
"14 Jun 2022","13.90","3.06","1.23"
"13 Jun 2022","13.88","3.05","1.23"
"10 Jun 2022","14.25","3.13","1.19"
"09 Jun 2022","14.41","3.17","1.23"
"07 Jun 2022","14.47","3.18","1.16"
"06 Jun 2022","14.61","3.21","1.15"
