"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","17.70","2.85","2.16"
"11 Aug 2022","17.58","2.89","2.20"
"10 Aug 2022","17.51","2.94","2.12"
"08 Aug 2022","15.93","2.93","2.03"
"05 Aug 2022","15.92","2.92","2.04"
"04 Aug 2022","15.91","2.91","2.07"
"03 Aug 2022","16.03","2.93","2.06"
"02 Aug 2022","16.05","2.93","2.06"
"01 Aug 2022","15.90","2.93","2.04"
"29 Jul 2022","15.59","2.88","2.02"
"28 Jul 2022","15.39","2.84","2.05"
"27 Jul 2022","15.45","2.83","2.20"
"26 Jul 2022","15.35","2.81","2.22"
"25 Jul 2022","15.57","2.86","2.20"
"22 Jul 2022","15.68","2.88","2.19"
"21 Jul 2022","15.63","2.87","2.20"
"20 Jul 2022","15.49","2.84","2.04"
"19 Jul 2022","15.38","2.82","2.06"
"18 Jul 2022","15.31","2.81","2.07"
"15 Jul 2022","15.11","2.78","2.09"
"14 Jul 2022","14.96","2.75","2.11"
"13 Jul 2022","14.93","2.75","2.08"
"12 Jul 2022","15.03","2.76","2.06"
"11 Jul 2022","15.08","2.77","2.06"
"08 Jul 2022","15.12","2.79","2.05"
"07 Jul 2022","14.94","2.74","2.17"
"06 Jul 2022","14.83","2.72","2.19"
"05 Jul 2022","14.79","2.71","2.20"
"04 Jul 2022","14.77","2.71","2.20"
"01 Jul 2022","14.70","2.69","2.19"
"30 Jun 2022","14.95","2.74","2.17"
"29 Jun 2022","15.13","2.76","2.14"
"28 Jun 2022","15.03","2.74","2.16"
"27 Jun 2022","14.93","2.72","2.17"
"24 Jun 2022","14.77","2.69","2.19"
"22 Jun 2022","14.59","2.66","2.24"
"21 Jun 2022","14.82","2.70","2.21"
"20 Jun 2022","14.52","2.65","2.25"
"17 Jun 2022","14.69","2.68","2.23"
"16 Jun 2022","14.84","2.71","2.23"
"15 Jun 2022","15.23","2.78","2.17"
"14 Jun 2022","15.27","2.79","2.14"
"13 Jun 2022","15.26","2.78","2.15"
"10 Jun 2022","15.62","2.85","2.15"
"09 Jun 2022","15.78","2.88","2.13"
"07 Jun 2022","15.75","2.87","2.13"
"06 Jun 2022","15.78","2.88","2.13"
"03 Jun 2022","15.85","2.89","2.12"
"02 Jun 2022","15.96","2.91","2.10"
"01 Jun 2022","15.85","2.89","2.12"
"31 May 2022","15.93","2.91","2.11"
"30 May 2022","16.01","2.90","2.11"
"27 May 2022","15.62","2.83","2.16"
"26 May 2022","15.04","2.83","2.16"
"25 May 2022","15.09","2.82","2.17"
"24 May 2022","15.21","2.84","2.15"
"23 May 2022","15.39","2.86","2.14"
"20 May 2022","15.40","2.88","2.13"
"19 May 2022","14.99","2.80","2.19"
"18 May 2022","15.36","2.86","2.14"
"17 May 2022","15.48","2.88","2.12"
"16 May 2022","15.04","2.80","2.19"
"13 May 2022","14.99","2.78","2.20"
"12 May 2022","15.04","2.79","2.13"
"11 May 2022","15.37","2.85","2.09"
"10 May 2022","15.48","2.87","2.07"
"09 May 2022","15.81","2.91","2.05"
"06 May 2022","16.03","2.94","2.02"
"05 May 2022","16.19","2.97","2.00"
"04 May 2022","16.30","2.99","1.99"
"02 May 2022","16.70","3.05","1.95"
"29 Apr 2022","16.69","3.06","1.95"
"28 Apr 2022","16.95","3.11","1.92"
"27 Apr 2022","16.76","3.07","1.94"
"26 Apr 2022","16.91","3.10","1.92"
"25 Apr 2022","16.57","3.04","1.96"
"22 Apr 2022","16.92","3.10","1.92"
"21 Apr 2022","17.05","3.13","1.91"
"20 Apr 2022","16.81","3.09","1.93"
"19 Apr 2022","16.60","3.05","1.96"
"18 Apr 2022","16.62","3.05","1.95"
"13 Apr 2022","16.73","3.07","1.94"
"12 Apr 2022","16.69","3.06","1.95"
"11 Apr 2022","16.96","3.11","1.91"
"08 Apr 2022","16.94","3.11","1.92"
"07 Apr 2022","16.75","3.08","1.94"
"06 Apr 2022","16.97","3.12","1.91"
"05 Apr 2022","16.86","3.10","1.93"
"04 Apr 2022","16.76","3.08","1.94"
"01 Apr 2022","16.57","3.04","1.93"
"31 Mar 2022","16.32","3.00","1.96"
"30 Mar 2022","16.32","2.99","1.93"
"29 Mar 2022","16.17","2.96","1.92"
"28 Mar 2022","16.06","2.94","1.94"
"25 Mar 2022","15.97","2.92","1.95"
"24 Mar 2022","15.96","2.92","1.98"
"23 Mar 2022","15.85","2.90","1.99"
"22 Mar 2022","15.87","2.90","2.04"
"21 Mar 2022","15.69","2.87","2.09"
"17 Mar 2022","15.96","2.92","2.01"
"16 Mar 2022","15.72","2.88","2.04"
"15 Mar 2022","15.43","2.82","2.07"
"14 Mar 2022","15.61","2.86","2.05"
"11 Mar 2022","15.57","2.85","2.06"
"10 Mar 2022","15.49","2.83","2.07"
