"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","27.21","8.30","2.18"
"11 Aug 2022","27.53","8.43","2.15"
"10 Aug 2022","27.04","8.26","2.19"
"08 Aug 2022","27.29","8.34","2.18"
"05 Aug 2022","27.29","8.34","2.18"
"04 Aug 2022","27.12","8.29","2.20"
"03 Aug 2022","26.78","8.19","2.22"
"02 Aug 2022","26.43","8.08","2.24"
"01 Aug 2022","26.60","8.13","2.23"
"29 Jul 2022","26.54","8.11","2.24"
"28 Jul 2022","26.10","7.98","2.28"
"27 Jul 2022","25.38","7.76","2.35"
"26 Jul 2022","24.88","7.63","2.44"
"25 Jul 2022","25.69","7.85","2.37"
"22 Jul 2022","25.64","7.84","2.65"
"21 Jul 2022","25.62","7.89","2.64"
"20 Jul 2022","25.44","7.83","2.38"
"19 Jul 2022","24.72","7.61","2.45"
"18 Jul 2022","24.70","7.60","2.35"
"15 Jul 2022","23.94","7.37","2.43"
"14 Jul 2022","24.03","7.38","2.49"
"13 Jul 2022","24.49","7.50","2.38"
"12 Jul 2022","24.61","7.53","2.37"
"11 Jul 2022","24.90","7.62","2.34"
"08 Jul 2022","25.76","7.91","2.27"
"07 Jul 2022","25.71","8.30","2.28"
"06 Jul 2022","25.54","8.24","2.29"
"05 Jul 2022","25.26","8.15","2.31"
"04 Jul 2022","25.43","8.21","2.19"
"01 Jul 2022","25.59","8.26","2.17"
"30 Jun 2022","25.39","8.19","2.22"
"29 Jun 2022","26.22","8.70","2.10"
"28 Jun 2022","26.56","8.81","2.07"
"27 Jun 2022","26.41","8.76","2.09"
"24 Jun 2022","25.88","8.59","2.13"
"22 Jun 2022","25.61","8.50","2.15"
"21 Jun 2022","25.91","8.60","2.13"
"20 Jun 2022","25.12","8.34","2.19"
"17 Jun 2022","24.90","8.26","2.21"
"16 Jun 2022","25.28","8.39","2.18"
"15 Jun 2022","25.91","8.60","2.13"
"14 Jun 2022","26.04","8.64","2.12"
"13 Jun 2022","26.01","8.63","2.12"
"10 Jun 2022","27.12","9.00","2.03"
"09 Jun 2022","27.73","9.20","1.99"
"07 Jun 2022","27.34","9.07","2.01"
"06 Jun 2022","27.78","9.22","1.98"
"03 Jun 2022","27.86","9.24","1.98"
"02 Jun 2022","27.76","9.21","1.98"
"01 Jun 2022","27.26","9.05","2.02"
"31 May 2022","27.65","9.17","1.99"
"30 May 2022","27.72","9.17","1.97"
"27 May 2022","26.68","8.83","2.05"
"26 May 2022","26.02","8.61","2.10"
"25 May 2022","25.68","8.50","2.13"
"24 May 2022","26.58","8.80","1.99"
"23 May 2022","27.09","8.97","1.96"
"20 May 2022","26.82","8.88","1.97"
"19 May 2022","26.41","8.74","2.00"
"18 May 2022","28.02","9.27","1.88"
"17 May 2022","28.15","9.32","1.88"
"16 May 2022","27.66","9.07","1.94"
"13 May 2022","27.95","9.13","1.92"
"12 May 2022","28.07","9.17","1.91"
"11 May 2022","28.35","9.27","1.89"
"10 May 2022","28.70","9.38","1.87"
"09 May 2022","28.99","9.48","1.85"
"06 May 2022","28.98","9.47","1.85"
"05 May 2022","29.65","9.69","1.81"
"04 May 2022","29.05","9.49","1.85"
"02 May 2022","29.47","9.60","1.83"
"29 Apr 2022","29.93","9.75","1.80"
"28 Apr 2022","30.20","9.84","1.91"
"27 Apr 2022","29.90","9.74","1.78"
"26 Apr 2022","30.13","9.82","1.77"
"25 Apr 2022","30.04","9.79","1.78"
"22 Apr 2022","31.44","10.00","1.74"
