"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","565.42","3.16","0.70"
"11 Aug 2022","573.54","3.21","0.69"
"10 Aug 2022","447.18","3.24","0.68"
"08 Aug 2022","449.37","3.25","0.68"
"05 Aug 2022","445.81","3.23","0.68"
"04 Aug 2022","-","3.24","0.68"
"03 Aug 2022","-","3.27","0.67"
"02 Aug 2022","-","3.29","0.67"
"01 Aug 2022","-","3.29","0.67"
"29 Jul 2022","-","3.22","0.69"
"28 Jul 2022","-","3.17","0.70"
"27 Jul 2022","-","3.13","0.71"
"26 Jul 2022","-","3.06","0.72"
"25 Jul 2022","-","3.04","0.73"
"22 Jul 2022","-","3.06","0.72"
"21 Jul 2022","-","3.05","0.72"
"20 Jul 2022","-","3.01","0.73"
"19 Jul 2022","-","3.03","0.73"
"18 Jul 2022","-","3.04","0.73"
"15 Jul 2022","-","3.00","0.74"
"14 Jul 2022","-","2.99","0.74"
"13 Jul 2022","-","3.00","0.74"
"12 Jul 2022","-","2.98","0.74"
"11 Jul 2022","-","3.02","0.73"
"08 Jul 2022","-","2.95","0.73"
"07 Jul 2022","-","2.94","0.73"
"06 Jul 2022","-","2.93","0.74"
"05 Jul 2022","-","2.88","0.75"
"04 Jul 2022","-","2.90","0.74"
"01 Jul 2022","-","2.89","0.75"
"30 Jun 2022","-","2.87","0.75"
"29 Jun 2022","-","2.85","0.77"
"28 Jun 2022","-","2.85","0.77"
"27 Jun 2022","-","2.84","0.77"
"24 Jun 2022","-","2.84","0.77"
"22 Jun 2022","-","2.73","0.81"
"21 Jun 2022","-","2.83","0.78"
"20 Jun 2022","-","2.68","0.82"
"17 Jun 2022","-","2.75","0.80"
"16 Jun 2022","-","2.75","0.80"
"15 Jun 2022","-","2.84","0.77"
"14 Jun 2022","-","2.85","0.77"
"13 Jun 2022","-","2.85","0.77"
"10 Jun 2022","-","2.97","0.74"
"09 Jun 2022","-","3.01","0.73"
"07 Jun 2022","-","2.96","0.74"
"06 Jun 2022","-","3.00","0.73"
"03 Jun 2022","-","3.04","0.72"
"02 Jun 2022","155.75","3.09","0.71"
"01 Jun 2022","154.03","3.06","0.72"
"31 May 2022","155.19","3.08","0.71"
"30 May 2022","142.31","3.03","0.73"
"27 May 2022","117.22","2.94","0.75"
"26 May 2022","114.38","2.87","0.77"
"25 May 2022","113.20","2.84","0.77"
"24 May 2022","116.54","2.92","0.75"
"23 May 2022","119.61","3.00","0.73"
"20 May 2022","120.79","3.03","0.73"
"19 May 2022","115.62","2.90","0.76"
"18 May 2022","120.12","3.01","0.73"
"17 May 2022","120.36","3.02","0.73"
"16 May 2022","116.90","2.93","0.75"
"13 May 2022","116.49","2.92","0.75"
"12 May 2022","115.24","2.89","0.76"
"11 May 2022","117.11","2.93","0.75"
"10 May 2022","196.98","2.94","0.75"
"09 May 2022","197.67","2.95","0.75"
"06 May 2022","192.27","3.03","0.73"
"05 May 2022","196.07","3.09","0.71"
"04 May 2022","243.82","3.10","0.71"
"02 May 2022","254.75","3.24","0.68"
"29 Apr 2022","253.69","3.22","0.68"
"28 Apr 2022","261.18","3.32","0.66"
"27 Apr 2022","269.68","3.43","0.64"
"26 Apr 2022","269.49","3.42","0.64"
"25 Apr 2022","264.46","3.36","0.65"
"22 Apr 2022","270.32","3.44","0.64"
"21 Apr 2022","271.01","3.44","0.64"
"20 Apr 2022","271.33","3.45","0.64"
"19 Apr 2022","272.58","3.46","0.63"
"18 Apr 2022","277.92","3.53","0.62"
"13 Apr 2022","264.83","3.58","0.61"
"12 Apr 2022","266.89","3.61","0.61"
"11 Apr 2022","271.00","3.67","0.60"
"08 Apr 2022","267.35","3.62","0.61"
"07 Apr 2022","265.59","3.59","0.61"
"06 Apr 2022","269.01","3.64","0.60"
"05 Apr 2022","271.31","3.67","0.60"
"04 Apr 2022","272.02","3.68","0.63"
"01 Apr 2022","268.25","3.63","0.64"
"31 Mar 2022","263.71","3.57","0.65"
"30 Mar 2022","677.26","3.56","0.64"
"29 Mar 2022","662.18","3.48","0.65"
"28 Mar 2022","670.35","3.53","0.64"
"25 Mar 2022","666.42","3.51","0.65"
"24 Mar 2022","666.14","3.51","0.65"
"23 Mar 2022","628.99","3.31","0.69"
"22 Mar 2022","627.65","3.30","0.69"
"21 Mar 2022","625.98","3.29","0.69"
"17 Mar 2022","623.10","3.28","0.69"
"16 Mar 2022","616.12","3.24","0.58"
"15 Mar 2022","612.11","3.22","0.58"
"14 Mar 2022","626.53","3.30","0.57"
"11 Mar 2022","611.57","3.22","0.58"
"10 Mar 2022","611.76","3.22","0.58"
"09 Mar 2022","609.78","3.21","0.58"
"08 Mar 2022","586.04","3.08","0.61"
"07 Mar 2022","570.33","3.00","0.62"
"04 Mar 2022","572.99","3.02","0.62"
"03 Mar 2022","589.93","3.1","0.6"
"02 Mar 2022","587.65","3.09","0.61"
"28 Feb 2022","576.88","3.04","0.62"
"25 Feb 2022","572.99","3.02","0.62"
"24 Feb 2022","547.32","2.88","0.65"
"22 Feb 2022","583.92","3.07","0.61"
"21 Feb 2022","603.87","3.18","0.59"
"18 Feb 2022","620.69","3.27","0.57"
"17 Feb 2022","625.00","3.29","0.57"
"16 Feb 2022","629.69","3.31","0.63"
"15 Feb 2022","594.20","3.33","0.62"
"14 Feb 2022","566.80","3.21","0.64"
"11 Feb 2022","652.11","3.35","0.62"
"10 Feb 2022","661.11","3.40","0.61"
"09 Feb 2022","650.31","3.34","0.62"
"08 Feb 2022","638.42","3.28","0.63"
"07 Feb 2022","645.05","3.32","0.62"
"04 Feb 2022","654.78","3.37","0.62"
"03 Feb 2022","394.90","3.43","0.60"
"02 Feb 2022","397.23","3.45","0.60"
"01 Feb 2022","390.32","3.39","0.61"
