"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","6.59","1.98","5.09"
"11 Aug 2022","6.55","1.97","5.29"
"10 Aug 2022","6.56","1.97","5.14"
"08 Aug 2022","6.45","1.94","5.24"
"05 Aug 2022","6.19","1.87","5.56"
"04 Aug 2022","6.22","1.88","5.54"
"03 Aug 2022","6.14","1.86","5.60"
"02 Aug 2022","6.15","1.86","5.59"
"01 Aug 2022","6.17","1.87","5.58"
"29 Jul 2022","6.08","1.84","5.67"
"28 Jul 2022","5.85","1.77","5.89"
"27 Jul 2022","5.75","1.74","5.90"
"26 Jul 2022","5.59","1.73","5.94"
"25 Jul 2022","5.47","1.74","5.30"
"22 Jul 2022","5.39","1.72","5.37"
"21 Jul 2022","5.39","1.72","5.38"
"20 Jul 2022","5.34","1.70","5.42"
"19 Jul 2022","5.29","1.69","5.33"
"18 Jul 2022","5.25","1.67","5.37"
"15 Jul 2022","5.10","1.63","5.50"
"14 Jul 2022","5.15","1.65","5.46"
"13 Jul 2022","5.15","1.65","5.45"
"12 Jul 2022","5.11","1.63","5.49"
"11 Jul 2022","5.17","1.65","5.42"
"08 Jul 2022","5.07","1.87","5.53"
"07 Jul 2022","5.12","1.89","5.48"
"06 Jul 2022","4.93","1.82","5.69"
"05 Jul 2022","4.93","1.82","5.69"
"04 Jul 2022","4.91","1.81","5.90"
"01 Jul 2022","4.96","1.83","5.34"
"30 Jun 2022","4.93","1.82","5.39"
"29 Jun 2022","5.03","1.85","5.28"
"28 Jun 2022","5.02","1.85","5.29"
"27 Jun 2022","4.93","1.82","5.38"
"24 Jun 2022","4.86","1.79","5.46"
"22 Jun 2022","4.75","1.75","5.59"
"21 Jun 2022","4.99","1.84","5.31"
"20 Jun 2022","4.80","1.77","5.52"
"17 Jun 2022","4.99","1.84","5.31"
"16 Jun 2022","4.99","1.84","5.90"
"15 Jun 2022","5.27","1.94","5.59"
"14 Jun 2022","5.31","1.96","4.40"
"13 Jun 2022","5.29","1.95","4.42"
"10 Jun 2022","5.50","2.03","4.25"
"09 Jun 2022","5.58","2.06","4.18"
"07 Jun 2022","5.65","2.08","4.12"
"06 Jun 2022","5.70","2.10","4.08"
"03 Jun 2022","5.63","2.08","4.13"
"02 Jun 2022","5.69","2.10","4.07"
"01 Jun 2022","5.63","2.08","4.12"
"31 May 2022","5.63","2.08","4.12"
"30 May 2022","5.62","2.06","4.17"
"27 May 2022","5.53","2.04","4.21"
"26 May 2022","5.54","2.04","4.21"
"25 May 2022","5.37","1.98","4.32"
"24 May 2022","5.48","2.02","4.24"
"23 May 2022","5.54","2.05","4.19"
"20 May 2022","6.03","2.23","3.85"
"19 May 2022","5.79","2.14","4.01"
"18 May 2022","6.03","2.23","3.85"
"17 May 2022","6.05","2.24","3.83"
"16 May 2022","5.67","2.09","4.10"
"13 May 2022","5.62","2.07","4.13"
"12 May 2022","5.74","2.12","4.05"
"11 May 2022","5.96","2.20","3.90"
"10 May 2022","5.96","2.20","3.90"
"09 May 2022","6.46","2.32","3.69"
"06 May 2022","6.60","2.37","3.62"
"05 May 2022","6.79","2.44","2.72"
"04 May 2022","6.75","2.42","2.74"
"02 May 2022","6.96","2.50","2.65"
"29 Apr 2022","6.92","2.49","2.67"
"28 Apr 2022","6.96","2.50","2.65"
"27 Apr 2022","6.92","2.49","2.67"
"26 Apr 2022","6.93","2.49","2.66"
"25 Apr 2022","6.85","2.46","2.70"
"22 Apr 2022","7.05","2.54","2.62"
"21 Apr 2022","7.19","2.59","2.57"
"20 Apr 2022","7.18","2.58","2.58"
"19 Apr 2022","7.20","2.59","2.57"
"18 Apr 2022","7.28","2.62","2.54"
"13 Apr 2022","7.26","2.61","2.55"
"12 Apr 2022","7.22","2.59","2.56"
"11 Apr 2022","7.42","2.67","2.49"
"08 Apr 2022","7.40","2.66","2.50"
"07 Apr 2022","7.25","2.61","2.55"
"06 Apr 2022","7.37","2.65","2.51"
"05 Apr 2022","7.27","2.61","2.54"
"04 Apr 2022","7.23","2.60","2.56"
"01 Apr 2022","7.09","2.55","2.61"
"31 Mar 2022","7.03","2.53","2.63"
"30 Mar 2022","7.08","2.64","3.30"
"29 Mar 2022","7.24","2.70","3.23"
"28 Mar 2022","7.23","2.70","3.24"
"25 Mar 2022","7.16","2.67","3.19"
"24 Mar 2022","7.16","2.67","3.20"
"23 Mar 2022","7.05","2.63","3.24"
"22 Mar 2022","6.97","2.60","3.28"
"21 Mar 2022","6.91","2.58","3.53"
"17 Mar 2022","6.81","2.54","3.59"
"16 Mar 2022","6.68","2.49","3.66"
"15 Mar 2022","6.51","2.43","3.74"
"14 Mar 2022","6.79","2.53","3.81"
"11 Mar 2022","6.82","2.54","3.79"
"10 Mar 2022","6.79","2.53","3.81"
"09 Mar 2022","6.64","2.48","3.90"
"08 Mar 2022","6.66","2.48","3.52"
"07 Mar 2022","6.76","2.52","3.47"
"04 Mar 2022","6.62","2.47","3.55"
"03 Mar 2022","6.84","2.55","3.43"
"02 Mar 2022","6.76","2.52","3.47"
"28 Feb 2022","6.5","2.42","3.61"
"25 Feb 2022","6.19","2.31","3.79"
"24 Feb 2022","5.85","2.18","4.01"
"22 Feb 2022","6.16","2.30","3.81"
"21 Feb 2022","6.23","2.33","3.77"
"18 Feb 2022","6.36","2.37","3.46"
"17 Feb 2022","6.38","2.38","3.45"
"16 Feb 2022","6.40","2.39","3.23"
"15 Feb 2022","6.48","2.40","3.21"
"14 Feb 2022","6.34","2.35","3.28"
"11 Feb 2022","6.77","2.48","3.12"
"10 Feb 2022","6.81","2.49","3.10"
"09 Feb 2022","6.70","2.46","3.14"
"08 Feb 2022","6.60","2.41","3.20"
"07 Feb 2022","6.91","2.40","3.22"
"04 Feb 2022","6.91","2.40","3.22"
"03 Feb 2022","6.83","2.37","3.29"
"02 Feb 2022","6.85","2.37","3.28"
"01 Feb 2022","6.78","2.35","3.32"
"31 Jan 2022","6.53","2.25","3.47"
"28 Jan 2022","6.52","2.25","3.47"
"27 Jan 2022","6.49","2.24","3.48"
"25 Jan 2022","6.54","2.25","3.46"
"24 Jan 2022","6.54","2.23","3.50"
"21 Jan 2022","6.90","2.35","3.32"
"20 Jan 2022","7.04","2.40","3.25"
"19 Jan 2022","7.00","2.38","3.27"
"18 Jan 2022","6.95","2.36","3.30"
"17 Jan 2022","7.11","2.42","3.22"
"14 Jan 2022","7.09","2.41","3.23"
"13 Jan 2022","7.10","2.42","3.22"
"12 Jan 2022","6.86","2.34","3.34"
"11 Jan 2022","6.77","2.31","3.38"
"10 Jan 2022","6.90","2.35","3.32"
"07 Jan 2022","6.86","2.34","3.34"
"06 Jan 2022","6.83","2.32","3.35"
"05 Jan 2022","6.86","2.34","3.34"
"04 Jan 2022","6.77","2.30","3.38"
"03 Jan 2022","6.79","2.31","3.37"
"31 Dec 2021","6.67","2.27","3.44"
"30 Dec 2021","6.51","2.22","3.52"
"29 Dec 2021","6.59","2.24","3.47"
"28 Dec 2021","6.66","2.27","3.44"
"27 Dec 2021","6.60","2.25","3.47"
"24 Dec 2021","6.61","2.25","3.47"
"23 Dec 2021","6.64","2.26","3.45"
"22 Dec 2021","6.64","2.26","3.45"
"21 Dec 2021","6.52","2.22","3.51"
"20 Dec 2021","6.34","2.16","3.61"
"17 Dec 2021","6.59","2.24","3.48"
"16 Dec 2021","6.73","2.29","3.00"
"15 Dec 2021","6.74","2.29","3.00"
"14 Dec 2021","6.82","2.32","2.96"
"13 Dec 2021","6.81","2.32","2.63"
"10 Dec 2021","6.83","2.32","2.62"
"09 Dec 2021","6.79","2.31","2.63"
"08 Dec 2021","6.75","2.30","2.65"
"07 Dec 2021","6.63","2.26","2.70"
"06 Dec 2021","6.43","2.19","2.78"
"03 Dec 2021","6.54","2.22","2.29"
"02 Dec 2021","6.55","2.23","2.29"
"01 Dec 2021","6.45","2.20","2.32"
"30 Nov 2021","6.31","2.15","2.39"
"29 Nov 2021","6.43","2.19","2.34"
"26 Nov 2021","6.45","2.20","2.33"
"25 Nov 2021","6.82","2.32","2.21"
"24 Nov 2021","6.79","2.31","2.22"
"23 Nov 2021","6.79","2.31","2.18"
"22 Nov 2021","6.57","2.24","2.25"
"18 Nov 2021","6.57","2.24","2.62"
"17 Nov 2021","6.75","2.30","2.55"
"16 Nov 2021","6.77","2.30","2.54"
"15 Nov 2021","7.84","2.32","2.52"
"12 Nov 2021","8.08","2.36","2.48"
"11 Nov 2021","8.01","2.34","2.50"
"10 Nov 2021","7.98","2.34","2.51"
"09 Nov 2021","8.13","2.38","2.46"
"08 Nov 2021","8.15","2.38","2.33"
"04 Nov 2021","8.13","2.35","2.36"
"03 Nov 2021","8.13","2.35","2.36"
"02 Nov 2021","8.06","2.33","2.38"
"01 Nov 2021","8.63","2.37","2.35"
"29 Oct 2021","8.37","2.30","2.42"
"28 Oct 2021","8.32","2.28","2.43"
"27 Oct 2021","8.61","2.36","2.62"
"26 Oct 2021","8.75","2.40","2.70"
"25 Oct 2021","8.52","2.34","2.77"
"22 Oct 2021","8.93","2.34","2.77"
"21 Oct 2021","9.21","2.42","2.68"
"20 Oct 2021","9.37","2.46","2.64"
"19 Oct 2021","9.57","2.51","2.58"
"18 Oct 2021","9.81","2.64","2.52"
"14 Oct 2021","9.45","2.54","2.62"
"13 Oct 2021","9.28","2.50","2.66"
"12 Oct 2021","9.15","2.46","2.70"
"11 Oct 2021","9.05","2.44","2.73"
"08 Oct 2021","8.92","2.40","2.77"
"07 Oct 2021","8.88","2.39","2.78"
"06 Oct 2021","8.83","2.38","2.80"
"05 Oct 2021","9.10","2.45","2.71"
"04 Oct 2021","9.11","2.45","2.71"
"01 Oct 2021","8.85","2.38","2.79"
"30 Sep 2021","8.80","2.37","2.81"
"29 Sep 2021","8.85","2.37","2.80"
"28 Sep 2021","8.65","2.32","2.86"
"27 Sep 2021","8.60","2.31","2.88"
"24 Sep 2021","8.59","2.30","2.88"
"23 Sep 2021","8.78","2.37","2.82"
"22 Sep 2021","8.63","2.33","2.85"
"21 Sep 2021","8.51","2.30","2.89"
"20 Sep 2021","8.30","2.24","2.96"
"17 Sep 2021","8.88","2.40","2.71"
"16 Sep 2021","9.10","2.46","2.64"
"15 Sep 2021","9.16","2.47","2.62"
"14 Sep 2021","9.08","2.45","2.64"
"13 Sep 2021","9.13","2.46","2.63"
"09 Sep 2021","9.01","2.43","2.67"
"08 Sep 2021","8.94","2.41","2.69"
"07 Sep 2021","8.97","2.42","2.15"
"06 Sep 2021","9.02","2.44","2.13"
