"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","23.64","3.32","1.21"
"11 Aug 2022","23.69","3.31","1.22"
"10 Aug 2022","23.81","3.32","1.23"
"08 Aug 2022","22.00","3.32","1.24"
"05 Aug 2022","22.02","3.35","1.22"
"04 Aug 2022","21.98","3.34","1.22"
"03 Aug 2022","21.83","3.32","1.22"
"02 Aug 2022","22.03","3.35","1.21"
"01 Aug 2022","22.23","3.33","1.18"
"29 Jul 2022","22.42","3.28","1.20"
"28 Jul 2022","22.15","3.23","1.22"
"27 Jul 2022","22.07","3.21","1.23"
"26 Jul 2022","21.98","3.17","1.25"
"25 Jul 2022","22.31","3.23","1.23"
"22 Jul 2022","22.38","3.23","1.23"
"21 Jul 2022","22.42","3.23","1.23"
"20 Jul 2022","22.13","3.19","1.24"
"19 Jul 2022","22.10","3.19","1.19"
"18 Jul 2022","21.95","3.16","1.19"
"15 Jul 2022","21.77","3.12","1.21"
"14 Jul 2022","21.62","3.10","1.24"
"13 Jul 2022","21.63","3.10","1.22"
"12 Jul 2022","21.60","3.09","1.22"
"11 Jul 2022","21.70","3.11","1.18"
"08 Jul 2022","21.50","3.09","1.19"
"07 Jul 2022","21.44","3.17","1.33"
"06 Jul 2022","21.15","3.13","1.31"
"05 Jul 2022","20.76","3.07","1.34"
"04 Jul 2022","20.81","3.08","1.30"
"01 Jul 2022","20.67","3.06","1.29"
"30 Jun 2022","20.57","3.04","1.34"
"29 Jun 2022","20.68","3.06","1.32"
"28 Jun 2022","20.77","3.07","1.31"
"27 Jun 2022","20.71","3.06","1.31"
"24 Jun 2022","20.51","3.03","1.33"
"22 Jun 2022","19.98","2.95","1.36"
"21 Jun 2022","20.31","3.00","1.32"
"20 Jun 2022","19.61","2.90","1.36"
"17 Jun 2022","20.07","2.97","1.33"
"16 Jun 2022","20.30","3.00","1.37"
"15 Jun 2022","20.79","3.07","1.34"
"14 Jun 2022","20.72","3.06","1.25"
"13 Jun 2022","20.73","3.07","1.25"
"10 Jun 2022","21.35","3.16","1.22"
"09 Jun 2022","21.52","3.19","1.19"
"07 Jun 2022","21.52","3.19","1.17"
"06 Jun 2022","21.67","3.21","1.17"
"03 Jun 2022","21.69","3.21","1.16"
