"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","22.20","4.34","2.14"
"11 Aug 2022","22.16","4.53","2.15"
"10 Aug 2022","21.97","4.58","2.09"
"08 Aug 2022","22.04","4.60","2.08"
"05 Aug 2022","20.99","4.31","2.23"
"04 Aug 2022","21.09","4.31","2.26"
"03 Aug 2022","20.99","4.29","2.27"
"02 Aug 2022","21.08","4.31","2.26"
"01 Aug 2022","20.60","4.29","2.27"
"29 Jul 2022","20.31","4.23","2.29"
"28 Jul 2022","20.06","4.17","2.34"
"27 Jul 2022","19.87","4.13","2.32"
"26 Jul 2022","19.70","4.09","2.37"
"25 Jul 2022","20.11","4.17","2.12"
"22 Jul 2022","20.16","4.17","2.12"
"21 Jul 2022","20.27","4.19","2.12"
"20 Jul 2022","19.94","4.13","2.13"
"19 Jul 2022","19.90","4.12","2.13"
"18 Jul 2022","19.80","4.10","2.15"
"15 Jul 2022","19.54","4.05","2.17"
"14 Jul 2022","19.42","4.03","2.18"
"13 Jul 2022","19.46","4.04","2.11"
"12 Jul 2022","19.47","4.04","2.11"
"11 Jul 2022","19.54","4.05","2.11"
"08 Jul 2022","19.26","4.05","2.15"
"07 Jul 2022","19.20","4.07","2.16"
"06 Jul 2022","19.04","4.03","2.18"
"05 Jul 2022","18.72","3.97","2.25"
"04 Jul 2022","18.71","3.96","2.25"
"01 Jul 2022","18.52","3.92","2.27"
"30 Jun 2022","18.32","3.88","2.31"
"29 Jun 2022","18.41","3.90","2.28"
"28 Jun 2022","18.54","3.93","2.28"
"27 Jun 2022","18.51","3.92","2.29"
"24 Jun 2022","18.38","3.89","2.30"
"22 Jun 2022","17.93","3.80","2.36"
"21 Jun 2022","18.26","3.87","2.30"
"20 Jun 2022","17.77","3.77","2.37"
"17 Jun 2022","17.90","3.79","2.35"
"16 Jun 2022","18.20","3.86","2.27"
"15 Jun 2022","18.59","3.94","2.23"
"14 Jun 2022","18.55","3.93","2.24"
"13 Jun 2022","18.49","3.92","2.23"
"10 Jun 2022","18.90","4.00","2.19"
"09 Jun 2022","19.08","4.04","2.17"
"07 Jun 2022","18.99","4.02","2.15"
"06 Jun 2022","19.15","4.06","2.13"
"03 Jun 2022","19.20","4.07","2.13"
"02 Jun 2022","19.57","4.13","2.08"
"01 Jun 2022","19.47","4.11","2.09"
"31 May 2022","19.65","4.15","2.08"
"30 May 2022","19.77","4.14","2.08"
"27 May 2022","19.30","4.05","2.13"
"26 May 2022","19.08","4.02","2.14"
"25 May 2022","18.69","3.96","2.17"
"24 May 2022","19.02","4.03","2.13"
"23 May 2022","19.15","4.07","2.12"
"20 May 2022","19.30","4.10","2.10"
"19 May 2022","18.84","4.04","2.13"
"18 May 2022","19.18","4.16","2.07"
"17 May 2022","19.17","4.15","2.07"
"16 May 2022","19.29","4.05","2.12"
"13 May 2022","18.97","3.99","2.16"
"12 May 2022","19.07","4.01","2.06"
"11 May 2022","19.56","4.11","2.01"
"10 May 2022","19.62","4.12","2.01"
"09 May 2022","20.20","4.21","1.97"
"06 May 2022","20.60","4.30","1.93"
"05 May 2022","21.11","4.40","1.58"
"04 May 2022","21.08","4.39","1.56"
"02 May 2022","21.70","4.52","1.51"
"29 Apr 2022","21.74","4.54","1.51"
"28 Apr 2022","22.03","4.60","1.49"
"27 Apr 2022","21.73","4.54","1.51"
"26 Apr 2022","22.02","4.61","1.49"
"25 Apr 2022","21.51","4.51","1.53"
"22 Apr 2022","21.95","4.60","1.48"
"21 Apr 2022","22.11","4.63","1.48"
"20 Apr 2022","21.82","4.58","1.50"
"19 Apr 2022","21.73","4.55","1.51"
"18 Apr 2022","22.13","4.64","1.48"
"13 Apr 2022","22.21","4.65","1.48"
"12 Apr 2022","22.18","4.65","1.48"
"11 Apr 2022","22.44","4.70","1.46"
"08 Apr 2022","22.21","4.65","1.48"
"07 Apr 2022","21.88","4.58","1.50"
"06 Apr 2022","21.94","4.60","1.50"
"05 Apr 2022","21.86","4.58","1.50"
"04 Apr 2022","21.68","4.54","1.51"
"01 Apr 2022","21.35","4.47","1.50"
"31 Mar 2022","21.02","4.41","1.52"
"30 Mar 2022","21.29","4.17","1.43"
"29 Mar 2022","21.16","4.15","1.43"
"28 Mar 2022","21.06","4.13","1.43"
"25 Mar 2022","21.13","4.14","1.40"
"24 Mar 2022","21.12","4.14","1.40"
"23 Mar 2022","21.08","4.13","1.40"
"22 Mar 2022","21.04","4.12","1.41"
"21 Mar 2022","21.00","4.12","1.52"
"17 Mar 2022","21.29","4.17","1.44"
"16 Mar 2022","20.98","4.11","1.46"
"15 Mar 2022","20.51","4.02","1.49"
"14 Mar 2022","20.71","4.06","1.48"
"11 Mar 2022","20.78","4.08","1.47"
"10 Mar 2022","20.68","4.06","1.48"
"09 Mar 2022","20.29","3.98","1.53"
"08 Mar 2022","20.01","3.92","1.40"
"07 Mar 2022","19.71","3.86","1.42"
"04 Mar 2022","20.24","3.97","1.39"
"03 Mar 2022","20.74","4.07","1.35"
"02 Mar 2022","20.77","4.07","1.35"
"28 Feb 2022","20.77","4.07","1.35"
"25 Feb 2022","20.54","4.04","1.37"
"24 Feb 2022","19.79","3.89","1.42"
"22 Feb 2022","20.79","4.09","1.35"
"21 Feb 2022","20.76","4.10","1.35"
"18 Feb 2022","21.03","4.15","1.33"
"17 Feb 2022","21.26","4.20","1.32"
"16 Feb 2022","21.21","4.19","1.26"
"15 Feb 2022","21.22","4.19","1.26"
"14 Feb 2022","20.75","4.10","1.30"
"11 Feb 2022","21.49","4.24","1.26"
"10 Feb 2022","21.36","4.30","1.24"
"09 Feb 2022","21.14","4.28","1.24"
"08 Feb 2022","20.91","4.23","1.26"
"07 Feb 2022","21.26","4.25","1.37"
"04 Feb 2022","21.69","4.28","1.36"
"03 Feb 2022","21.71","4.29","1.34"
"02 Feb 2022","21.84","4.31","1.34"
"01 Feb 2022","21.43","4.26","1.34"
"31 Jan 2022","22.13","4.19","1.36"
"28 Jan 2022","22.01","4.14","1.38"
"27 Jan 2022","21.81","4.11","1.40"
"25 Jan 2022","22.21","4.18","1.42"
"24 Jan 2022","22.07","4.14","1.43"
"21 Jan 2022","22.90","4.30","1.38"
"20 Jan 2022","23.30","4.37","1.36"
"19 Jan 2022","23.31","4.38","1.35"
"18 Jan 2022","23.33","4.38","1.35"
"17 Jan 2022","23.74","4.46","1.32"
"14 Jan 2022","23.65","4.44","1.32"
"13 Jan 2022","23.62","4.43","1.33"
"12 Jan 2022","23.51","4.41","1.33"
"11 Jan 2022","23.34","4.38","1.34"
"10 Jan 2022","23.36","4.38","1.34"
