"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","11.44","2.12","3.73"
"11 Aug 2022","11.38","2.11","3.81"
"10 Aug 2022","11.39","2.14","3.62"
"08 Aug 2022","9.34","2.15","3.62"
"05 Aug 2022","9.40","2.14","3.59"
"04 Aug 2022","9.43","2.15","3.66"
"03 Aug 2022","9.44","2.15","3.66"
"02 Aug 2022","9.44","2.15","3.66"
"01 Aug 2022","9.16","2.15","3.66"
"29 Jul 2022","8.97","2.11","3.70"
"28 Jul 2022","8.78","2.06","3.78"
"27 Jul 2022","8.72","2.05","3.81"
"26 Jul 2022","8.64","2.03","3.84"
"25 Jul 2022","8.76","2.04","3.83"
"22 Jul 2022","8.88","2.06","3.78"
"21 Jul 2022","8.89","2.07","3.77"
"20 Jul 2022","8.80","2.05","3.81"
"19 Jul 2022","8.71","2.03","3.85"
"18 Jul 2022","8.73","2.03","3.84"
"15 Jul 2022","8.63","2.01","3.88"
"14 Jul 2022","8.58","1.99","3.90"
"13 Jul 2022","8.47","1.97","3.95"
"12 Jul 2022","8.58","1.99","3.90"
"11 Jul 2022","8.61","2.00","3.89"
"08 Jul 2022","8.45","1.96","3.96"
"07 Jul 2022","8.44","1.96","4.32"
"06 Jul 2022","8.38","1.95","4.35"
"05 Jul 2022","8.39","1.95","4.35"
"04 Jul 2022","8.38","1.95","4.35"
"01 Jul 2022","8.41","1.96","4.25"
"30 Jun 2022","8.78","2.04","4.14"
"29 Jun 2022","8.93","2.07","4.09"
"28 Jun 2022","8.84","2.05","4.13"
"27 Jun 2022","8.65","2.00","4.23"
"24 Jun 2022","8.59","1.99","4.25"
"22 Jun 2022","8.53","1.98","4.28"
"21 Jun 2022","8.72","2.02","4.19"
"20 Jun 2022","8.32","1.93","4.39"
"17 Jun 2022","8.60","1.99","4.25"
"16 Jun 2022","8.80","2.04","4.16"
"15 Jun 2022","8.97","2.08","4.08"
"14 Jun 2022","9.03","2.09","4.04"
"13 Jun 2022","9.15","2.12","4.00"
"10 Jun 2022","9.40","2.18","3.97"
"09 Jun 2022","9.60","2.22","3.89"
"07 Jun 2022","9.50","2.20","3.93"
"06 Jun 2022","9.41","2.18","3.96"
"03 Jun 2022","9.36","2.17","3.98"
"02 Jun 2022","9.35","2.17","3.99"
"01 Jun 2022","9.14","2.12","4.05"
"31 May 2022","9.17","2.13","4.03"
"30 May 2022","9.48","2.14","4.00"
"27 May 2022","9.24","2.09","4.11"
"26 May 2022","8.69","2.11","4.07"
"25 May 2022","8.63","2.09","4.09"
"24 May 2022","8.73","2.12","4.05"
"23 May 2022","8.77","2.13","4.03"
"20 May 2022","8.83","2.16","3.96"
"19 May 2022","8.59","2.10","4.08"
"18 May 2022","8.69","2.15","3.98"
"17 May 2022","8.73","2.16","3.96"
"16 May 2022","8.42","2.09","4.11"
"13 May 2022","8.39","2.08","4.13"
"12 May 2022","8.37","2.07","4.14"
"11 May 2022","8.49","2.10","4.09"
"10 May 2022","8.49","2.10","4.09"
"09 May 2022","8.73","2.15","3.99"
"06 May 2022","8.91","2.19","3.91"
"05 May 2022","8.93","2.20","3.90"
"04 May 2022","8.95","2.20","3.89"
"02 May 2022","9.04","2.23","3.86"
"29 Apr 2022","9.04","2.23","3.85"
"28 Apr 2022","9.25","2.28","3.76"
"27 Apr 2022","9.14","2.25","3.81"
"26 Apr 2022","9.24","2.28","3.77"
