"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","37.77","4.44","0.81"
"11 Aug 2022","37.72","4.57","0.80"
"10 Aug 2022","37.96","4.60","0.73"
"08 Aug 2022","37.27","4.60","0.80"
"05 Aug 2022","36.01","4.59","0.73"
"04 Aug 2022","36.13","4.61","0.73"
"03 Aug 2022","35.30","4.50","0.75"
"02 Aug 2022","35.57","4.54","0.74"
"01 Aug 2022","36.66","4.53","0.71"
"29 Jul 2022","38.66","4.54","0.71"
"28 Jul 2022","38.42","4.50","0.72"
"27 Jul 2022","38.32","4.48","0.73"
"26 Jul 2022","37.45","4.38","0.78"
"25 Jul 2022","37.90","4.43","0.77"
"22 Jul 2022","38.29","4.48","0.77"
"21 Jul 2022","38.25","4.49","0.76"
"20 Jul 2022","38.43","4.51","0.76"
"19 Jul 2022","38.35","4.50","0.76"
"18 Jul 2022","38.44","4.51","0.81"
"15 Jul 2022","38.50","4.52","0.81"
"14 Jul 2022","38.46","4.52","0.81"
"13 Jul 2022","38.16","4.48","0.79"
"12 Jul 2022","37.65","4.42","0.80"
"11 Jul 2022","37.99","4.46","0.80"
"08 Jul 2022","37.64","4.42","0.79"
"07 Jul 2022","37.46","4.42","0.79"
"06 Jul 2022","37.28","4.40","0.80"
"05 Jul 2022","36.99","4.37","0.80"
"04 Jul 2022","36.94","4.36","0.80"
"01 Jul 2022","37.07","4.38","0.80"
"30 Jun 2022","36.76","4.34","0.81"
"29 Jun 2022","36.98","4.36","0.80"
"28 Jun 2022","37.00","4.36","0.80"
"27 Jun 2022","37.02","4.36","0.80"
"24 Jun 2022","36.89","4.35","0.80"
"22 Jun 2022","36.16","4.26","0.82"
"21 Jun 2022","36.64","4.32","0.81"
"20 Jun 2022","35.88","4.23","0.83"
"17 Jun 2022","35.75","4.22","0.83"
"16 Jun 2022","36.55","4.31","0.83"
"15 Jun 2022","37.14","4.38","0.82"
"14 Jun 2022","37.01","4.36","0.82"
"13 Jun 2022","36.89","4.35","0.82"
"10 Jun 2022","37.58","4.44","0.81"
"09 Jun 2022","37.72","4.45","0.80"
"07 Jun 2022","37.16","4.39","0.82"
"06 Jun 2022","37.56","4.43","0.81"
"03 Jun 2022","37.58","4.44","0.77"
"02 Jun 2022","37.83","4.46","0.74"
"01 Jun 2022","37.29","4.44","0.75"
"31 May 2022","33.41","4.50","0.74"
"30 May 2022","33.50","4.53","0.73"
"27 May 2022","33.50","4.52","0.73"
"26 May 2022","32.83","4.48","0.74"
"25 May 2022","32.76","4.48","0.74"
"24 May 2022","33.64","4.53","0.73"
"23 May 2022","34.01","4.60","0.72"
"20 May 2022","33.59","4.67","0.71"
"19 May 2022","31.14","4.50","0.74"
"18 May 2022","31.75","4.60","0.72"
"17 May 2022","31.42","4.55","0.73"
"16 May 2022","30.95","4.50","0.74"
"13 May 2022","31.00","4.51","0.73"
"12 May 2022","30.50","4.44","0.75"
"11 May 2022","30.76","4.48","0.74"
"10 May 2022","30.86","4.50","0.74"
"09 May 2022","31.32","4.57","0.72"
"06 May 2022","31.41","4.58","0.72"
"05 May 2022","31.87","4.65","0.71"
"04 May 2022","31.97","4.68","0.70"
"02 May 2022","32.81","4.81","0.69"
"29 Apr 2022","32.70","4.81","0.69"
"28 Apr 2022","32.74","4.81","0.69"
"27 Apr 2022","32.45","4.77","0.69"
"26 Apr 2022","32.66","4.80","0.69"
"25 Apr 2022","32.30","4.75","0.69"
"22 Apr 2022","32.96","4.85","0.68"
"21 Apr 2022","33.57","4.94","0.67"
"20 Apr 2022","33.18","4.88","0.68"
"19 Apr 2022","32.85","4.83","0.68"
"18 Apr 2022","33.32","4.90","0.67"
"13 Apr 2022","33.46","4.92","0.67"
"12 Apr 2022","33.39","4.91","0.67"
"11 Apr 2022","33.61","4.94","0.67"
"08 Apr 2022","33.62","4.94","0.67"
"07 Apr 2022","33.56","4.93","0.67"
"06 Apr 2022","33.42","4.91","0.67"
"05 Apr 2022","33.54","4.93","0.67"
"04 Apr 2022","33.50","4.92","0.67"
"01 Apr 2022","32.99","4.85","0.68"
"31 Mar 2022","33.00","4.85","0.68"
"30 Mar 2022","33.40","4.90","0.67"
"29 Mar 2022","33.46","4.91","0.67"
"28 Mar 2022","32.95","4.84","0.68"
"25 Mar 2022","33.06","4.85","0.68"
"24 Mar 2022","33.35","4.89","0.67"
"23 Mar 2022","32.97","4.84","0.68"
"22 Mar 2022","32.83","4.82","0.68"
"21 Mar 2022","32.92","4.83","0.68"
"17 Mar 2022","32.91","4.83","0.68"
"16 Mar 2022","32.50","4.77","0.69"
"15 Mar 2022","32.36","4.75","0.69"
"14 Mar 2022","32.44","4.76","0.69"
"11 Mar 2022","32.56","4.78","0.69"
"10 Mar 2022","31.77","4.66","0.71"
"09 Mar 2022","31.73","4.66","0.71"
"08 Mar 2022","31.21","4.58","0.72"
"07 Mar 2022","30.48","4.47","0.74"
"04 Mar 2022","30.61","4.49","0.73"
"03 Mar 2022","30.72","4.51","0.73"
"02 Mar 2022","30.83","4.53","0.73"
"28 Feb 2022","31.41","4.61","0.71"
"25 Feb 2022","31.34","4.6","0.72"
"24 Feb 2022","30.37","4.46","0.74"
"22 Feb 2022","31.48","4.62","0.71"
"21 Feb 2022","31.66","4.65","0.72"
"18 Feb 2022","32.09","4.71","0.71"
"17 Feb 2022","32.37","4.75","0.69"
"16 Feb 2022","32.62","4.79","0.69"
"15 Feb 2022","32.38","4.76","0.69"
"14 Feb 2022","32.62","4.73","0.72"
"11 Feb 2022","32.89","4.82","0.70"
