"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","18.81","2.57","0.66"
"11 Aug 2022","18.74","2.58","0.66"
"10 Aug 2022","18.52","2.61","0.57"
"08 Aug 2022","18.42","2.59","0.56"
"05 Aug 2022","18.19","2.56","0.41"
"04 Aug 2022","18.12","2.55","0.41"
"03 Aug 2022","18.24","2.57","0.41"
"02 Aug 2022","18.27","2.57","0.41"
"01 Aug 2022","18.56","2.56","0.41"
"29 Jul 2022","18.36","2.53","0.42"
"28 Jul 2022","18.25","2.52","0.49"
"27 Jul 2022","17.92","2.47","0.50"
"26 Jul 2022","18.56","2.45","0.51"
"25 Jul 2022","19.01","2.51","0.50"
"22 Jul 2022","19.51","2.51","0.50"
"21 Jul 2022","19.64","2.47","0.51"
"20 Jul 2022","19.41","2.44","0.52"
"19 Jul 2022","19.53","2.44","0.52"
"18 Jul 2022","19.31","2.41","0.45"
"15 Jul 2022","19.08","2.35","0.46"
"14 Jul 2022","19.07","2.35","0.46"
"13 Jul 2022","19.12","2.36","0.46"
"12 Jul 2022","19.32","2.38","0.45"
"11 Jul 2022","19.51","2.41","0.45"
"08 Jul 2022","19.27","2.42","0.45"
"07 Jul 2022","19.20","2.48","0.46"
"06 Jul 2022","18.86","2.44","0.44"
"05 Jul 2022","18.60","2.41","0.45"
"04 Jul 2022","18.68","2.42","0.45"
"01 Jul 2022","18.40","2.38","0.46"
"30 Jun 2022","18.27","2.37","0.49"
"29 Jun 2022","18.33","2.41","0.50"
"28 Jun 2022","18.54","2.44","0.61"
"27 Jun 2022","18.68","2.45","0.61"
"24 Jun 2022","18.54","2.44","0.61"
"22 Jun 2022","18.06","2.37","0.63"
"21 Jun 2022","18.28","2.40","0.62"
"20 Jun 2022","18.03","2.37","0.63"
"17 Jun 2022","18.15","2.38","0.63"
"16 Jun 2022","18.08","2.37","0.63"
"15 Jun 2022","18.52","2.43","0.61"
"14 Jun 2022","18.54","2.44","0.61"
"13 Jun 2022","18.62","2.45","0.61"
"10 Jun 2022","19.31","2.54","0.59"
"09 Jun 2022","19.65","2.58","0.58"
"07 Jun 2022","19.61","2.58","0.58"
"06 Jun 2022","19.78","2.60","0.57"
"03 Jun 2022","19.74","2.59","0.58"
"02 Jun 2022","19.95","2.62","0.57"
"01 Jun 2022","19.95","2.62","0.57"
"31 May 2022","19.89","2.61","0.58"
"30 May 2022","20.11","2.63","0.57"
"27 May 2022","19.95","2.61","0.58"
"26 May 2022","19.59","2.56","0.59"
"25 May 2022","19.23","2.52","0.60"
"24 May 2022","19.18","2.51","0.60"
"23 May 2022","19.18","2.51","0.60"
"20 May 2022","19.19","2.51","0.60"
"19 May 2022","18.68","2.44","0.62"
"18 May 2022","19.20","2.51","0.60"
"17 May 2022","19.24","2.52","0.60"
"16 May 2022","19.41","2.46","0.61"
"13 May 2022","19.19","2.43","0.62"
"12 May 2022","19.33","2.45","0.61"
"11 May 2022","20.03","2.53","0.31"
"10 May 2022","19.93","2.52","0.31"
"09 May 2022","20.03","2.50","0.31"
"06 May 2022","20.21","2.53","0.31"
"05 May 2022","20.66","2.58","0.30"
"04 May 2022","20.74","2.59","0.30"
"02 May 2022","21.71","2.66","0.29"
"29 Apr 2022","21.98","2.64","0.30"
"28 Apr 2022","22.17","2.67","0.29"
"27 Apr 2022","21.96","2.64","0.30"
"26 Apr 2022","22.17","2.67","0.29"
"25 Apr 2022","22.62","2.64","0.30"
"22 Apr 2022","22.60","2.64","0.30"
"21 Apr 2022","23.05","2.69","0.29"
"20 Apr 2022","22.71","2.65","0.30"
"19 Apr 2022","22.70","2.65","0.30"
"18 Apr 2022","23.34","2.69","0.29"
"13 Apr 2022","23.75","2.73","0.29"
"12 Apr 2022","23.96","2.76","0.28"
"11 Apr 2022","23.85","2.74","0.29"
"08 Apr 2022","23.92","2.75","0.28"
"07 Apr 2022","23.80","2.74","0.29"
"06 Apr 2022","23.85","2.74","0.29"
"05 Apr 2022","24.16","2.78","0.28"
"04 Apr 2022","24.54","2.82","0.28"
"01 Apr 2022","23.61","2.72","0.29"
"31 Mar 2022","23.10","2.66","0.29"
"30 Mar 2022","22.87","2.62","0.29"
"29 Mar 2022","22.54","2.58","0.30"
"28 Mar 2022","22.45","2.57","0.30"
"25 Mar 2022","22.30","2.55","0.30"
"24 Mar 2022","22.37","2.56","0.30"
"23 Mar 2022","22.78","2.60","0.30"
"22 Mar 2022","22.88","2.62","0.29"
"21 Mar 2022","22.66","2.59","0.30"
"17 Mar 2022","22.93","2.62","0.29"
"16 Mar 2022","22.52","2.58","0.30"
"15 Mar 2022","21.98","2.51","0.31"
"14 Mar 2022","22.20","2.54","0.30"
"11 Mar 2022","21.77","2.49","0.31"
"10 Mar 2022","21.76","2.49","0.31"
"09 Mar 2022","21.38","2.44","0.31"
"08 Mar 2022","20.96","2.40","0.32"
"07 Mar 2022","20.73","2.37","0.32"
"04 Mar 2022","21.77","2.49","0.31"
"03 Mar 2022","22.13","2.53","0.3"
"02 Mar 2022","22.36","2.56","0.3"
"28 Feb 2022","22.91","2.62","0.29"
"25 Feb 2022","23.03","2.63","0.29"
"24 Feb 2022","22.2","2.54","0.3"
"22 Feb 2022","23.57","2.70","0.29"
"21 Feb 2022","23.72","2.71","0.28"
"18 Feb 2022","23.66","2.71","0.28"
"17 Feb 2022","23.65","2.70","0.28"
"16 Feb 2022","23.93","2.74","0.28"
"15 Feb 2022","24.03","2.75","0.28"
"14 Feb 2022","23.27","2.66","0.29"
"11 Feb 2022","24.25","2.77","0.28"
"10 Feb 2022","24.50","2.80","0.27"
