"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","8.09","0.73","2.29"
"11 Aug 2022","8.06","0.73","2.29"
"10 Aug 2022","7.87","0.72","2.35"
"08 Aug 2022","7.90","0.72","2.34"
"05 Aug 2022","7.94","0.72","2.33"
"04 Aug 2022","7.97","0.72","2.32"
"03 Aug 2022","8.10","0.74","2.28"
"02 Aug 2022","8.14","0.74","2.27"
"01 Aug 2022","8.10","0.72","2.33"
"29 Jul 2022","7.76","0.71","2.37"
"28 Jul 2022","7.85","0.72","2.34"
"27 Jul 2022","7.89","0.72","2.35"
"26 Jul 2022","7.95","0.70","2.39"
"25 Jul 2022","8.01","0.71","2.38"
"22 Jul 2022","8.06","0.71","2.36"
"21 Jul 2022","8.01","0.71","2.38"
"20 Jul 2022","7.88","0.70","2.42"
"19 Jul 2022","7.86","0.69","2.42"
"18 Jul 2022","7.71","0.68","2.48"
"15 Jul 2022","7.50","0.66","2.54"
"14 Jul 2022","7.53","0.66","2.53"
"13 Jul 2022","7.70","0.68","2.48"
"12 Jul 2022","7.69","0.68","2.48"
"11 Jul 2022","7.70","0.68","2.48"
"08 Jul 2022","7.56","0.69","2.52"
"07 Jul 2022","7.53","0.73","2.60"
"06 Jul 2022","7.28","0.71","2.45"
"05 Jul 2022","7.21","0.70","2.47"
"04 Jul 2022","7.21","0.70","2.47"
"01 Jul 2022","7.09","0.69","2.51"
"30 Jun 2022","7.05","0.69","2.52"
"29 Jun 2022","7.13","0.69","2.49"
"28 Jun 2022","7.20","0.70","2.47"
"27 Jun 2022","7.16","0.70","2.48"
"24 Jun 2022","7.13","0.69","2.49"
"22 Jun 2022","6.96","0.68","2.55"
"21 Jun 2022","6.99","0.68","1.88"
"20 Jun 2022","6.72","0.65","1.95"
"17 Jun 2022","6.89","0.67","1.85"
"16 Jun 2022","6.94","0.68","1.28"
"15 Jun 2022","7.14","0.69","1.24"
"14 Jun 2022","7.16","0.70","0.79"
"13 Jun 2022","7.19","0.70","0.52"
"10 Jun 2022","7.46","0.73","0.51"
"09 Jun 2022","7.50","0.73","0.50"
"07 Jun 2022","7.47","0.73","0.51"
"06 Jun 2022","7.49","0.73","0.50"
"03 Jun 2022","7.51","0.73","0.50"
"02 Jun 2022","7.62","0.74","0.74"
"01 Jun 2022","7.54","0.73","0.74"
"31 May 2022","7.49","0.73","0.75"
"30 May 2022","7.57","0.74","0.74"
"27 May 2022","7.33","0.71","0.76"
"26 May 2022","7.28","0.71","0.77"
"25 May 2022","7.15","0.69","0.79"
"24 May 2022","7.30","0.70","0.33"
"23 May 2022","7.33","0.70","0.33"
"20 May 2022","7.39","0.71","0.33"
"19 May 2022","7.18","0.68","0.34"
"18 May 2022","7.39","0.70","0.33"
"17 May 2022","7.50","0.72","0.32"
"16 May 2022","8.15","0.70","0.33"
"13 May 2022","7.83","0.68","0.34"
"12 May 2022","7.68","0.68","0.34"
"11 May 2022","8.12","0.72","0.32"
"10 May 2022","8.30","0.72","0.32"
"09 May 2022","8.58","0.73","0.32"
"06 May 2022","8.79","0.75","0.31"
"05 May 2022","8.84","0.75","0.31"
"04 May 2022","8.90","0.76","0.30"
"02 May 2022","9.14","0.78","0.30"
"29 Apr 2022","9.21","0.78","0.29"
"28 Apr 2022","9.36","0.79","0.29"
"27 Apr 2022","9.31","0.79","0.29"
"26 Apr 2022","9.39","0.80","0.29"
"25 Apr 2022","9.18","0.78","0.29"
"22 Apr 2022","9.30","0.79","0.29"
"21 Apr 2022","9.50","0.81","0.29"
"20 Apr 2022","9.39","0.80","0.29"
"19 Apr 2022","9.41","0.80","0.29"
"18 Apr 2022","9.44","0.80","0.29"
"13 Apr 2022","9.68","0.82","0.28"
"12 Apr 2022","9.66","0.82","0.28"
"11 Apr 2022","9.78","0.83","0.28"
"08 Apr 2022","9.83","0.83","0.28"
"07 Apr 2022","9.75","0.83","0.28"
"06 Apr 2022","9.78","0.83","0.28"
"05 Apr 2022","9.59","0.81","0.28"
"04 Apr 2022","9.55","0.81","0.28"
"01 Apr 2022","9.46","0.80","0.29"
"31 Mar 2022","9.10","0.77","0.30"
"30 Mar 2022","9.32","0.81","0.30"
"29 Mar 2022","9.21","0.80","0.31"
"28 Mar 2022","9.29","0.81","0.30"
"25 Mar 2022","9.17","0.80","0.31"
"24 Mar 2022","9.13","0.79","0.31"
"23 Mar 2022","9.17","0.80","0.31"
"22 Mar 2022","9.22","0.80","0.31"
"21 Mar 2022","9.20","0.80","0.31"
"17 Mar 2022","9.31","0.81","0.30"
"16 Mar 2022","9.23","0.80","0.30"
"15 Mar 2022","9.10","0.79","0.31"
"14 Mar 2022","9.19","0.80","0.31"
"11 Mar 2022","9.01","0.78","0.31"
"10 Mar 2022","8.93","0.78","0.31"
"09 Mar 2022","8.73","0.76","0.32"
"08 Mar 2022","8.56","0.74","0.33"
"07 Mar 2022","8.35","0.73","0.34"
"04 Mar 2022","8.75","0.76","0.32"
"03 Mar 2022","8.89","0.77","0.32"
"02 Mar 2022","8.95","0.78","0.31"
"28 Feb 2022","9.05","0.79","0.31"
"25 Feb 2022","9.04","0.79","0.31"
"24 Feb 2022","8.63","0.75","0.33"
"22 Feb 2022","9.31","0.81","0.30"
"21 Feb 2022","9.45","0.82","0.30"
"18 Feb 2022","9.59","0.83","0.29"
"17 Feb 2022","9.60","0.83","0.29"
"16 Feb 2022","9.72","0.84","0.29"
"15 Feb 2022","9.83","0.85","0.29"
"14 Feb 2022","9.46","0.82","0.30"
"11 Feb 2022","10.06","0.87","0.28"
"10 Feb 2022","10.26","0.89","0.27"
"09 Feb 2022","10.30","0.89","0.27"
"08 Feb 2022","10.58","0.90","0.27"
"07 Feb 2022","11.33","0.89","0.27"
"04 Feb 2022","11.22","0.88","0.28"
"03 Feb 2022","11.46","0.90","0.27"
"02 Feb 2022","11.52","0.90","0.27"
"01 Feb 2022","11.15","0.87","0.28"
"31 Jan 2022","11.23","0.88","0.28"
"28 Jan 2022","11.50","0.85","0.29"
"27 Jan 2022","11.54","0.86","0.28"
"25 Jan 2022","10.99","0.82","0.30"
"24 Jan 2022","10.54","0.78","0.31"
"21 Jan 2022","10.78","0.80","0.31"
"20 Jan 2022","11.12","0.82","0.30"
"19 Jan 2022","11.14","0.83","0.30"
"18 Jan 2022","10.90","0.81","0.30"
"17 Jan 2022","11.10","0.82","0.30"
"14 Jan 2022","11.07","0.82","0.30"
"13 Jan 2022","11.09","0.82","0.30"
"12 Jan 2022","11.02","0.82","0.30"
"11 Jan 2022","10.95","0.81","0.30"
"10 Jan 2022","10.98","0.81","0.30"
"07 Jan 2022","10.63","0.79","0.31"
"06 Jan 2022","10.62","0.79","0.31"
"05 Jan 2022","10.57","0.78","0.31"
"04 Jan 2022","10.41","0.77","0.32"
"03 Jan 2022","10.28","0.76","0.32"
"31 Dec 2021","10.07","0.75","0.33"
"30 Dec 2021","9.80","0.73","0.33"
"29 Dec 2021","9.88","0.74","0.33"
"28 Dec 2021","9.95","0.74","0.32"
"27 Dec 2021","9.85","0.74","0.33"
"24 Dec 2021","9.83","0.74","0.33"
"23 Dec 2021","10.02","0.75","0.32"
"22 Dec 2021","9.87","0.74","0.33"
"21 Dec 2021","9.70","0.73","0.33"
"20 Dec 2021","9.70","0.73","0.33"
"17 Dec 2021","10.15","0.76","0.32"
"16 Dec 2021","10.54","0.79","0.30"
"15 Dec 2021","10.64","0.80","0.30"
"14 Dec 2021","10.79","0.81","0.30"
"13 Dec 2021","10.86","0.81","0.30"
"10 Dec 2021","11.01","0.82","0.29"
"09 Dec 2021","10.73","0.80","0.30"
"08 Dec 2021","10.72","0.80","0.30"
"07 Dec 2021","10.45","0.78","0.31"
"06 Dec 2021","10.21","0.76","0.31"
"03 Dec 2021","10.37","0.78","0.31"
"02 Dec 2021","10.40","0.78","0.31"
"01 Dec 2021","10.35","0.77","0.31"
"30 Nov 2021","10.08","0.75","0.32"
"29 Nov 2021","10.15","0.76","0.32"
"26 Nov 2021","10.36","0.77","0.31"
"25 Nov 2021","10.81","0.81","0.30"
"24 Nov 2021","10.87","0.81","0.30"
"23 Nov 2021","10.83","0.81","0.30"
"22 Nov 2021","10.58","0.79","0.30"
"18 Nov 2021","11.08","0.83","0.29"
"17 Nov 2021","11.07","0.83","0.29"
"16 Nov 2021","11.07","0.83","0.29"
"15 Nov 2021","11.34","0.85","0.29"
"12 Nov 2021","11.50","0.86","0.28"
"11 Nov 2021","11.70","0.86","0.28"
"10 Nov 2021","11.92","0.87","0.28"
"09 Nov 2021","12.20","0.90","0.27"
"08 Nov 2021","12.46","0.89","0.27"
"04 Nov 2021","12.68","0.87","0.28"
"03 Nov 2021","12.51","0.86","0.28"
"02 Nov 2021","12.61","0.86","0.28"
"01 Nov 2021","12.31","0.84","0.29"
"29 Oct 2021","12.42","0.83","0.29"
"28 Oct 2021","12.42","0.82","0.29"
"27 Oct 2021","13.59","0.86","0.28"
"26 Oct 2021","13.32","0.84","0.28"
"25 Oct 2021","13.20","0.84","0.29"
"22 Oct 2021","13.08","0.83","0.29"
"21 Oct 2021","13.15","0.83","0.29"
"20 Oct 2021","12.80","0.81","0.30"
"19 Oct 2021","12.60","0.80","0.30"
"18 Oct 2021","13.09","0.83","0.29"
"14 Oct 2021","12.59","0.80","0.30"
"13 Oct 2021","12.37","0.78","0.31"
"12 Oct 2021","12.28","0.78","0.31"
"11 Oct 2021","11.91","0.75","0.32"
"08 Oct 2021","11.82","0.75","0.32"
"07 Oct 2021","11.63","0.74","0.33"
"06 Oct 2021","11.55","0.73","0.33"
"05 Oct 2021","11.78","0.75","0.32"
"04 Oct 2021","11.83","0.75","0.32"
"01 Oct 2021","11.59","0.73","0.33"
"30 Sep 2021","11.51","0.73","0.33"
"29 Sep 2021","11.40","0.73","0.35"
"28 Sep 2021","11.10","0.71","0.36"
"27 Sep 2021","10.96","0.70","0.36"
"24 Sep 2021","10.91","0.70","0.36"
"23 Sep 2021","11.11","0.71","0.35"
"22 Sep 2021","10.98","0.70","0.36"
"21 Sep 2021","10.93","0.70","0.36"
"20 Sep 2021","10.94","0.70","0.36"
"17 Sep 2021","11.41","0.73","0.35"
"16 Sep 2021","11.76","0.75","0.34"
"15 Sep 2021","11.16","0.71","0.35"
"14 Sep 2021","10.85","0.69","0.36"
"13 Sep 2021","10.83","0.69","0.36"
"09 Sep 2021","10.87","0.70","0.36"
"08 Sep 2021","10.84","0.69","0.36"
"07 Sep 2021","10.77","0.69","0.37"
"06 Sep 2021","10.90","0.70","0.36"
"03 Sep 2021","10.93","0.70","0.36"
"02 Sep 2021","10.85","0.69","0.36"
"01 Sep 2021","10.90","0.70","0.36"
"31 Aug 2021","10.80","0.69","0.36"
"30 Aug 2021","10.73","0.69","0.37"
"27 Aug 2021","10.36","0.67","0.38"
"26 Aug 2021","10.29","0.66","0.38"
"25 Aug 2021","10.38","0.67","0.38"
"24 Aug 2021","10.38","0.67","0.38"
"23 Aug 2021","10.19","0.66","0.39"
"20 Aug 2021","10.25","0.66","0.39"
"18 Aug 2021","10.61","0.68","0.37"
"17 Aug 2021","10.58","0.68","0.37"
"16 Aug 2021","10.84","0.69","0.37"
"13 Aug 2021","10.95","0.70","0.36"
"12 Aug 2021","10.93","0.70","0.36"
"11 Aug 2021","10.79","0.69","0.37"
"10 Aug 2021","10.74","0.69","0.37"
"09 Aug 2021","12.10","0.71","0.36"
"06 Aug 2021","12.30","0.72","0.36"
"05 Aug 2021","12.59","0.72","0.36"
"04 Aug 2021","12.87","0.73","0.35"
"03 Aug 2021","13.14","0.73","0.35"
"02 Aug 2021","12.99","0.72","0.35"
"30 Jul 2021","13.13","0.72","0.36"
"29 Jul 2021","13.19","0.72","0.35"
"28 Jul 2021","13.43","0.70","0.37"
"27 Jul 2021","13.69","0.71","0.36"
"26 Jul 2021","13.64","0.75","0.36"
"23 Jul 2021","13.77","0.79","0.36"
"22 Jul 2021","13.67","0.89","0.36"
"20 Jul 2021","14.08","0.88","0.36"
"19 Jul 2021","14.36","0.90","0.36"
"16 Jul 2021","14.52","0.91","0.35"
"15 Jul 2021","14.58","0.91","0.35"
"14 Jul 2021","14.63","0.91","0.35"
"13 Jul 2021","14.70","0.92","0.35"
"12 Jul 2021","14.59","0.91","0.35"
"09 Jul 2021","14.82","0.89","0.32"
"08 Jul 2021","14.86","0.90","0.32"
"07 Jul 2021","15.16","0.91","0.27"
"06 Jul 2021","15.09","0.91","0.27"
"05 Jul 2021","15.28","0.92","0.26"
"02 Jul 2021","15.14","0.91","0.27"
"01 Jul 2021","15.14","0.91","0.27"
"30 Jun 2021","15.12","0.91","0.27"
"29 Jun 2021","15.24","0.92","0.26"
"28 Jun 2021","15.47","0.94","0.25"
"25 Jun 2021","15.11","0.91","0.26"
"24 Jun 2021","14.72","0.89","0.27"
"23 Jun 2021","14.93","0.90","0.26"
"22 Jun 2021","14.93","0.90","0.26"
"21 Jun 2021","14.92","0.90","0.26"
"18 Jun 2021","15.22","0.87","0.27"
"17 Jun 2021","15.49","0.90","0.27"
"16 Jun 2021","15.71","0.91","0.27"
"15 Jun 2021","15.91","0.92","0.26"
"14 Jun 2021","15.95","0.92","0.26"
"11 Jun 2021","15.86","0.92","0.26"
"10 Jun 2021","15.95","0.92","0.26"
"09 Jun 2021","15.57","0.90","0.27"
"08 Jun 2021","18.02","0.91","0.26"
"07 Jun 2021","23.53","0.93","0.26"
"04 Jun 2021","23.44","0.92","0.26"
"03 Jun 2021","23.48","0.92","0.26"
"02 Jun 2021","23.39","0.92","0.00"
"01 Jun 2021","22.70","0.89","0.00"
"31 May 2021","22.48","0.90","0.00"
"28 May 2021","23.41","0.91","0.00"
"27 May 2021","23.25","0.90","0.00"
"26 May 2021","22.61","0.88","0.00"
"25 May 2021","22.67","0.88","0.00"
"24 May 2021","-","0.89","-"
"21 May 2021","22.29","0.87","0.00"
"20 May 2021","21.47","0.84","0.00"
"19 May 2021","42.12","0.84","0.00"
"18 May 2021","42.02","0.83","0.00"
"17 May 2021","42.56","0.85","0.00"
"14 May 2021","41.00","0.81","0.00"
"12 May 2021","41.85","0.83","0.00"
"11 May 2021","40.54","0.80","0.00"
"10 May 2021","40.09","0.80","0.00"
"07 May 2021","65.59","0.77","0.00"
"06 May 2021","65.68","0.77","0.00"
"05 May 2021","66.46","0.78","0.00"
"04 May 2021","65.50","0.77","0.00"
"03 May 2021","63.32","0.75","0.00"
"30 Apr 2021","64.48","0.75","0.00"
"29 Apr 2021","65.15","0.76","0.00"
"28 Apr 2021","65.90","0.77","0.00"
"27 Apr 2021","64.25","0.75","0.00"
"26 Apr 2021","62.81","0.73","0.00"
"23 Apr 2021","61.72","0.72","0.00"
"22 Apr 2021","61.53","0.72","0.00"
"20 Apr 2021","61.07","0.71","0.00"
"19 Apr 2021","61.20","0.71","0.00"
"16 Apr 2021","63.96","0.74","0.00"
"15 Apr 2021","64.34","0.75","0.00"
"13 Apr 2021","65.18","0.76","0.00"
"12 Apr 2021","62.38","0.73","0.00"
"09 Apr 2021","68.74","0.80","0.00"
"08 Apr 2021","67.33","0.78","0.00"
"07 Apr 2021","67.91","0.79","0.00"
"06 Apr 2021","66.61","0.78","0.00"
"05 Apr 2021","66.63","0.78","0.00"
"01 Apr 2021","69.48","0.81","0.00"
"31 Mar 2021","67.70","0.79","0.00"
"30 Mar 2021","66.13","0.79","0.00"
"26 Mar 2021","65.66","0.79","0.00"
"25 Mar 2021","65.14","0.78","0.00"
"24 Mar 2021","66.86","0.80","0.00"
"23 Mar 2021","69.14","0.83","0.00"
"22 Mar 2021","67.19","0.81","0.00"
"19 Mar 2021","67.92","0.82","0.00"
"18 Mar 2021","66.94","0.80","0.00"
"17 Mar 2021","68.28","0.82","0.00"
"16 Mar 2021","70.96","0.85","0.00"
"15 Mar 2021","71.90","0.86","0.00"
"12 Mar 2021","71.79","0.86","0.00"
"10 Mar 2021","73.03","0.88","0.00"
"09 Mar 2021","73.14","0.88","0.00"
"08 Mar 2021","73.86","0.89","-"
"05 Mar 2021","72.69","0.87","0.00"
"04 Mar 2021","75.66","0.91","0.00"
"03 Mar 2021","76.23","0.91","0.00"
"02 Mar 2021","73.90","0.89","0.00"
"01 Mar 2021","74.02","0.89","0.00"
"26 Feb 2021","74.28","0.89","0.00"
"25 Feb 2021","77.35","0.93","0.00"
"24 Feb 2021","76.47","0.92","0.00"
"23 Feb 2021","74.41","0.89","0.00"
"22 Feb 2021","74.51","0.89","0.00"
"19 Feb 2021","76.54","0.92","0.00"
"18 Feb 2021","80.37","0.96","0.00"
"17 Feb 2021","76.10","0.91","0.00"
"16 Feb 2021","71.89","0.86","0.00"
"15 Feb 2021","70.72","0.85","0.00"
"12 Feb 2021","69.12","0.83","0.00"
"11 Feb 2021","73.94","0.83","0.00"
"10 Feb 2021","122.87","0.84","0.00"
"09 Feb 2021","122.70","0.84","0.00"
"08 Feb 2021","223.61","0.84","null"
"05 Feb 2021","208.49","0.85","0.00"
"04 Feb 2021","201.24","0.82","0.00"
"03 Feb 2021","190.07","0.77","0.00"
"02 Feb 2021","185.24","0.75","0.00"
"01 Feb 2021","192.46","0.73","null"
"29 Jan 2021","178.48","0.68","0.00"
"28 Jan 2021","-","0.66","0.00"
"27 Jan 2021","-","0.68","0.00"
