type,text,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,"Escape to tranquility with this off-grid, unfinished cabin nestled on a spacious 1.64-acre lot on a dead-end road. This unique AS-IS property offers breathtaking panoramic views, perfect for those seeking a peaceful retreat or a blank canvas to create their dream home. A prime opportunity for the handyman, this cabin provides the ideal foundation to customize and complete to your specifications. Surrounded by nature, the property offers a secluded haven with endless potential. A shed is included for buyers convivence. Whether you're looking to craft your perfect getaway or simply enjoy the raw beauty of the land, this is an opportunity not to be missed. Water needs to be hauled and power would be by generator or solar.",2020.0,1.0,1.0,1.0,1.0,2.0,71438.0,696.0,2.0,2018-05-31,90000.0,for_sale
single_family,"Beautiful home in the desirable Oak Hills and Tree streets area of Provo. Large living room and front porch with views of the valley, that make for amazing sunsets. Updated eat in kitchen, with office/work space. Large bedrooms and bathrooms throughout. Daylight basement windows make for a bright space with more gathering spaces. Beautiful landscaped yard with over an acre of land.",1968.0,4.0,3.0,2.0,1.0,2.0,56628.0,3700.0,2.0,2018-05-31,799000.0,for_sale
single_family,"Welcome to your new home, nestled in the heart of Cedar City's sought-after neighborhood cedar knolls. Enjoy the convenience of being just minutes away from downtown, shopping, and schools, while still savoring the tranquility of a serene environment. This charming home features a unique secondary entrance for the basement, complete with 2 bedrooms, a kitchenette, a living room, and a bathroom. Whether you're looking for a rental opportunity or extra living space for a large family, this basement offers versatility and comfort. Designed with thoughtful consideration, the home offers a row of windows on the south side, serving as a natural solar heater, while also flooding the interior with beautiful sunlight. Meticulously maintained by its sole owner, this property exudes pride of ownership and is ready to welcome its new residents!",1985.0,4.0,3.0,3.0,1.0,1.0,10019.0,3528.0,2.0,2018-05-31,389900.0,for_sale
single_family,"Investment Opportunity. House needs some work and is priced well bellow last appraisal! House is sold ''As Is''. Don't miss out on this cute, remodeled home. You'll love the well-kept lot and great red rock views! See also 138 E 100 N in Ivins if you are looking for 2 houses for multifamily or multi-generational living. Each house is on it's own parcel, and is sold separately, but makes a perfect opportunity to have a loved one living close by! Recently learned of old fire damage in the attic. Cash Buyers Only. Buyers to verify all information. Information deemed reliable, but no guaranteed.",1936.0,4.0,2.0,2.0,1.0,2.0,12632.0,2097.0,2.0,2018-04-16,300000.0,for_sale
land,"Deer Springs Ranch is an 8000 Ac Ranch in an HOA. HOA includes 10 cabins, 3 fishing ponds, air strip, 2000 ac common area, On site manager. Lot includes .45 ac ft of water this is accessbile in DSROA owned shared well to haul water. Contact State Water Dept for drilling access. County Ordinances for building codes.",2003.0,4.0,0.0,2.0,1.0,2.0,872071.0,2400.0,2.0,2018-05-31,70000.0,for_sale
mobile,"Your wait to discover your dream home in this beautifully updated 1880 sq ft manufactured home, nestled on 2.8 acres with breathtaking views of the entire Salt Lake City Valley and the majestic Wasatch Mountains is over. This serene mountain retreat offers the perfect blend of modern amenities and rustic charm, ensuring a comfortable and picturesque lifestyle. Recent updates include: A brand new roof, completely remodeled guest bathroom, luxurious free-standing soaker tub in the primary bathroom, new carpet and flooring in both bathrooms, and fresh paint throughout the home. The spacious layout includes an oversized 2-car garage, connected via a breezeway featuring a cozy wood-burning stove. This versatile space is perfect for an art studio, workshop, or additional living area. Experience daily visits from deer and other wildlife right in your yard, creating a peaceful, nature-filled environment. Despite its secluded location, this home is just a quick drive to the District Shopping Area, offering convenience without sacrificing tranquility. Embrace the best of both worlds-mountain living with modern comforts-at this stunning property on Shaggy Mountain Road. Schedule your private tour today and make this extraordinary home your own!",1994.0,3.0,2.0,2.0,1.0,2.0,121968.0,1880.0,1.0,2018-05-31,550000.0,for_sale
single_family,"Open house 5/17 from 4-6 and 5/18 from 11-2. Beautiful home. Close to freeways, rec center, shopping, and schools. Owner has used the basement as an Airbnb bringing in roughly $1200/month.",2001.0,4.0,4.0,3.0,1.0,2.0,4792.0,2284.0,3.0,2018-05-31,449000.0,for_sale
single_family,"Dream Estate sits on 2.41 total acres right in the heart of Hurricane. Have the elbow room plus convenience of being 2 minutes from everything, stores, schools, hardware store, movie theatre etc. This home has a large 1253 sq ft RV/boat garage with double 12' pull through doors & a 10' door in addition to a separate 2 car garage. Extra parking GALORE with additional 1.41 acre adjacent parcel H-SBTS-5 . 12' deep pool & spa surrounded by gorgeous mature landscaped yard with shade, gated raised bed garden, sand volleyball court. Full private 1253 sq ft 2 bedroom apartment above RV garage. So so so much storage in home & garage multiple storage rooms!!!! Sound system, Gym/bonus room adjacent to primary bedroom. Cul-de-sac subdivision with only 1 undeveloped lot. No HOA!",2004.0,4.0,5.0,5.0,1.0,6.0,104980.0,4407.0,2.0,2012-05-07,1290000.0,for_sale
mobile,Square footage figures are provided as a courtesy estimate only . Buyer is advised to obtain an independent measurement.,1979.0,3.0,2.0,2.0,1.0,2.0,13939.0,885.0,1.0,2018-05-31,75000.0,for_sale
single_family,"NOT A MISTAKE ON THE PRICE, 1/8th SHARE OF THIS HOME & AND ENJOY 44+ NIGHTS/YEAR. YOU GET 100% OF THE LIFESTYLE AND LUXURY AT ONLY 1/8th OF THE COST. NOT a Timeshare; You Own Your Fraction and Can Sell at Anytime, and Keep Your Appreciation. Enjoy a Turn-Key & Hassle-Free Ownership Experience. You Bring Your Clothes and We Take Care of the Rest. You Will Own 12.5% Ownership of the Home. Sleeps 18 Heads in Beds and the Best View in Garden City. Lockers for Storage, Spacious Master Closet, and Hidden Pantry. Six Total Bedrooms and Four Full Bathrooms, Plus a Private Office on the Main Level with High-Speed Internet. Vaulted Ceilings in the Great Room, Custom Soft Close Cabinets and Draws, Tile Master Shower, and Jetted Tub Surround with Full Euro Glass Shower. Moen Plumbing Fixtures, Adjustable Master Bed, Luxury Vinyl Plank Flooring, Deep Closets with Built-in Shelves, Square Vanity Undermount Sinks with Granite Counter Tops. Bullfrog Spa with Amazing Views of Picturesque Bear Lake, Only Minutes to Bear Lake Main Street, Public Pickle Ball Courts, and the Bear Lake State Marina. New Asphalt Driveway and Hot Tub. Pets Allowed Outdoors. Year-Round Activities for the Whole Family! NO SHORT-TERM RENTALS.",2022.0,6.0,4.0,4.0,1.0,2.0,14375.0,4296.0,2.0,2018-05-31,155000.0,for_sale
