State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15 (RE),2015-16 (BE)
Andhra Pradesh ,1161,1386,1507,2042,2463,2781,3245,3441,4246,4715,5505,6452,7190,8018,9514,10614,14392,14544,16944,18038,23070,24726,26057,29830,31307,34915,41438,53984,61854.22,63447.93,78534.26,90415.36,102702.38,110374.49,98308.63,97424.78
Arunachal Pradesh,–,–,–,–,–,–,173,246,214,258,258,288,340,399,439,507,602,665,747,821,909,1030,1031,1392,1510,1668,1897,2260,2871.68,3698.74,3744.24,4417.86,4786.24,5731.4,8522.8,9302.43
Assam,357,402,483,688,835,943,1149,1326,1435,1669,1920,2148,2451,2901,3271,3576,3571,4039,4416,5846,6417,6846,7113,8450,10229,10536,11457,12744,14243.31,21232.18,22951.82,26528.56,29136.92,31971.81,52429.18,51562.85
Bihar,929,1167,1357,1432,1687,2098,2277,2619,3211,3945,4888,5739,6570,7319,7731,8456,8254,8957,10623,16128,14345,12560,14025,14632,14638,17756,20585,23565,28511.57,32584.17,38215.92,46499.48,54466.14,62477.23,100254.89,91208.11
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1612,4914,5530,6600,7103,7457,8802,10840,13793.7,17265.44,19355.75,22628.04,26971.84,32859.57,46665.43,53729.81
Goa,–,–,–,–,–,–,172,169,199,228,275,332,380,431,477,785,789,1122,1288,1437,1709,2101,2000,1764,1943,2191,2468,2778,3425.41,4227.48,4783.79,5482.08,6061.34,6803.28,7953.96,9529.02
Gujarat,903,1039,1283,1426,1701,1972,2469,3093,3362,3727,4082,5238,6211,6934,7544,8766,10259,12143,15606,17517,22041,22718,21440,21954,24302,25465,29232,33540,38741.45,48638.28,57440,59744.46,69658.49,75258.55,92597.89,101986.68
Haryana,401,486,567,623,761,854,967,1288,1443,1702,1933,2274,2379,3401,6273,5362,6767,6617,7019,6952,7181,8657,9342,10117,11407,12640,16362,17527,20534.73,25257.38,28310.18,32014.89,38071.72,41887.1,54919.09,61869.62
Himachal Pradesh,188,212,263,284,344,411,464,609,768,783,902,983,1146,1352,1614,1904,2147,2699,3334,3822,4376,4576,5141,5588,5793,6466,7644,8292,9438.13,11151.01,13246.09,13897.97,16174.25,17352.48,20445.03,23487.69
Jammu & Kashmir,273,296,326,422,509,595,653,861,966,1081,1249,1521,1782,1768,2324,2516,2899,3480,4909,6055,6685,6123,6413,6596,8188,9724,10067,11685,12446.86,15099.93,18466.81,22680.48,25117.22,27057.77,31050.59,34714.08
Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5999,7737,7302,8419,9756,11234,13096,15479.21,17227.21,20242.58,20991.58,23397.83,23431.39,40073.33,43343.24
Karnataka,895,1002,1239,1417,1884,2098,2205,2667,3002,3483,3971,4954,5592,6208,7265,8481,10201,10890,12446,15232,16685,18606,18814,21285,24932,28041,33435,37375,41659.29,47536.92,54033.85,65115.07,76293.26,89189.57,108747.62,115449.68
Kerala,668,755,783,992,1139,1445,1655,1781,2061,2298,2825,3216,3656,4293,5066,5826,6788,8241,9228,11566,11878,11662,14756,15496,17169,18424,20825,24892,28223.88,31132.36,34664.81,46044.62,53488.74,60485.5,73852.31,85259.12
Madhya Pradesh,1016,1115,1328,1624,1734,2103,2532,3053,3618,3779,4746,5421,6157,7518,7809,9131,11462,11726,14218,16136,14986,14369,14560,18765,18026,20563,22363,25601,29513.88,35896.9,45011.59,52693.71,62968.53,69869.76,98249.6,108834.92
Maharashtra,1917,2238,2628,3181,3880,4491,4979,5505,6541,7903,8754,10049,11547,13109,14812,17168,20846,22897,25663,29538,37401,38282,40474,42680,51047,52280,61385,64780,75693.91,94915.97,106459.37,123554.19,138735.98,154902.42,194677.31,201987.9
Manipur,71,85,92,105,134,156,198,215,278,299,307,378,398,438,508,619,708,798,789,1357,1131,1338,1415,1463,1651,2005,2415,2293,2622.27,3014.41,4077.99,5005.22,5316.53,5718.83,8990.13,7965.08
