datetime,usd_brl
1994-07-04,0.94
1994-07-05,0.932
1994-07-06,0.915
1994-07-07,0.91
1994-07-08,0.92
1994-07-11,0.925
1994-07-12,0.92
1994-07-13,0.92
1994-07-14,0.925
1994-07-15,0.935
1994-07-18,0.935
1994-07-19,0.935
1994-07-20,0.932
1994-07-21,0.932
1994-07-22,0.937
1994-07-25,0.936
1994-07-26,0.934
1994-07-27,0.936
1994-07-28,0.94
1994-07-29,0.94
1994-08-01,0.932
1994-08-02,0.92
1994-08-03,0.91
1994-08-04,0.91
1994-08-05,0.912
1994-08-08,0.906
1994-08-09,0.891
1994-08-10,0.892
1994-08-11,0.894
1994-08-12,0.906
1994-08-15,0.901
1994-08-16,0.896
1994-08-17,0.901
1994-08-18,0.897
1994-08-19,0.894
1994-08-22,0.887
1994-08-23,0.887
1994-08-24,0.884
1994-08-25,0.888
1994-08-26,0.888
1994-08-29,0.896
1994-08-30,0.887
1994-08-31,0.889
1994-09-01,0.885
1994-09-02,0.886
1994-09-05,0.892
1994-09-06,0.886
1994-09-08,0.881
1994-09-09,0.872
1994-09-12,0.853
1994-09-13,0.86
1994-09-14,0.855
1994-09-15,0.857
1994-09-16,0.857
1994-09-19,0.854
1994-09-20,0.854
1994-09-21,0.857
1994-09-22,0.855
1994-09-23,0.857
1994-09-26,0.862
1994-09-27,0.868
1994-09-28,0.864
1994-09-29,0.861
1994-09-30,0.853
1994-10-04,0.849
1994-10-05,0.847
1994-10-06,0.846
1994-10-07,0.844
1994-10-10,0.839
1994-10-11,0.835
1994-10-13,0.836
1994-10-14,0.829
1994-10-17,0.829
1994-10-18,0.847
1994-10-19,0.853
1994-10-20,0.856
1994-10-21,0.853
1994-10-24,0.853
1994-10-25,0.854
1994-10-26,0.856
1994-10-27,0.852
1994-10-28,0.85
1994-10-31,0.846
1994-11-01,0.845
1994-11-03,0.846
1994-11-04,0.845
1994-11-07,0.84
1994-11-08,0.834
1994-11-09,0.831
1994-11-10,0.834
1994-11-11,0.838
1994-11-14,0.838
1994-11-16,0.833
1994-11-17,0.833
