address,subdistrict_code,rent,deposit,Let type,Furnish Type,Coucil Tax,PROPERTY TYPE,BEDROOMS,BATHROOMS,SIZE,avg_distance_to_nearest_station,nearest_station_count
"Morse Close, Harefield, UB9",UB9,1200,1384,Long term,Unfurnished,Ask agent,Apartment,1,1,Ask agent,2.1,3
"Dolphin Square, London, SW1V",SW1V,1983,2288,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1,1,335 sq ft,0.4,3
"Warlters Road, Holloway, London, N7",N7,1800,0,Long term,Unfurnished,Ask agent,Apartment,1,1,Ask agent,0.5,3
"Rockingham Road, Uxbridge",,1650,1903,Long term,Unfurnished,Ask agent,Apartment,2,1,Ask agent,1.6,3
"Northwick Avenue, Harrow, HA3",HA3,2700,3115,Long term,Unfurnished,Ask agent,End of Terrace,3,2,Ask agent,0.4,3
"Fitzroy Street, London, W1T",W1T,3500,3500,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.2,3
"Watermans Quay, London, SW6",SW6,4000,0,Long term,Furnished,Ask agent,Flat,2,2,Ask agent,0.6,3
Talbot Square,,2253,0,,Furnished,Ask agent,Studio,,1,152 sq ft,0.3,3
Phoenix Court Gasholder Place SE11,,2990,3450,Long term,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1,1,Ask agent,0.5,3
"Barandon Walk, London, W11",W11,2700,2700,Long term,Furnished,Ask agent,Maisonette,2,1,Ask agent,0.3,3
Gasholder Place London SE11,,3467,4000,Long term,Furnished,Ask agent,Apartment,2,2,Ask agent,0.4,3
"St James Mansions, Hilltop Road, West Hampstead, NW6",NW6,4333,0,Long term,Unfurnished,Ask agent,Flat,4,2,Ask agent,0.3,3
"Falcon Wharf, Battersea Riverside",,3500,4039,Long term,Furnished,Ask agent,Apartment,2,2,"1,710 sq ft",0.6,3
"Harrowby Street, Marylebone, W1H",W1H,2817,3250,Long term,Furnished,Ask agent,Flat,2,1,Ask agent,0.3,3
"Lordship Lane, N22, Wood Green, London, N22",N22,3000,3462,Long term,Unfurnished,Ask agent,Maisonette,4,2,"1,592 sq ft",0.8,3
"Harlequin Court, Covent Garden, London, WC2E",WC2E,6067,1400,Short term,Ask agent,Ask agent,Flat,2,2,"1,100 sq ft",0.2,3
"Harlequin Court, Covent Garden, London, WC2E",WC2E,4984,5750,Long term,Furnished,Ask agent,Flat,2,2,"1,100 sq ft",0.2,3
"Uxbridge Road, London, W12",W12,1250,1442,Long term,Furnished,Ask agent,Studio,,1,Ask agent,0.2,3
"R3 / 45 Ashford Road, Ashford, TW15",TW15,930,930,Long term,Furnished,Ask agent,House Share,1,1,Ask agent,1.2,3
"Sandringham Court, Soho, London, W1F",W1F,6500,1500,Short term,Ask agent,Ask agent,Flat,2,2,681 sq ft,0.3,3
"Garrick Street, Covent Garden, London, WC2E",WC2E,6067,1400,Short term,Ask agent,Ask agent,Flat,2,1,658 sq ft,0.2,3
"Dolphin Square, London, SW1V",SW1V,2088,2409,Long term,Furnished,Ask agent,Apartment,,1,296 sq ft,0.5,3
"Chelsea Harbour, Chelsea, London, SW10",SW10,8233,1900,Short term,Ask agent,Ask agent,Flat,2,2,"1,159 sq ft",0.6,3
"Park Avenue North, London, NW10",NW10,1746,0,Long term,Ask agent,Ask agent,Apartment,1,,Ask agent,0.6,3
"Chelsea Harbour, Chelsea, London, SW10",SW10,4312,4975,Long term,Furnished,Ask agent,Flat,2,2,"1,159 sq ft",0.6,3
"Xchange Point, Market Road, Islington, N7",,2150,2480,,"Furnished or unfurnished, landlord is flexible",Ask agent,Apartment,1,1,531 sq ft,0.3,3
"Rosemoor Street, Chelsea, London, SW3",SW3,3294,3800,Long term,Furnished,Ask agent,Flat,2,1,514 sq ft,0.4,3
"Basil Street, Knightsbridge, London, SW3",SW3,2579,2975,Long term,Furnished,Ask agent,Studio,,1,321 sq ft,0.4,3
"Victoria Road, London, NW6",NW6,2578,0,Long term,Ask agent,Ask agent,Apartment,2,1,Ask agent,0.3,3
"Palace Court, London, W2",,2708,0,Long term,Ask agent,Ask agent,Apartment,1,1,Ask agent,0.3,3
"Lexham Gardens, London, W8",,4225,0,Long term,Ask agent,Ask agent,Apartment,2,2,Ask agent,0.4,3
"Blantyre Walk, Worlds End Estate, London, SW10",SW10,3497,4035,Long term,Ask agent,Ask agent,Apartment,3,1,Ask agent,0.7,3
"Union Wharf, London, N1",,3100,3577,Short term,Furnished,Ask agent,Flat,1,1,Ask agent,0.5,3
"Hampden Road, London, N8",,1000,1154,Long term,Furnished,Ask agent,House Share,1,1,Ask agent,0.4,3
"Glenthorne Road, London, W6",,2150,2481,Long term,Furnished,Ask agent,Flat,1,1,Ask agent,0.2,3
"Lismore Boulevard, Colindale, London, NW9",NW9,1750,2020,Long term,Unfurnished,Ask agent,Flat,1,1,482 sq ft,0.8,3
"Upper Richmond Road, East Putney, London, SW15",SW15,2950,3404,Long term,Part furnished,Ask agent,Flat,2,2,923 sq ft,0.3,3
"Thornes House, London, SW11",SW11,4680,0,Long term,Furnished,Ask agent,Flat,2,2,886 sq ft,0.4,3
"Ambassador Building, 5 New Union Square, London, SW8",SW8,3142,0,Long term,Furnished,Ask agent,Apartment,1,1,Ask agent,0.6,3
"Sunderland Terrace, Notting Hill, London, W2",,2817,3250,Long term,Furnished,Ask agent,Flat,1,1,522 sq ft,0.3,3
