location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,4305.555555555556
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
Kothanur,2 BHK,1200.0,2.0,51.0,2,4250.0
Whitefield,2 BHK,1170.0,2.0,38.0,2,3247.863247863248
Old Airport Road,4 BHK,2732.0,4.0,204.0,4,7467.0571010248905
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4,18181.81818181818
Marathahalli,3 BHK,1310.0,3.0,63.25,3,4828.244274809161
Gandhi Bazar,6 Bedroom,1020.0,6.0,370.0,6,36274.509803921566
Whitefield,3 BHK,1800.0,2.0,70.0,3,3888.8888888888887
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,10592.45960502693
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800.0
Gottigere,2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577.777777777777
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255.31914893617
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,3896.103896103896
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3,10469.314079422382
Manayata Tech Park,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
Kengeri,1 BHK,600.0,1.0,15.0,1,2500.0
Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,13571.42857142857
Bellandur,3 BHK,1767.0,3.0,103.0,3,5829.088851160159
 Thanisandra,1 RK,510.0,1.0,25.25,1,4950.980392156863
Mangammanapalya,3 BHK,1250.0,3.0,56.0,3,4480.0
Electronic City,2 BHK,660.0,1.0,23.1,2,3500.0
Whitefield,3 BHK,1610.0,3.0,81.0,3,5031.055900621118
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237.185056472633
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515.151515151515
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,3255.813953488372
Hebbal,3 BHK,1760.0,2.0,123.0,3,6988.636363636364
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389.84051978736
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,6493.506493506494
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142.857142857143
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252.336448598131
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350.387596899225
Uttarahalli,2 BHK,1143.0,2.0,45.0,2,3937.0078740157483
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250.0
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,3030.3030303030305
Ganga Nagar,1 BHK,600.0,1.0,38.0,1,6333.333333333333
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272.727272727273
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897.665960292769
HSR Layout,8 Bedroom,600.0,9.0,200.0,8,33333.333333333336
Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402.061855670103
Whitefield,2 BHK,1459.0,2.0,94.82,2,6498.971898560658
KR Puram,2 Bedroom,800.0,1.0,130.0,2,16250.0
Himagiri Meadows,2 BHK,869.0,2.0,36.0,2,4142.692750287687
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2,3937.0078740157483
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928.143712574851
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527.363184079602
