Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000,4,3,144,136,14.5823408,121.1180438
"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000,3,2,63.2,80,14.8077154,121.0024016
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000,5,3,100,110,,
"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",,3,2,67,88,14.7178136,120.531325
Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000,2,1,40.32,78.4,6.9483885,122.1148889
"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300,,,39.64,100,,
"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000,2,2,52,40,,
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000,5,3,142,121,14.9131781,120.2282421
2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000,2,1,46,63,,
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000,3,3,219.3,90,14.4270005,121.0452782
"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000,3,2,102.39,154,15.0941848,120.6701583
"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.27,67,7.1035383,125.4948467
"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46,41,14.9717467,120.9434431
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000,4,3,85,99,15.4710779,120.9821312
Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005,6,5,337,350,14.4888415,121.0325173
3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka II, Pavia",4080345,3,2,52,80,10.7529006,122.5376029
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000,5,3,142,176,14.9131781,120.2282421
"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46,41,14.9717467,120.9434431
"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000,4,3,119,150,13.9984308,121.1674592
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960,3,1,40,40,14.3723207,120.8976745
For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000,2,2,53,88,,
"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45,62,14.366749,120.8184475
5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000,5,3,166,176,,
"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40,40,15.1987752,120.6026101
"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.27,67,7.1035383,125.4948467
Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000,3,3,247.4,93,14.4378843,121.0503212
"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91,14.4270005,121.0452782
"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000,3,1,50,50,14.3723207,120.8976745
"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm","Aningway Sacatihan, Subic",12772000,5,3,166,246,14.9131781,120.2282421
"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104,14.1839549,121.1072903
