HouseID,Description,Location,Price,Bedrooms,Bathrooms,Floor Area,Land Area,Latitude,Longitude
1,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000,4,3,144.0,136.0,14.5823408,121.1180438
2,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000,3,2,63.2,80.0,14.8077154,121.0024016
3,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000,5,3,100.0,110.0,15.4777848,120.6140745
4,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",,3,2,67.0,88.0,14.7178136,120.531325
5,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000,2,1,40.3,78.4,6.9483885,122.1148889
6,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300,,,39.6,100.0,14.3631351,120.8207756
7,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000,2,2,52.0,40.0,14.8279751,121.0003891
8,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000,5,3,142.0,121.0,14.9131781,120.2282421
9,2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000,2,1,46.0,63.0,13.5979899,123.2430657
10,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000,3,3,219.3,90.0,14.4270005,121.0452782
11,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000,3,2,102.4,154.0,15.0941848,120.6701583
12,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
13,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
14,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000,4,3,85.0,99.0,15.4710779,120.9821312
15,Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005,6,5,337.0,350.0,14.4888415,121.0325173
16,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka Ii, Pavia",4080345,3,2,52.0,80.0,10.7529006,122.5376029
17,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000,5,3,142.0,176.0,14.9131781,120.2282421
18,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
19,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000,4,3,119.0,150.0,13.9984308,121.1674592
20,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960,3,1,40.0,40.0,14.3723207,120.8976745
21,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000,2,2,53.0,88.0,15.4777848,120.6140745
22,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45.0,62.0,14.366749,120.8184475
23,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000,5,3,166.0,176.0,15.4777848,120.6140745
24,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40.0,40.0,15.1987752,120.6026101
25,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
26,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000,3,3,247.4,93.0,14.4378843,121.0503212
27,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91.0,14.4270005,121.0452782
28,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000,3,1,50.0,50.0,14.3723207,120.8976745
29,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Greta 246sqm","Aningway Sacatihan, Subic",12772000,5,3,166.0,246.0,14.9131781,120.2282421
30,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104.0,14.1839549,121.1072903
31,"Preselling 2-Storey Townhouses in Village East Executive Subdivision, Cainta","Santo Domingo, Cainta",9500000,4,3,144.0,136.0,14.5823408,121.1180438
32,"Affordable House & Lot with Complete Amenities for Sale in Santa Maria, Bulacan","San Vicente, Santa Maria",4400000,3,2,63.2,80.0,14.8077154,121.0024016
33,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Ella 110sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",7810000,5,3,100.0,110.0,15.4777848,120.6140745
34,"Maya Solo 3 Bedrooms Single Detached House for Sale in Gabon, Abucay, Bataan","Gabon, Abucay",,3,2,67.0,88.0,14.7178136,120.531325
35,Futura Homes Zamboanga | Amber 2BR Townhouse End Unit for Sale in Zamboanga City | Futura by Filinvest,"Zambowood Rd. Boalan, Zamboanga",3275000,2,1,40.3,78.4,6.9483885,122.1148889
36,"Springfield View | Molave House and Lot for Sale in Tanza, Cavite | Futura by Filinvest","Remulla Drive Tanza-Naic Rd. Sahud Ulan, Tanza",3167300,,,39.6,100.0,14.3631351,120.8207756
37,"2BR 2-Storey Townhouse for Sale at Marytown Place Ph2 in Santa Maria, Bulacan | Inner Unit (IRIS)","Santa Maria-San Jose Rd. Bulac, Santa Maria",1800000,2,2,52.0,40.0,14.8279751,121.0003891
38,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 121sqm","Aningway Sacatihan, Subic",8428000,5,3,142.0,121.0,14.9131781,120.2282421
39,2-Bedroom House and Lot For Sale in Camella Pili,"Zone 1 Brgy. Cadlan Pili Camarines Sur Cadlan, Pili",3565000,2,1,46.0,63.0,13.5979899,123.2430657
40,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",28650000,3,3,219.3,90.0,14.4270005,121.0452782
41,"3-Bedroom House for Sale in Mexico, Pampanga at The Lakeshore | Akan Model","Km.71, North Luzon Expressway Panipuan, Mexico",3500000,3,2,102.4,154.0,15.0941848,120.6701583
42,"3BR 2-Storey Townhouse for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
43,"2 bedroom Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
44,"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Dana 99sqm","Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7337000,4,3,85.0,99.0,15.4710779,120.9821312
45,Luxury 2 Storey Residential House  Sun Valley Parañaque City,"Sun Valley, Paranaque",45001005,6,5,337.0,350.0,14.4888415,121.0325173
46,3-Bedroom House and Lot for Sale in Pavia Iloilo at Parc Regency Residences | STEPHANIE Model,"Ungka Ii, Pavia",4080345,3,2,52.0,80.0,10.7529006,122.5376029
47,"4-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ADELLE Model","Alapan Ii-A, Imus",3336800,4,2,70.0,60.0,14.4084522,120.8964956
48,"5BR 2-Storey House and Lot for Sale in Subic, Zambales at Camella Subic | Freya 176sqm","Aningway Sacatihan, Subic",10082000,5,3,142.0,176.0,14.9131781,120.2282421
49,"2BR 2-Storey Townhouse for Sale in San Rafael, Bulacan at Primeworld Enclave","Caingin, San Rafael",1800000,2,1,46.0,41.0,14.9717467,120.9434431
50,"4BR Single Detached House and Lot for Sale in Lipa, Batangas | The Villages at Lipa - Sierra Village, SD119","Bugtong Na Pulo, Lipa",7500000,4,3,119.0,150.0,13.9984308,121.1674592
51,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ALICE Model","Pasong Camachile I, General Trias",2292960,3,1,40.0,40.0,14.3723207,120.8976745
52,For Sale 2BR 2-Storey House and Lot in Tarlac City at Camella Tarlac | Bella 88sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",5251000,2,2,53.0,88.0,15.4777848,120.6140745
53,5BR 2-Storey House and Lot for Sale in Tarlac City at Camella Tarlac | Greta w/ CB 176sqm,"Camella Tarlac Access Rd. Maliwalo, Tarlac",11757000,5,3,166.0,176.0,15.4777848,120.6140745
54,"3-Bedroom Townhouse for Sale in Tanza, Cavite at Micara Estates | PORTIA Typical End Unit w/ Fence","Antero Soriano Highway Sahud Ulan, Tanza",2258057,3,1,45.0,62.0,14.366749,120.8184475
55,"2-Bedroom 2-Storey Townhouse for Sale in Mabalacat, Pampanga at Talanai Homes | MAHOGANY","Sapang Biabas, Mabalacat",1400000,2,1,40.0,40.0,15.1987752,120.6026101
56,"Townhouse with 3 Bedrooms for Sale in Davao City, Davao del Sur at PHINMA Maayo Tugbok | Bulan Model","Tugbok, Davao",5300000,3,2,70.3,67.0,7.1035383,125.4948467
57,"3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit (Garden Unit)","Km. 19 West Service Rd. Cupang, Muntinlupa",26393000,3,3,219.3,91.0,14.4270005,121.0452782
58,Likha Residences | Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Muntinlupa | Typical Unit,"Cupang, Muntinlupa",32342000,3,3,247.4,93.0,14.4378843,121.0503212
59,"3-Bedroom Townhouse for Sale in General Trias, Cavite at Lancaster New City | ANICA Model","Pasong Camachile I, General Trias",2389000,3,1,50.0,50.0,14.3723207,120.8976745
60,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104.0,14.1839549,121.1072903
61,"House and Lot for Sale in Highlands Subdivision, Brgy. Palo-Alto, Calamba Laguna","Palo-Alto, Calamba",3500000,,,,104.0,14.1839549,121.1072903
62,"BIG DISCOUNT (up to 500k)! For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model","Carsadang Bago I, Imus",5234791,3,2,75.0,112.0,14.4289186,120.928888
63,"Residential House and Lot near Ayala for Sale in San Antonio, Makati","San Antonio, Makati",,12,8,500.0,1032.0,14.5621561,121.0086091
64,"5BR 2-Storey House and Lot for Sale in Malolos, Bulacan at Camella Provence | Freya","Longos, Malolos",12069000,5,3,142.0,176.0,14.87426,120.7915336
65,"2BR 2-Storey Townhouse for Sale in Dasmariñas, Cavite | The Villas at Dasmariñas Highlands","Aguinaldo Highway San Agustin I, Dasmarinas",3267000,2,2,76.2,66.0,14.3214271,120.94188
66,"3-Bedroom Townhouse for Sale in Imus, Cavite at Lancaster New City | ALICE Model","Alapan Ii-A, Imus",2292960,3,1,40.0,40.0,14.4084522,120.8964956
