age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41.0,3.0,17,12,176.0,9.3,11.359392,5.008608,1
27.0,1.0,10,6,31.0,17.3,1.362202,4.000798,0
40.0,1.0,15,7,,5.5,0.856075,2.168925,0
41.0,,15,14,120.0,2.9,2.65872,0.82128,0
24.0,2.0,2,0,28.0,17.3,1.787436,3.056564,1
41.0,2.0,5,5,25.0,10.2,0.3927,2.1573,0
39.0,1.0,20,9,,30.6,3.833874,16.668126,0
,1.0,12,11,38.0,3.6,0.128592,1.239408,0
24.0,1.0,3,4,19.0,24.4,1.358348,3.277652,1
36.0,1.0,0,13,25.0,19.7,2.7777,2.1473,0
27.0,1.0,0,1,16.0,1.7,0.182512,0.089488,0
25.0,1.0,4,0,23.0,5.2,0.252356,0.943644,0
52.0,1.0,24,14,64.0,10.0,3.9296,2.4704,0
37.0,1.0,6,9,29.0,16.3,1.715901,3.011099,0
48.0,1.0,22,15,100.0,9.1,3.7037,5.3963,0
36.0,2.0,9,6,49.0,8.6,0.817516,3.396484,1
36.0,2.0,13,6,41.0,16.4,2.918216,3.805784,1
43.0,1.0,23,19,72.0,7.6,1.181952,4.290048,0
39.0,1.0,6,9,61.0,5.7,0.563274,2.913726,0
,,0,21,26.0,1.7,0.099008,0.342992,0
39.0,1.0,22,3,52.0,3.2,1.154816,0.509184,'0'
47.0,1.0,17,21,43.0,5.6,0.587552,1.820448,0
28.0,1.0,3,6,26.0,10.0,0.4316,2.1684,0
29.0,1.0,8,6,27.0,9.8,0.402192,2.243808,0
21.0,,1,2,16.0,18.0,0.24192,2.63808,1
25.0,4.0,0,2,,17.6,2.14016,3.49184,0
45.0,2.0,9,26,69.0,6.7,0.707319,3.915681,:0
43.0,1.0,25,21,64.0,16.7,0.951232,9.736768,0
33.0,2.0,12,8,58.0,18.4,3.084208,7.587792,0
26.0,3.0,2,1,37.0,14.2,0.204906,5.049094,0
45.0,1.0,3,15,20.0,2.1,0.105,0.315,0
30.0,1.0,1,10,22.0,10.5,1.13883,1.17117,0
27.0,,2,7,26.0,6.0,0.72228,0.83772,0
25.0,1.0,8,4,27.0,14.4,1.018656,2.869344,0
25.0,1.0,8,1,35.0,2.9,0.07714,0.93786,0
26.0,2.0,6,7,45.0,26.0,6.0489,5.6511,0
30.0,2.0,10,4,22.0,16.1,1.409716,2.132284,0
32.0,2.0,12,1,,14.4,3.195936,4.580064,0
28.0,,1,8,24.0,17.1,1.337904,2.766096,1
45.0,1.0,23,5,50.0,4.2,0.5586,1.5414,0
23.0,1.0,7,2,31.0,6.6,0.33759,1.70841,0
34.0,1.0,17,3,59.0,8.0,1.80776,2.91224,0
42.0,2.0,7,23,41.0,4.6,0.941114,0.944886,0
39.0,1.0,19,5,48.0,13.1,1.930416,4.357584,0
26.0,1.0,0,0,14.0,7.5,0.3024,0.7476,1
21.0,2.0,0,1,16.0,6.8,0.150144,0.937856,0
35.0,1.0,13,15,35.0,4.5,0.43155,1.14345,0
47.0,1.0,4,2,26.0,10.4,0.12168,2.58232,0
23.0,2.0,0,2,21.0,11.4,0.775656,1.618344,1
35.0,1.0,18,2,42.0,7.4,0.205128,2.902872,0
34.0,1.0,2,11,25.0,12.6,0.5733,2.5767,1
46.0,1.0,1,12,20.0,14.0,0.8092,1.9908,0
46.0,1.0,16,18,52.0,12.9,3.032016,3.675984,1
38.0,,3,18,25.0,3.7,0.311725,0.613275,0
40.0,2.0,3,2,28.0,9.5,0.55328,2.10672,0
37.0,1.0,1,3,24.0,15.1,1.801128,1.822872,1
35.0,1.0,9,1,34.0,5.0,0.3978,1.3022,0
,2.0,16,13,69.0,2.4,1.061496,0.594504,0
40.0,3.0,18,6,100.0,2.5,1.485,1.015,0
50.0,3.0,10,20,80.0,12.2,2.47904,7.28096,0
31.0,1.0,9,10,28.0,2.4,0.047712,0.624288,0
29.0,1.0,13,1,42.0,7.4,1.457652,1.650348,1
37.0,1.0,4,0,23.0,12.4,0.86986,1.98214,0
33.0,2.0,4,9,55.0,7.0,2.15985,1.69015,0
,2.0,5,7,28.0,7.8,1.024296,1.159704,0
32.0,2.0,11,6,,23.3,7.7589,9.7161,1
28.0,2.0,2,3,23.0,6.4,0.186944,1.285056,1
39.0,1.0,19,8,46.0,9.1,2.515786,1.670214,0
28.0,2.0,8,3,31.0,8.2,1.492154,1.049846,1
29.0,1.0,1,2,20.0,18.6,0.56916,3.15084,1
34.0,2.0,3,8,21.0,23.1,1.401939,3.449061,0
28.0,2.0,5,9,34.0,23.8,3.099236,4.992764,0
47.0,1.0,26,21,100.0,12.8,4.5824,8.2176,0
43.0,3.0,1,5,,10.6,1.518556,1.237444,0
41.0,1.0,13,10,44.0,1.7,0.07106,0.67694,0
47.0,1.0,13,25,51.0,23.8,3.738504,8.399496,0
24.0,1.0,2,1,21.0,0.6,0.025074,0.100926,0
29.0,1.0,1,9,17.0,6.7,0.157182,0.981818,0
33.0,1.0,14,2,37.0,2.6,0.199134,0.762866,0
136.0,1.0,15,10,39.0,3.2,0.6864,0.5616,0
26.0,1.0,4,3,27.0,10.5,2.47212,0.36288,1
31.0,1.0,11,12,45.0,17.0,2.7387,4.9113,0
37.0,1.0,7,3,32.0,19.6,2.69696,3.57504,0
35.0,4.0,4,16,29.0,11.0,1.84382,1.34618,0
26.0,1.0,4,3,20.0,5.4,0.3186,0.7614,0
40.0,1.0,10,15,45.0,18.8,2.01348,6.44652,0
29.0,2.0,5,4,36.0,12.4,3.490848,0.973152,1
37.0,3.0,5,17,29.0,24.6,1.405398,5.728602,0
32.0,1.0,12,12,28.0,2.9,0.116116,0.695884,0
23.0,2.0,0,1,17.0,27.7,2.043706,2.665294,1
32.0,1.0,3,10,23.0,6.2,0.052762,1.373238,0
25.0,1.0,1,6,15.0,11.4,0.37107,1.33893,1
38.0,1.0,5,5,54.0,10.6,1.499688,4.224312,0
32.0,2.0,0,6,18.0,5.8,0.296496,0.747504,1
41.0,3.0,2,0,15.0,26.3,1.960665,1.984335,1
36.0,1.0,17,6,,4.4,0.727056,1.648944,0
42.0,,13,0,82.0,3.3,1.315116,1.390884,0
41.0,1.0,14,8,52.0,7.3,0.926224,2.869776,0
29.0,2.0,4,9,19.0,6.3,0.681093,0.515907,0
38.0,3.0,4,6,31.0,9.3,1.331946,1.551054,1
39.0,1.0,22,9,113.0,2.6,0.987168,1.950832,0
36.0,1.0,6,9,26.0,8.3,0.030212,2.127788,0
33.0,1.0,8,7,27.0,5.8,0.776736,0.789264,0
42.0,2.0,21,11,121.0,3.1,1.365364,2.385636,0
41.0,2.0,22,17,75.0,23.6,9.8766,7.8234,0
40.0,1.0,8,17,28.0,3.6,0.53424,0.47376,0
53.0,1.0,9,18,50.0,11.2,2.016,3.584,1
28.0,1.0,4,7,26.0,13.5,1.29519,2.21481,0
36.0,2.0,12,13,60.0,7.9,1.72062,3.01938,0
34.0,2.0,9,13,45.0,10.1,1.11807,3.42693,0
45.0,3.0,2,5,39.0,4.9,0.45864,1.45236,0
38.0,1.0,6,0,41.0,8.9,0.266377,3.382623,0
21.0,3.0,0,2,24.0,7.7,0.833448,1.014552,0
42.0,,12,11,51.0,21.4,2.411994,8.502006,0
,1.0,16,25,64.0,8.6,1.865856,3.638144,0
25.0,2.0,4,6,33.0,5.2,0.552552,1.163448,0
34.0,2.0,9,9,65.0,6.2,2.10769,1.92231,0
40.0,2.0,15,16,73.0,3.4,1.032512,1.449488,0
31.0,2.0,0,4,27.0,12.8,1.08864,2.36736,1
25.0,1.0,1,0,20.0,6.7,0.47168,0.86832,1
45.0,1.0,12,19,37.0,9.5,1.34273,2.17227,0
23.0,1.0,3,0,19.0,8.4,0.2793,1.3167,1
34.0,4.0,6,3,27.0,35.3,1.982448,7.548552,1
31.0,1.0,2,4,22.0,12.7,1.092454,1.701546,1
28.0,1.0,5,9,22.0,2.8,0.140448,0.475552,0
41.0,1.0,7,11,43.0,4.4,0.694364,1.197636,0
39.0,2.0,7,2,68.0,13.0,1.0166,7.8234,1
29.0,2.0,9,3,36.0,1.4,0.127008,0.376992,0
21.0,1.0,5,1,25.0,9.0,0.36675,1.88325,0
41.0,2.0,19,2,68.0,5.8,1.506608,2.437392,0
26.0,4.0,1,7,27.0,2.9,0.311634,0.471366,0
33.0,1.0,5,10,18.0,12.9,0.984528,1.337472,0
45.0,2.0,18,19,35.0,17.4,0.5481,5.5419,0
39.0,1.0,17,20,60.0,13.7,2.44956,5.77044,0
24.0,1.0,7,2,21.0,6.3,0.519939,0.803061,0
29.0,2.0,6,7,57.0,2.2,0.452694,0.801306,0
27.0,2.0,1,0,23.0,12.4,0.2852,2.5668,0
40.0,,13,2,28.0,5.9,0.964768,0.687232,0
29.0,1.0,8,10,,6.7,0.469536,1.138464,0
