Index Name,Date,Open,High,Low,Close
NIFTY 50,02-Jan-95,-,-,-,1182.1
NIFTY 50,03-Jan-95,-,-,-,1176.8
NIFTY 50,04-Jan-95,-,-,-,1163.7
NIFTY 50,05-Jan-95,-,-,-,1150
NIFTY 50,06-Jan-95,-,-,-,1130.3
NIFTY 50,09-Jan-95,-,-,-,1112.1
NIFTY 50,10-Jan-95,-,-,-,1079.2
NIFTY 50,11-Jan-95,-,-,-,1067.5
NIFTY 50,12-Jan-95,-,-,-,1066.1
NIFTY 50,13-Jan-95,-,-,-,1074.4
NIFTY 50,16-Jan-95,-,-,-,1087.8
NIFTY 50,17-Jan-95,-,-,-,1084
NIFTY 50,18-Jan-95,-,-,-,1091.2
NIFTY 50,19-Jan-95,-,-,-,1091.5
NIFTY 50,20-Jan-95,-,-,-,1075.5
NIFTY 50,23-Jan-95,-,-,-,1041.7
NIFTY 50,24-Jan-95,-,-,-,1019.2
NIFTY 50,25-Jan-95,-,-,-,1030
NIFTY 50,27-Jan-95,-,-,-,1043.5
NIFTY 50,30-Jan-95,-,-,-,1058.6
NIFTY 50,31-Jan-95,-,-,-,1071.2
NIFTY 50,01-Feb-95,-,-,-,1061.7
NIFTY 50,02-Feb-95,-,-,-,1066
NIFTY 50,03-Feb-95,-,-,-,1076.2
NIFTY 50,06-Feb-95,-,-,-,1061.7
NIFTY 50,07-Feb-95,-,-,-,1052.7
NIFTY 50,08-Feb-95,-,-,-,1042.4
NIFTY 50,09-Feb-95,-,-,-,1045.2
NIFTY 50,10-Feb-95,-,-,-,1037.1
NIFTY 50,13-Feb-95,-,-,-,1029.8
NIFTY 50,14-Feb-95,-,-,-,1032.6
NIFTY 50,15-Feb-95,-,-,-,1024.1
NIFTY 50,16-Feb-95,-,-,-,1002.4
NIFTY 50,17-Feb-95,-,-,-,992.15
NIFTY 50,20-Feb-95,-,-,-,986.46
NIFTY 50,21-Feb-95,-,-,-,960.98
NIFTY 50,22-Feb-95,-,-,-,948.97
NIFTY 50,23-Feb-95,-,-,-,988.48
