"Ticker","Name","Industry","Sub-Industry","Headquarters Location","Date added"
"A","Agilent Technologies","Health Care","Health Care Equipment","Santa Clara, California","6/5/2000"
"AAL","American Airlines Group","Industrials","Airlines","Fort Worth, Texas","3/23/2015"
"AAP","Advance Auto Parts","Consumer Discretionary","Automotive Retail","Raleigh, North Carolina","7/9/2015"
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","11/30/1982"
"ABBV","AbbVie","Health Care","Pharmaceuticals","North Chicago, Illinois","12/31/2012"
"ABC","AmerisourceBergen","Health Care","Health Care Distributors","Conshohocken, Pennsylvania","8/30/2001"
"ABT","Abbott","Health Care","Health Care Equipment","North Chicago, Illinois","3/31/1964"
"ACGL","Arch Capital Group","Financials","Reinsurance","Hamilton, Bermuda","11/1/2022"
"ACN","Accenture","Information Technology","IT Consulting & Other Services","Dublin, Ireland","7/6/2011"
"ADBE","Adobe Inc.","Information Technology","Application Software","San Jose, California","5/5/1997"
"ADI","Analog Devices","Information Technology","Semiconductors","Wilmington, Massachusetts","10/12/1999"
"ADM","ADM","Consumer Staples","Agricultural Products","Chicago, Illinois","7/29/1981"
"ADP","ADP","Information Technology","Data Processing & Outsourced Services","Roseland, New Jersey","3/31/1981"
"ADSK","Autodesk","Information Technology","Application Software","San Francisco, California","12/1/1989"
"AEE","Ameren","Utilities","Multi-Utilities","St. Louis, Missouri","9/19/1991"
"AEP","American Electric Power","Utilities","Electric Utilities","Columbus, Ohio","3/4/1957"
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","10/2/1998"
"AFL","Aflac","Financials","Life & Health Insurance","Columbus, Georgia","5/28/1999"
"AIG","American International Group","Financials","Property & Casualty Insurance","New York City, New York","3/31/1980"
"AIZ","Assurant","Financials","Multi-line Insurance","New York City, New York","4/10/2007"
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Rolling Meadows, Illinois","5/31/2016"
"AKAM","Akamai","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","7/12/2007"
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","Charlotte, North Carolina","7/1/2016"
"ALGN","Align Technology","Health Care","Health Care Supplies","Tempe, Arizona","6/19/2017"
"ALK","Alaska Air Group","Industrials","Airlines","SeaTac, Washington","5/13/2016"
"ALL","Allstate","Financials","Property & Casualty Insurance","Northfield Township, Illinois","7/13/1995"
"ALLE","Allegion","Industrials","Building Products","New York City, New York","12/2/2013"
"AMAT","Applied Materials","Information Technology","Semiconductor Equipment","Santa Clara, California","3/16/1995"
"AMCR","Amcor","Materials","Paper Packaging","Warmley, Bristol, United Kingdom","6/7/2019"
"AMD","AMD","Information Technology","Semiconductors","Santa Clara, California","3/20/2017"
"AME","Ametek","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","9/23/2013"
"AMGN","Amgen","Health Care","Biotechnology","Thousand Oaks, California","1/2/1992"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","10/3/2005"
"AMT","American Tower","Real Estate","Specialized REITs","Boston, Massachusetts","11/19/2007"
"AMZN","Amazon","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","11/18/2005"
"ANET","Arista Networks","Information Technology","Communications Equipment","Santa Clara, California","8/28/2018"
"ANSS","Ansys","Information Technology","Application Software","Canonsburg, Pennsylvania","6/19/2017"
"AON","Aon","Financials","Insurance Brokers","London, UK","4/23/1996"
"AOS","A. O. Smith","Industrials","Building Products","Milwaukee, Wisconsin","7/26/2017"
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Houston, Texas","7/28/1997"
"APD","Air Products and Chemicals","Materials","Industrial Gases","Allentown, Pennsylvania","4/30/1985"
