Date,Open,High,Low,Close,Adj Close,Volume
2016/9/12,69.35,69.35,68.7,68.85,68.85,7236436
2016/9/13,69.1,69.2,68.2,68.85,68.85,7123286
2016/9/14,68.5,69.05,68.45,68.45,68.45,5624161
2016/9/19,69.4,71,69.4,71,71,9887905
2016/9/20,70.9,71,70.6,70.9,70.9,2795180
2016/9/21,70.75,71.35,70.55,71.25,71.25,12156219
2016/9/22,71.9,72,71.25,71.4,71.4,4929382
2016/9/23,71.5,71.9,71.4,71.9,71.9,4215738
2016/9/26,71.5,71.5,71,71,71,3736578
2016/9/27,71,71,71,71,71,0
2016/9/28,71,71,71,71,71,0
2016/9/29,71.85,72.15,71.4,71.9,71.9,9624483
2016/9/30,71.15,71.35,70.8,70.95,70.95,5843939
2016/10/3,71.2,71.6,71.1,71.45,71.45,3888034
2016/10/4,71.45,71.75,71.3,71.75,71.75,5169849
2016/10/5,71.6,71.85,71.45,71.5,71.5,2838310
2016/10/6,71.7,71.75,71.45,71.7,71.7,2071768
2016/10/7,71.6,71.8,71.6,71.65,71.65,3053425
2016/10/11,72.35,72.45,71.2,71.45,71.45,6945823
2016/10/12,71.5,72.3,71.35,72.25,72.25,6057198
2016/10/13,72.2,72.3,71.45,71.7,71.7,5454942
2016/10/14,71.3,71.9,71.3,71.45,71.45,3633218
2016/10/17,71.45,71.6,70.6,71.45,71.45,4422098
2016/10/18,71.5,71.95,71.3,71.95,71.95,3619946
2016/10/19,72,72.6,72,72.35,72.35,21575332
2016/10/20,72.35,72.75,72.35,72.65,72.65,4836032
2016/10/21,72.65,73.05,72.55,72.6,72.6,4234740
2016/10/24,72.85,72.95,72.6,72.7,72.7,3265122
2016/10/25,72.85,73.5,72.85,73.4,73.4,3715773
2016/10/26,73,73.15,72.9,73,73,2868454
2016/10/27,73,73.15,72.4,72.6,72.6,3170404
2016/10/28,72.6,72.75,72.45,72.6,72.6,4275037
2016/10/31,72.25,72.7,71.7,72.6,72.6,5464146
2016/11/1,72.25,72.6,72.1,72.6,72.6,2024337
2016/11/2,71.95,72,71.6,71.75,71.75,5502479
2016/11/3,71.45,71.6,71.1,71.2,71.2,4554732
2016/11/4,71,71.2,70.85,71,71,4346371
2016/11/7,71.8,72,71.45,72,72,3235375
2016/11/8,72.15,72.4,72,72.35,72.35,2694109
2016/11/9,72.85,73.05,70,70,70,19936675
2016/11/10,71.8,72.1,71.75,72,72,6699699
2016/11/11,70.35,70.7,69.95,70.05,70.05,8375831
2016/11/14,69.95,70.3,69.45,70.1,70.1,7117151
2016/11/15,69.8,70.1,69.75,69.9,69.9,4015684
2016/11/16,70.2,70.5,69.95,70,70,24749610
2016/11/17,70,70.2,69.75,70.2,70.2,3313486
2016/11/18,70.1,70.4,69.9,70.4,70.4,2119539
2016/11/21,70.3,70.5,70.1,70.5,70.5,2649990
2016/11/22,70.75,71.65,70.75,71.45,71.45,5293782
2016/11/23,71.5,71.9,71.45,71.8,71.8,1907717
2016/11/24,71.6,71.6,71.2,71.4,71.4,2303410
2016/11/25,71.35,71.65,71.25,71.35,71.35,2649250
2016/11/28,71.35,72,71.35,71.75,71.75,2646049
2016/11/29,71.9,72,71.65,71.65,71.65,1417871
2016/11/30,71.7,71.9,71.5,71.7,71.7,1918325
2016/12/1,71.6,72.1,71.6,72,72,1955817
