Date,Open,High,Low,Close,Adj Close,Volume
2016/9/12,35.19 ,36.12 ,35.06 ,36.08 ,31.74 ,22796600.00 
2016/9/13,35.75 ,35.88 ,35.32 ,35.61 ,31.33 ,23591300.00 
2016/9/14,35.51 ,35.82 ,35.40 ,35.62 ,31.33 ,14074500.00 
2016/9/15,35.74 ,36.65 ,35.54 ,36.56 ,32.16 ,23736000.00 
2016/9/16,37.72 ,38.05 ,37.25 ,37.67 ,33.14 ,74577900.00 
2016/9/19,37.69 ,38.02 ,37.09 ,37.16 ,32.69 ,30531700.00 
2016/9/20,37.42 ,37.43 ,36.94 ,37.14 ,32.67 ,24796900.00 
2016/9/21,37.21 ,37.46 ,36.86 ,37.45 ,32.94 ,21233700.00 
2016/9/22,37.60 ,37.83 ,37.44 ,37.55 ,33.03 ,17013400.00 
2016/9/23,37.45 ,37.65 ,37.12 ,37.19 ,32.72 ,18062500.00 
2016/9/26,36.92 ,36.94 ,36.60 ,36.65 ,32.24 ,25518800.00 
2016/9/27,36.90 ,37.22 ,36.63 ,37.18 ,32.71 ,22391600.00 
2016/9/28,37.31 ,37.50 ,37.15 ,37.44 ,32.94 ,19020800.00 
2016/9/29,37.49 ,37.53 ,37.00 ,37.32 ,32.83 ,17675000.00 
2016/9/30,37.47 ,37.92 ,37.44 ,37.75 ,33.21 ,24279300.00 
2016/10/3,37.69 ,37.95 ,37.53 ,37.66 ,33.13 ,14113600.00 
2016/10/4,37.77 ,37.94 ,37.33 ,37.54 ,33.02 ,14393100.00 
2016/10/5,37.75 ,38.31 ,37.64 ,37.99 ,33.42 ,22420800.00 
2016/10/6,37.84 ,38.16 ,37.58 ,38.07 ,33.49 ,15171400.00 
2016/10/7,38.08 ,38.22 ,37.78 ,38.10 ,33.52 ,16942500.00 
2016/10/10,38.25 ,38.36 ,37.90 ,38.02 ,33.45 ,14954300.00 
2016/10/11,37.91 ,38.00 ,36.82 ,37.27 ,32.79 ,27650500.00 
2016/10/12,37.20 ,37.25 ,36.81 ,37.13 ,32.66 ,14053900.00 
2016/10/13,36.85 ,37.13 ,36.46 ,36.97 ,32.52 ,16936000.00 
2016/10/14,37.19 ,37.70 ,37.16 ,37.45 ,32.94 ,19123900.00 
2016/10/17,37.55 ,37.72 ,37.24 ,37.29 ,32.80 ,15788100.00 
2016/10/18,37.97 ,38.05 ,37.53 ,37.75 ,33.21 ,42907800.00 
2016/10/19,36.07 ,36.09 ,35.23 ,35.51 ,31.24 ,75229000.00 
2016/10/20,35.41 ,35.67 ,35.10 ,35.43 ,31.17 ,25669500.00 
2016/10/21,35.21 ,35.40 ,34.81 ,35.15 ,30.92 ,20813200.00 
2016/10/24,35.43 ,35.49 ,35.11 ,35.26 ,31.02 ,21524700.00 
2016/10/25,35.14 ,35.25 ,35.01 ,35.10 ,30.88 ,17860300.00 
2016/10/26,35.04 ,35.21 ,34.74 ,34.92 ,30.72 ,19977600.00 
2016/10/27,35.10 ,35.23 ,34.75 ,34.81 ,30.62 ,14634700.00 
2016/10/28,34.87 ,35.17 ,34.71 ,34.74 ,30.56 ,22296400.00 
2016/10/31,34.92 ,35.08 ,34.84 ,34.87 ,30.67 ,19188600.00 
2016/11/1,34.90 ,35.16 ,34.27 ,34.52 ,30.37 ,25368200.00 
2016/11/2,34.60 ,34.90 ,34.47 ,34.60 ,30.44 ,21416400.00 
2016/11/3,34.45 ,34.52 ,33.87 ,33.93 ,30.07 ,19400000.00 
2016/11/4,33.53 ,33.93 ,33.42 ,33.61 ,29.79 ,21914700.00 
2016/11/7,34.24 ,34.75 ,34.15 ,34.69 ,30.75 ,19296600.00 
2016/11/8,34.60 ,34.95 ,34.49 ,34.74 ,30.79 ,14833100.00 
2016/11/9,34.13 ,34.85 ,33.67 ,34.75 ,30.80 ,25999400.00 
2016/11/10,34.95 ,34.95 ,34.03 ,34.50 ,30.58 ,28249900.00 
2016/11/11,34.57 ,34.87 ,34.34 ,34.61 ,30.68 ,22665000.00 
2016/11/14,34.56 ,34.73 ,34.20 ,34.48 ,30.56 ,22558900.00 
2016/11/15,34.64 ,35.29 ,34.61 ,34.91 ,30.94 ,20676100.00 
2016/11/16,34.90 ,34.92 ,34.54 ,34.84 ,30.88 ,18565500.00 
2016/11/17,34.81 ,35.02 ,34.63 ,35.02 ,31.04 ,15748500.00 
2016/11/18,34.90 ,35.00 ,34.64 ,34.95 ,30.98 ,16806900.00 
2016/11/21,35.10 ,35.20 ,34.84 ,34.98 ,31.00 ,14259500.00 
2016/11/22,35.18 ,35.50 ,35.11 ,35.48 ,31.45 ,22327400.00 
2016/11/23,35.48 ,35.52 ,35.10 ,35.20 ,31.20 ,15843100.00 
2016/11/25,35.11 ,35.45 ,35.11 ,35.44 ,31.41 ,6372800.00 
2016/11/28,35.43 ,35.66 ,35.21 ,35.51 ,31.47 ,13549000.00 
2016/11/29,35.64 ,35.64 ,35.27 ,35.31 ,31.30 ,19581000.00 
2016/11/30,35.20 ,35.30 ,34.70 ,34.70 ,30.76 ,27016100.00 
2016/12/1,34.86 ,34.93 ,33.56 ,33.76 ,29.92 ,29618700.00 
2016/12/2,33.72 ,34.26 ,33.60 ,34.16 ,30.28 ,21492500.00 
2016/12/5,34.31 ,34.42 ,33.97 ,34.39 ,30.48 ,14462000.00 
2016/12/6,34.39 ,34.75 ,34.30 ,34.72 ,30.77 ,15297700.00 
2016/12/7,34.67 ,35.57 ,34.45 ,35.50 ,31.47 ,21710300.00 
2016/12/8,35.48 ,36.03 ,35.22 ,35.70 ,31.64 ,19966500.00 
2016/12/9,35.75 ,35.90 ,35.59 ,35.76 ,31.70 ,16326900.00 
2016/12/12,35.78 ,36.09 ,35.67 ,35.97 ,31.88 ,21985800.00 
2016/12/13,36.01 ,36.89 ,35.93 ,36.80 ,32.62 ,35773600.00 
2016/12/14,36.70 ,36.89 ,36.46 ,36.55 ,32.40 ,30819400.00 
2016/12/15,36.74 ,37.16 ,36.53 ,36.79 ,32.61 ,23721500.00 
2016/12/16,36.72 ,36.87 ,36.09 ,36.31 ,32.18 ,38212800.00 
2016/12/19,36.34 ,36.95 ,36.27 ,36.89 ,32.70 ,18744300.00 
2016/12/20,36.95 ,37.24 ,36.89 ,37.21 ,32.98 ,18551800.00 
2016/12/21,37.25 ,37.35 ,36.91 ,36.98 ,32.78 ,14323600.00 
2016/12/22,37.23 ,37.24 ,36.81 ,36.93 ,32.73 ,10793900.00 
2016/12/23,36.93 ,36.98 ,36.77 ,36.97 ,32.77 ,6287300.00 
2016/12/27,36.91 ,37.33 ,36.91 ,37.07 ,32.86 ,9033700.00 
2016/12/28,37.10 ,37.20 ,36.58 ,36.63 ,32.47 ,12868600.00 
2016/12/29,36.51 ,36.72 ,36.43 ,36.66 ,32.49 ,8447300.00 
2016/12/30,36.79 ,36.80 ,36.20 ,36.27 ,32.15 ,17468000.00 
2017/1/3,36.61 ,36.93 ,36.27 ,36.60 ,32.44 ,20196500.00 
2017/1/4,36.71 ,36.77 ,36.34 ,36.41 ,32.27 ,15915700.00 
2017/1/5,36.45 ,36.72 ,36.31 ,36.35 ,32.22 ,13986000.00 
2017/1/6,36.59 ,36.68 ,36.19 ,36.48 ,32.33 ,15114000.00 
2017/1/9,36.48 ,36.89 ,36.48 ,36.61 ,32.45 ,19461400.00 
2017/1/10,36.55 ,36.93 ,36.53 ,36.54 ,32.39 ,15918800.00 
2017/1/11,36.51 ,37.00 ,36.51 ,36.95 ,32.75 ,22398400.00 
2017/1/12,36.83 ,36.83 ,36.32 ,36.71 ,32.54 ,20391900.00 
2017/1/13,36.71 ,36.86 ,36.62 ,36.79 ,32.61 ,15072200.00 
2017/1/17,36.67 ,36.83 ,36.59 ,36.80 ,32.62 ,20195200.00 
2017/1/18,36.89 ,37.01 ,36.61 ,36.76 ,32.58 ,15382500.00 
2017/1/19,36.51 ,36.91 ,36.51 ,36.57 ,32.41 ,13654500.00 
2017/1/20,36.76 ,37.03 ,36.58 ,36.94 ,32.74 ,23950900.00 
2017/1/23,37.07 ,37.21 ,36.55 ,36.77 ,32.59 ,27752600.00 
2017/1/24,36.84 ,37.74 ,36.81 ,37.62 ,33.34 ,35140900.00 
2017/1/25,37.87 ,38.00 ,37.52 ,37.80 ,33.50 ,32276400.00 
2017/1/26,37.82 ,37.92 ,37.42 ,37.56 ,33.29 ,34144800.00 
2017/1/27,38.00 ,38.45 ,37.81 ,37.98 ,33.66 ,44368600.00 
