Date,Open,High,Low,Close,Adj Close,Volume
2016/9/12,212.39 ,216.81 ,212.31 ,216.34 ,197.17 ,168110900.00 
2016/9/13,214.84 ,215.15 ,212.50 ,213.23 ,194.34 ,182828800.00 
2016/9/14,213.29 ,214.70 ,212.50 ,213.15 ,194.26 ,134185500.00 
2016/9/15,212.96 ,215.73 ,212.75 ,215.28 ,196.20 ,134427900.00 
2016/9/16,213.48 ,213.69 ,212.57 ,213.37 ,195.45 ,155236400.00 
2016/9/19,214.13 ,214.88 ,213.03 ,213.41 ,195.48 ,80250500.00 
2016/9/20,214.41 ,214.59 ,213.38 ,213.42 ,195.49 ,69665300.00 
2016/9/21,214.24 ,216.03 ,213.44 ,215.82 ,197.69 ,110284400.00 
2016/9/22,217.00 ,217.53 ,216.71 ,217.18 ,198.94 ,76678700.00 
2016/9/23,216.72 ,216.88 ,215.88 ,215.99 ,197.85 ,73630900.00 
2016/9/26,215.02 ,215.23 ,214.01 ,214.24 ,196.24 ,89827300.00 
2016/9/27,214.05 ,215.68 ,213.62 ,215.57 ,197.46 ,78494800.00 
2016/9/28,215.83 ,216.82 ,214.71 ,216.64 ,198.44 ,87411000.00 
2016/9/29,216.40 ,216.87 ,214.04 ,214.68 ,196.65 ,128070600.00 
2016/9/30,215.65 ,217.12 ,215.36 ,216.30 ,198.13 ,117202900.00 
2016/10/3,215.82 ,216.04 ,215.04 ,215.78 ,197.65 ,83512100.00 
2016/10/4,215.91 ,216.17 ,213.99 ,214.68 ,196.65 ,119948100.00 
2016/10/5,215.41 ,216.13 ,215.33 ,215.63 ,197.52 ,72816000.00 
2016/10/6,215.37 ,216.04 ,214.74 ,215.78 ,197.65 ,62927400.00 
2016/10/7,216.10 ,216.30 ,214.19 ,215.04 ,196.98 ,89788300.00 
2016/10/10,216.16 ,216.70 ,215.99 ,216.16 ,198.00 ,51855000.00 
2016/10/11,215.66 ,215.74 ,212.58 ,213.43 ,195.50 ,130367400.00 
2016/10/12,213.59 ,214.32 ,213.01 ,213.71 ,195.76 ,73866100.00 
2016/10/13,212.16 ,213.59 ,211.21 ,213.01 ,195.12 ,101357000.00 
2016/10/14,214.15 ,214.69 ,213.03 ,213.12 ,195.22 ,93346200.00 
2016/10/17,213.09 ,213.39 ,212.17 ,212.38 ,194.54 ,58275700.00 
2016/10/18,214.24 ,214.31 ,213.27 ,213.71 ,195.76 ,76869700.00 
2016/10/19,214.02 ,214.64 ,213.60 ,214.28 ,196.28 ,66519200.00 
2016/10/20,213.87 ,214.53 ,213.11 ,213.88 ,195.91 ,73639800.00 
2016/10/21,213.88 ,214.08 ,212.76 ,213.98 ,196.00 ,89089100.00 
2016/10/24,215.00 ,215.32 ,214.48 ,214.89 ,196.84 ,60146600.00 
2016/10/25,214.68 ,214.98 ,213.98 ,214.17 ,196.18 ,66542300.00 
2016/10/26,213.21 ,214.42 ,212.93 ,213.74 ,195.78 ,75705500.00 
2016/10/27,214.58 ,214.62 ,213.08 ,213.17 ,195.26 ,77220200.00 
2016/10/28,213.14 ,213.93 ,211.71 ,212.54 ,194.69 ,140623200.00 
