"Date","P/E","P/B","Div Yield %"
"12 Aug 2022","21.62","4.23","1.43"
"11 Aug 2022","21.71","4.28","1.44"
"10 Aug 2022","21.53","4.32","1.41"
"08 Aug 2022","21.45","4.32","1.40"
"05 Aug 2022","21.11","4.24","1.40"
"04 Aug 2022","21.11","4.24","1.41"
"03 Aug 2022","21.11","4.24","1.41"
"02 Aug 2022","21.12","4.23","1.40"
"01 Aug 2022","21.09","4.23","1.40"
"29 Jul 2022","20.90","4.18","1.41"
"28 Jul 2022","20.66","4.12","1.45"
"27 Jul 2022","20.36","4.06","1.49"
"26 Jul 2022","20.33","4.02","1.50"
"25 Jul 2022","20.61","4.07","1.46"
"22 Jul 2022","20.72","4.09","1.48"
"21 Jul 2022","20.63","4.07","1.49"
"20 Jul 2022","20.49","4.05","1.45"
"19 Jul 2022","20.36","4.01","1.46"
"18 Jul 2022","20.28","3.99","1.45"
"15 Jul 2022","20.00","3.93","1.47"
"14 Jul 2022","19.87","3.91","1.50"
"13 Jul 2022","19.90","3.92","1.47"
"12 Jul 2022","20.01","3.94","1.46"
"11 Jul 2022","20.18","3.97","1.45"
"08 Jul 2022","20.14","4.05","1.45"
"07 Jul 2022","20.04","4.15","1.48"
"06 Jul 2022","19.86","4.12","1.49"
"05 Jul 2022","19.62","4.07","1.52"
"04 Jul 2022","19.64","4.07","1.52"
"01 Jul 2022","19.53","4.05","1.51"
"30 Jun 2022","19.54","4.05","1.51"
"29 Jun 2022","19.58","4.06","1.48"
"28 Jun 2022","19.65","4.07","1.51"
"27 Jun 2022","19.63","4.07","1.51"
"24 Jun 2022","19.47","4.03","1.52"
"22 Jun 2022","19.10","3.96","1.56"
"21 Jun 2022","19.39","4.02","1.53"
"20 Jun 2022","19.01","3.94","1.56"
"17 Jun 2022","18.96","3.93","1.56"
"16 Jun 2022","19.08","3.95","1.57"
"15 Jun 2022","19.49","4.04","1.54"
"14 Jun 2022","19.53","4.05","1.46"
"13 Jun 2022","19.56","4.05","1.48"
"10 Jun 2022","20.08","4.16","1.47"
"09 Jun 2022","20.40","4.23","1.51"
"07 Jun 2022","20.32","4.21","1.50"
"06 Jun 2022","20.50","4.25","1.49"
"03 Jun 2022","20.53","4.25","1.49"
"02 Jun 2022","20.63","4.27","1.50"
"01 Jun 2022","20.50","4.25","1.51"
"31 May 2022","20.53","4.27","1.50"
"30 May 2022","20.73","4.28","1.48"
"27 May 2022","20.33","4.20","1.50"
"26 May 2022","19.97","4.16","1.52"
"25 May 2022","19.79","4.12","1.47"
"24 May 2022","19.95","4.15","1.42"
"23 May 2022","20.09","4.17","1.41"
"20 May 2022","20.15","4.19","1.40"
"19 May 2022","19.62","4.08","1.44"
"18 May 2022","20.17","4.19","1.40"
"17 May 2022","20.19","4.20","1.40"
"16 May 2022","19.86","4.09","1.44"
"13 May 2022","19.91","4.07","1.44"
"12 May 2022","19.96","4.08","1.43"
"11 May 2022","20.42","4.17","1.32"
"10 May 2022","20.53","4.19","1.31"
"09 May 2022","20.90","4.22","1.30"
"06 May 2022","21.09","4.25","1.29"
"05 May 2022","21.46","4.33","1.23"
"04 May 2022","21.51","4.33","1.23"
"02 May 2022","22.09","4.43","1.20"
"29 Apr 2022","22.22","4.44","1.19"
"28 Apr 2022","22.43","4.48","1.21"
"27 Apr 2022","22.18","4.43","1.20"
"26 Apr 2022","22.41","4.47","1.19"
"25 Apr 2022","22.21","4.40","1.21"
"22 Apr 2022","22.57","4.47","1.19"
"21 Apr 2022","22.84","4.52","1.18"
"20 Apr 2022","22.51","4.45","1.19"
"19 Apr 2022","22.30","4.41","1.20"
"18 Apr 2022","22.73","4.47","1.18"
"13 Apr 2022","23.08","4.54","1.17"
"12 Apr 2022","23.14","4.55","1.16"
"11 Apr 2022","23.34","4.59","1.15"
"08 Apr 2022","23.42","4.60","1.15"
"07 Apr 2022","23.20","4.56","1.17"
"06 Apr 2022","23.40","4.60","1.16"
"05 Apr 2022","23.55","4.63","1.15"
"04 Apr 2022","23.63","4.65","1.14"
"01 Apr 2022","23.15","4.55","1.16"
"31 Mar 2022","22.86","4.50","1.17"
"30 Mar 2022","22.46","4.39","1.20"
"29 Mar 2022","22.26","4.35","1.21"
"28 Mar 2022","22.13","4.33","1.21"
"25 Mar 2022","22.07","4.31","1.21"
"24 Mar 2022","22.14","4.33","1.21"
"23 Mar 2022","22.16","4.33","1.21"
"22 Mar 2022","22.23","4.35","1.22"
"21 Mar 2022","22.01","4.30","1.25"
"17 Mar 2022","22.24","4.35","1.22"
"16 Mar 2022","21.85","4.27","1.25"
"15 Mar 2022","21.43","4.19","1.27"
"14 Mar 2022","21.69","4.24","1.27"
"11 Mar 2022","21.44","4.19","1.28"
"10 Mar 2022","21.39","4.18","1.29"
"09 Mar 2022","21.05","4.12","1.31"
"08 Mar 2022","20.64","4.04","1.31"
"07 Mar 2022","20.43","4.00","1.34"
"04 Mar 2022","20.94","4.09","1.31"
"03 Mar 2022","21.29","4.16","1.29"
"02 Mar 2022","21.41","4.19","1.28"
"28 Feb 2022","21.62","4.23","1.27"
"25 Feb 2022","21.43","4.19","1.28"
"24 Feb 2022","20.87","4.08","1.31"
"22 Feb 2022","21.95","4.29","1.25"
"21 Feb 2022","22.07","4.32","1.29"
"18 Feb 2022","22.18","4.34","1.26"
"17 Feb 2022","22.25","4.35","1.25"
"16 Feb 2022","22.26","4.36","1.27"
"15 Feb 2022","22.33","4.36","1.24"
"14 Feb 2022","21.83","4.24","1.29"
"11 Feb 2022","22.65","4.37","1.20"
"10 Feb 2022","22.88","4.43","1.20"
"09 Feb 2022","22.94","4.40","1.20"
"08 Feb 2022","22.68","4.35","1.23"
"07 Feb 2022","22.98","4.34","1.24"
"04 Feb 2022","23.43","4.41","1.23"
"03 Feb 2022","23.51","4.42","1.22"
"02 Feb 2022","23.78","4.47","1.19"
"01 Feb 2022","23.44","4.42","1.20"
"31 Jan 2022","23.38","4.36","1.21"
"28 Jan 2022","23.09","4.30","1.23"
"27 Jan 2022","23.05","4.30","1.23"
"25 Jan 2022","23.44","4.35","1.23"
"24 Jan 2022","23.55","4.31","1.24"
"21 Jan 2022","24.24","4.44","1.20"
"20 Jan 2022","24.46","4.48","1.19"
"19 Jan 2022","24.70","4.52","1.17"
"18 Jan 2022","24.91","4.55","1.15"
"17 Jan 2022","25.28","4.61","1.14"
"14 Jan 2022","25.20","4.59","1.14"
"13 Jan 2022","25.26","4.59","1.15"
"12 Jan 2022","25.18","4.58","1.15"
"11 Jan 2022","24.97","4.54","1.16"
"10 Jan 2022","24.91","4.53","1.17"
"07 Jan 2022","24.67","4.49","1.18"
"06 Jan 2022","24.58","4.47","1.18"
"05 Jan 2022","24.80","4.51","1.17"
"04 Jan 2022","24.64","4.48","1.18"
"03 Jan 2022","24.43","4.44","1.19"
"31 Dec 2021","24.08","4.38","1.21"
"30 Dec 2021","23.70","4.31","1.23"
"29 Dec 2021","23.74","4.32","1.22"
"28 Dec 2021","23.77","4.33","1.21"
"27 Dec 2021","23.56","4.29","1.22"
"24 Dec 2021","23.46","4.27","1.23"
"23 Dec 2021","23.58","4.29","1.22"
"22 Dec 2021","23.40","4.26","1.23"
"21 Dec 2021","23.14","4.21","1.22"
"20 Dec 2021","22.89","4.17","1.24"
"17 Dec 2021","23.43","4.26","1.21"
"16 Dec 2021","23.82","4.34","1.18"
"15 Dec 2021","23.80","4.33","1.18"
"14 Dec 2021","23.95","4.36","1.18"
"13 Dec 2021","23.99","4.37","1.16"
"10 Dec 2021","24.18","4.40","1.15"
"09 Dec 2021","24.17","4.40","1.15"
"08 Dec 2021","24.11","4.39","1.16"
"07 Dec 2021","23.72","4.32","1.18"
"06 Dec 2021","23.36","4.25","1.19"
"03 Dec 2021","23.77","4.33","1.15"
"02 Dec 2021","24.01","4.37","1.14"
"01 Dec 2021","23.70","4.31","1.16"
"30 Nov 2021","23.46","4.27","1.17"
"29 Nov 2021","23.56","4.29","1.16"
"26 Nov 2021","23.56","4.29","1.16"
"25 Nov 2021","24.27","4.42","1.13"
"24 Nov 2021","24.09","4.38","1.14"
"23 Nov 2021","24.21","4.41","1.13"
"22 Nov 2021","24.06","4.38","1.14"
"18 Nov 2021","24.53","4.47","1.11"
"17 Nov 2021","24.74","4.50","1.10"
"16 Nov 2021","25.15","4.53","1.10"
"15 Nov 2021","26.18","4.55","1.09"
"12 Nov 2021","26.20","4.55","1.09"
"11 Nov 2021","25.89","4.49","1.11"
"10 Nov 2021","26.23","4.52","1.08"
"09 Nov 2021","26.24","4.53","1.08"
"08 Nov 2021","26.39","4.53","1.07"
"04 Nov 2021","26.24","4.49","1.09"
"03 Nov 2021","26.11","4.47","1.12"
"02 Nov 2021","26.06","4.48","1.12"
"01 Nov 2021","26.32","4.48","1.11"
