Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,3.030000,3.030000,2.925000,2.980000,2.417746,350000
1996-01-02,2.980000,3.025000,2.950000,2.975000,2.413689,412000
1996-01-03,2.975000,2.995000,2.950000,2.985000,2.421803,284000
1996-01-04,2.985000,2.980000,2.940000,2.965000,2.405575,282000
1996-01-05,2.965000,2.980000,2.950000,2.960000,2.401519,189000
1996-01-08,2.960000,2.950000,2.910000,2.925000,2.373122,237000
1996-01-09,2.925000,2.925000,2.800000,2.830000,2.296047,483000
1996-01-10,2.830000,2.865000,2.810000,2.840000,2.304160,226000
1996-01-11,2.840000,2.880000,2.800000,2.830000,2.296047,318000
1996-01-12,2.830000,2.835000,2.800000,2.825000,2.291991,431000
1996-01-15,2.825000,2.815000,2.775000,2.790000,2.263594,181000
1996-01-16,2.790000,2.800000,2.740000,2.740000,2.223028,358000
1996-01-17,2.740000,2.795000,2.630000,2.655000,2.154066,429000
1996-01-18,2.655000,2.655000,2.600000,2.640000,2.141895,330000
1996-01-19,2.640000,2.630000,2.535000,2.555000,2.072933,426000
1996-01-22,2.555000,2.590000,2.520000,2.545000,2.064820,359000
1996-01-23,2.545000,2.600000,2.510000,2.530000,2.052650,399000
1996-01-24,2.530000,2.530000,2.450000,2.465000,1.999914,449000
1996-01-25,2.465000,2.450000,2.410000,2.435000,1.975574,390000
1996-01-26,2.435000,2.435000,2.435000,2.435000,1.975574,0
1996-01-29,2.435000,2.495000,2.395000,2.485000,2.016140,311000
1996-01-30,2.485000,2.550000,2.485000,2.520000,2.044537,452000
1996-01-31,2.520000,2.635000,2.550000,2.590000,2.101330,344000
1996-02-01,2.590000,2.800000,2.600000,2.780000,2.255480,424000
1996-02-02,2.780000,2.995000,2.800000,2.915000,2.365009,819000
1996-02-05,2.915000,3.100000,2.950000,2.995000,2.429915,906000
1996-02-06,2.995000,3.050000,2.950000,2.975000,2.413689,888000
1996-02-07,2.975000,2.925000,2.825000,2.865000,2.324444,586000
1996-02-08,2.865000,3.150000,2.885000,3.045000,2.470482,667000
1996-02-09,3.045000,3.655000,3.350000,3.650000,2.961333,1720000
1996-02-12,3.650000,3.795000,3.450000,3.510000,2.847748,2851000
1996-02-13,3.600000,3.600000,3.325000,3.450000,2.799068,1451000
1996-02-14,3.450000,3.800000,3.590000,3.710000,3.010012,2464000
1996-02-15,3.710000,3.770000,3.670000,3.685000,2.989729,1191000
1996-02-16,3.685000,3.675000,3.510000,3.560000,2.888314,1396000
1996-02-19,3.560000,3.650000,3.500000,3.515000,2.851804,1297000
1996-02-20,3.515000,3.515000,3.305000,3.365000,2.730105,1361000
1996-02-21,3.365000,3.365000,3.365000,3.365000,2.730105,0
1996-02-22,3.365000,3.475000,3.400000,3.425000,2.778785,848000
1996-02-23,3.425000,3.500000,3.400000,3.420000,2.774728,687000
1996-02-26,3.420000,3.475000,3.375000,3.385000,2.746332,647000
1996-02-27,3.390000,3.425000,3.300000,3.395000,2.754445,841000
1996-02-28,3.395000,3.445000,3.305000,3.325000,2.697652,422000
1996-02-29,3.300000,3.300000,3.000000,3.065000,2.486708,1275000
1996-03-01,3.065000,3.150000,3.000000,3.110000,2.523218,732000
1996-03-04,3.110000,3.100000,3.050000,3.065000,2.486708,647000
1996-03-05,3.065000,3.065000,3.065000,3.065000,2.486708,0
1996-03-06,3.065000,3.150000,3.080000,3.100000,2.515105,360000
1996-03-07,3.100000,3.150000,3.025000,3.060000,2.482652,486000
1996-03-08,3.060000,3.070000,3.000000,3.050000,2.474538,387000
1996-03-11,3.050000,3.045000,2.975000,2.995000,2.429915,324000
1996-03-12,2.995000,2.995000,2.930000,2.955000,2.397462,400000
