DATE,TATASTEEL,WIPRO,TITAN,ULTRACEMO,TECHM,RELIANCE,SHREECEM,SUNPHARMA,TATAMOTORS,TCS,SBIN,NESTLEIND,NTPC,M&M,MARUTI,ONGC,POWERGRID,JSWSTEEL,KOTAKBANK,LT,ICICIBANK,INDUSBANK,INFY,IOC,ITC,HEROMOTOCO,HINDALCO,HINDUNILVR,HCLTECH,HDFCBANK,HDFC,DRREDDYS,EICHERMOTOR,GRASIM,CIPLA,COALINDIA,BPCL,BRITANNIA,ADANIPORTS,BAJAJFINSERV,BAJAJFINANCE,BHARTIARTL,AXISBANK,BAJAJ-AUTO,ASIANPAINT,UPL
2010-01-11,591.9,423.7,3792.5,6737.95,735.6,1093.2,2116.1,2190.7,1170.6,1053.4,3198.45,3550.4,193.2,766.5,1508.3,1319.35,215.65,1344.0,468.15,2084.05,1232.0,285.95,,422.9,171.85,,212.95,294.55,407.8,2349.2,710.7,1678.9,1298.55,2322.2,356.6,,754.8,413.15,,467.25,798.6,335.3,1513.6,1530.75,2705.05,
2010-01-12,613.55,414.7,3781.9,5443.7,671.15,988.8,2094.1,448.65,1286.75,1081.9,3100.15,3568.05,186.35,802.5,1414.1,1286.25,187.3,1206.3,480.15,2029.3,1167.45,303.0,,384.55,171.4,,213.7,297.6,411.05,2367.05,697.75,1775.65,1190.4,2315.85,365.15,320.95,697.95,410.3,,481.65,713.3,350.55,1424.45,1571.2,2680.4,
2010-02-11,599.05,433.85,3818.7,6735.25,724.55,1074.85,2164.55,2190.45,1154.25,1049.45,3201.85,3552.6,193.75,757.6,1493.4,1330.4,214.6,1329.15,474.45,2133.2,1231.35,276.3,,422.85,173.4,,215.35,294.6,406.05,2350.35,702.8,1673.95,1326.25,2366.7,350.75,,772.75,413.6,,472.1,806.4,329.25,1526.6,1548.75,2792.8,
2010-02-12,622.75,426.05,3784.2,5368.4,676.35,1011.15,2022.35,452.9,1320.15,1095.8,3099.2,3646.2,182.9,789.55,1408.85,1313.95,190.2,1187.9,488.55,2015.05,1191.15,297.15,,385.7,170.9,,218.75,296.95,419.25,2391.75,705.5,1787.7,1222.95,2337.8,364.95,324.85,685.8,412.45,,484.35,741.85,346.1,1455.35,1574.3,2651.85,
2010-03-11,609.6,434.7,3833.05,6858.65,732.5,1065.3,2261.4,2249.3,1185.55,1052.8,3272.6,3609.95,193.2,759.9,1496.1,1330.45,221.05,1329.85,486.05,2148.9,1238.65,279.9,,423.45,175.55,,218.9,296.0,406.1,2362.25,715.95,1695.4,1392.95,2401.45,347.25,,765.6,415.75,,480.15,799.25,328.4,1536.1,1582.35,2694.9,
2010-03-12,614.55,427.6,3696.45,5543.45,668.95,1005.9,2014.1,444.9,1314.7,1097.35,3070.75,3671.1,185.15,799.9,1400.6,1319.6,195.15,1120.05,485.85,2021.35,1181.45,291.3,,385.75,171.3,,215.35,299.25,423.7,2395.65,695.3,1827.95,1230.45,2357.35,370.25,321.95,673.85,398.9,,486.7,719.95,345.6,1406.15,1600.15,2670.05,
2010-04-11,621.5,436.75,3822.35,6728.0,748.75,1105.05,2278.85,2241.75,1234.05,1069.15,3433.45,3649.25,194.7,777.5,1507.6,1368.4,223.55,1351.7,490.3,2171.95,1266.05,280.15,,415.4,177.0,,226.45,299.2,412.05,2389.2,739.7,1734.15,1400.7,2413.3,349.95,342.55,760.35,413.75,,481.95,810.3,326.15,1544.4,1610.35,2663.05,
2010-05-11,623.55,438.05,3837.45,6510.05,750.8,1105.7,2296.45,2276.65,1244.95,1077.75,3489.95,3661.0,196.3,790.9,1512.35,1379.45,221.05,1348.2,494.4,2171.65,1273.35,279.95,,419.25,177.15,,232.45,302.85,413.85,2393.4,738.15,1753.6,1410.75,2402.6,352.95,349.85,762.45,421.9,,489.5,811.9,329.5,1549.85,1614.35,2688.95,
2010-06-12,635.05,430.65,3693.25,5490.1,665.45,1020.15,2034.2,455.95,1357.85,1101.7,2952.35,3745.7,187.05,794.8,1408.1,1320.5,199.65,1167.9,480.2,2009.4,1151.2,289.05,,376.6,169.05,,221.35,300.3,426.15,2383.25,704.85,1819.4,1230.1,2351.6,370.0,320.4,668.5,404.55,,487.1,707.15,345.35,1382.45,1585.45,2682.1,
2010-07-12,639.35,434.95,3694.0,5452.25,671.55,1030.75,2024.85,463.35,1335.4,1087.5,2864.5,3739.65,191.6,800.95,1428.65,1337.95,203.0,1170.1,463.95,2016.5,1110.5,287.35,,369.15,168.2,,226.8,295.75,435.9,2351.65,700.8,1830.1,1220.6,2351.45,371.35,320.0,661.05,400.45,,482.05,671.75,348.85,1324.5,1606.9,2707.65,
