Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,3.38,3.45,3.38,3.45,0,EUR,A3M,spain
2009-02-12,3.5,3.56,3.45,3.45,0,EUR,A3M,spain
2009-02-13,3.65,3.77,3.63,3.77,0,EUR,A3M,spain
2009-02-16,3.7,3.71,3.53,3.53,0,EUR,A3M,spain
2009-02-17,3.54,3.54,3.33,3.33,0,EUR,A3M,spain
2009-02-18,3.36,3.41,3.13,3.13,0,EUR,A3M,spain
2009-02-19,3.22,3.23,3.08,3.08,0,EUR,A3M,spain
2009-02-20,3.11,3.11,2.92,2.92,0,EUR,A3M,spain
2009-02-25,3.1,3.2,3.07,3.2,0,EUR,A3M,spain
2009-02-26,3.1,3.38,3.1,3.38,0,EUR,A3M,spain
2009-02-27,3.27,3.34,3.23,3.34,0,EUR,A3M,spain
2009-03-06,3.25,3.25,3.12,3.12,0,EUR,A3M,spain
2009-03-09,3.13,3.18,3.13,3.18,0,EUR,A3M,spain
2009-03-10,3.09,3.18,3.0,3.18,0,EUR,A3M,spain
2009-03-11,3.09,3.22,3.09,3.22,0,EUR,A3M,spain
2009-03-12,3.14,3.21,3.1,3.21,0,EUR,A3M,spain
2009-03-13,3.2,3.24,3.13,3.13,0,EUR,A3M,spain
2009-03-16,3.36,3.7,3.36,3.7,0,EUR,A3M,spain
2009-03-17,3.46,3.58,3.44,3.44,0,EUR,A3M,spain
2009-03-18,3.57,3.57,3.33,3.33,0,EUR,A3M,spain
2009-03-19,3.4,3.4,3.23,3.23,0,EUR,A3M,spain
2009-03-20,3.23,3.25,3.07,3.07,0,EUR,A3M,spain
2009-04-01,2.99,3.08,2.99,3.08,0,EUR,A3M,spain
2009-04-02,3.13,3.29,3.13,3.29,0,EUR,A3M,spain
2009-04-03,3.28,3.37,3.22,3.37,0,EUR,A3M,spain
2009-04-06,3.34,3.34,3.17,3.17,0,EUR,A3M,spain
2009-04-07,3.22,3.3,3.17,3.17,0,EUR,A3M,spain
2009-04-08,3.18,3.23,3.12,3.23,0,EUR,A3M,spain
2009-04-09,3.26,3.97,3.25,3.97,0,EUR,A3M,spain
2009-04-16,4.55,4.56,4.12,4.12,0,EUR,A3M,spain
2009-04-17,4.25,4.33,4.04,4.33,0,EUR,A3M,spain
2009-04-20,4.11,4.18,3.97,3.97,0,EUR,A3M,spain
2009-04-21,3.81,3.92,3.61,3.92,0,EUR,A3M,spain
2009-04-22,3.91,4.02,3.84,3.84,0,EUR,A3M,spain
2009-04-23,3.95,4.04,3.92,4.04,0,EUR,A3M,spain
2009-04-24,3.97,4.07,3.96,4.07,0,EUR,A3M,spain
2009-04-27,3.95,4.06,3.9,4.06,0,EUR,A3M,spain
2009-04-28,4.0,4.0,3.85,3.85,0,EUR,A3M,spain
2009-04-29,4.02,4.05,3.93,4.05,0,EUR,A3M,spain
2009-04-30,4.07,4.23,3.96,4.23,0,EUR,A3M,spain
2009-05-05,4.5,4.79,4.41,4.79,0,EUR,A3M,spain
2009-05-06,4.71,4.83,4.6,4.6,0,EUR,A3M,spain
2009-05-07,4.71,5.06,4.71,5.06,0,EUR,A3M,spain
2009-05-08,5.0,5.73,5.0,5.73,0,EUR,A3M,spain
2009-05-14,5.15,5.27,4.97,4.97,0,EUR,A3M,spain
2009-05-15,5.18,5.28,5.0,5.0,0,EUR,A3M,spain
2009-05-18,5.22,5.3,5.07,5.07,0,EUR,A3M,spain
2009-05-19,5.29,5.43,5.23,5.23,0,EUR,A3M,spain
2009-05-20,5.47,5.51,5.3,5.3,0,EUR,A3M,spain
2009-05-21,5.31,5.31,5.03,5.03,0,EUR,A3M,spain
2009-05-22,5.06,5.4,5.06,5.4,0,EUR,A3M,spain
2009-05-25,5.25,5.3,5.25,5.3,0,EUR,A3M,spain
2009-05-26,5.25,5.34,5.06,5.06,0,EUR,A3M,spain
2009-05-27,5.2,5.29,5.11,5.11,0,EUR,A3M,spain
2009-05-28,5.15,5.15,5.04,5.04,0,EUR,A3M,spain
2009-05-29,5.08,5.13,4.95,4.95,0,EUR,A3M,spain
2009-06-02,5.19,5.31,5.15,5.31,0,EUR,A3M,spain
2009-06-03,5.32,5.42,5.32,5.42,0,EUR,A3M,spain
2009-06-04,5.45,6.0,5.45,6.0,0,EUR,A3M,spain
2009-06-05,6.01,6.27,5.7,5.7,0,EUR,A3M,spain
2009-06-11,5.57,5.7,5.53,5.7,0,EUR,A3M,spain
2009-06-12,5.75,5.84,5.56,5.56,0,EUR,A3M,spain
2009-06-15,5.52,5.52,5.48,5.48,0,EUR,A3M,spain
2009-06-16,5.45,5.52,5.42,5.52,0,EUR,A3M,spain
2009-06-17,5.29,5.31,5.21,5.21,0,EUR,A3M,spain
2009-06-18,5.21,5.22,5.06,5.06,0,EUR,A3M,spain
2009-06-19,5.17,5.31,5.17,5.31,0,EUR,A3M,spain
2009-06-24,5.13,5.24,5.13,5.24,0,EUR,A3M,spain
2009-06-25,5.2,5.26,5.02,5.02,0,EUR,A3M,spain
2009-06-26,5.19,5.22,5.12,5.12,0,EUR,A3M,spain
2009-07-02,5.64,5.74,5.4,5.4,0,EUR,A3M,spain
2009-07-03,5.42,5.62,5.42,5.62,0,EUR,A3M,spain
2009-07-06,5.31,5.35,5.24,5.24,0,EUR,A3M,spain
2009-07-07,5.32,5.42,5.14,5.42,0,EUR,A3M,spain
2009-07-08,5.23,5.25,5.05,5.05,0,EUR,A3M,spain
2009-07-09,5.02,5.23,5.02,5.13,0,EUR,A3M,spain
2009-07-10,5.1,5.36,5.1,5.34,0,EUR,A3M,spain
2009-07-13,5.28,5.62,5.23,5.62,0,EUR,A3M,spain
2009-07-14,5.61,5.73,5.6,5.68,0,EUR,A3M,spain
2009-07-15,5.71,5.74,5.57,5.63,0,EUR,A3M,spain
2009-07-16,5.55,5.65,5.55,5.6,0,EUR,A3M,spain
2009-07-17,5.6,5.63,5.51,5.52,0,EUR,A3M,spain
2009-07-20,5.6,5.69,5.5,5.69,0,EUR,A3M,spain
2009-07-21,5.68,5.71,5.58,5.7,0,EUR,A3M,spain
2009-07-22,5.67,5.8,5.5,5.8,0,EUR,A3M,spain
2009-07-23,5.82,6.36,5.81,6.36,0,EUR,A3M,spain
2009-07-24,6.35,6.67,6.31,6.53,0,EUR,A3M,spain
2009-07-28,6.44,6.59,6.39,6.48,0,EUR,A3M,spain
2009-07-29,6.48,6.57,6.18,6.31,0,EUR,A3M,spain
2009-07-30,6.35,7.01,6.35,6.86,0,EUR,A3M,spain
2009-07-31,6.89,6.96,6.82,6.88,0,EUR,A3M,spain
2009-08-03,6.89,7.32,6.87,7.17,0,EUR,A3M,spain
2009-08-04,7.19,7.35,6.93,6.99,0,EUR,A3M,spain
2009-08-05,7.13,7.23,6.95,7.0,0,EUR,A3M,spain
2009-08-06,7.08,7.11,6.69,6.74,0,EUR,A3M,spain
2009-08-07,6.53,6.94,6.53,6.89,0,EUR,A3M,spain
2009-08-10,6.93,7.02,6.88,7.01,0,EUR,A3M,spain
2009-08-11,7.01,7.12,6.96,6.96,0,EUR,A3M,spain
2009-08-12,6.95,7.07,6.77,7.03,0,EUR,A3M,spain
2009-08-13,7.05,7.32,7.01,7.16,0,EUR,A3M,spain
2009-08-14,7.1,7.19,7.07,7.07,0,EUR,A3M,spain
2009-08-17,6.99,7.02,6.79,6.79,0,EUR,A3M,spain
2009-08-18,6.74,6.88,6.74,6.8,0,EUR,A3M,spain
2009-08-19,6.76,6.91,6.63,6.83,0,EUR,A3M,spain
2009-08-20,6.86,7.1,6.86,7.03,0,EUR,A3M,spain
2009-08-21,7.02,7.16,7.02,7.11,0,EUR,A3M,spain
2009-08-24,7.17,7.23,7.13,7.18,0,EUR,A3M,spain
2009-08-25,7.1,7.53,7.06,7.33,0,EUR,A3M,spain
2009-08-26,7.41,7.51,7.36,7.51,0,EUR,A3M,spain
2009-08-27,7.53,7.56,7.32,7.32,0,EUR,A3M,spain
2009-08-28,7.47,7.53,7.4,7.5,0,EUR,A3M,spain
2009-08-31,7.37,7.44,7.26,7.34,0,EUR,A3M,spain
2009-09-01,7.29,7.38,7.06,7.14,0,EUR,A3M,spain
2009-09-02,7.05,7.05,6.87,6.94,0,EUR,A3M,spain
2009-09-03,6.94,7.0,6.63,6.9,0,EUR,A3M,spain
2009-09-04,6.97,7.09,6.95,7.05,0,EUR,A3M,spain
2009-09-07,7.09,7.47,7.07,7.42,0,EUR,A3M,spain
2009-09-08,7.37,7.49,7.33,7.34,0,EUR,A3M,spain
2009-09-09,7.81,8.15,7.81,8.15,0,EUR,A3M,spain
2009-09-10,8.18,8.57,7.87,7.95,0,EUR,A3M,spain
2009-09-11,7.97,8.1,7.56,7.64,0,EUR,A3M,spain
2009-09-14,7.61,7.61,7.32,7.37,0,EUR,A3M,spain
2009-09-15,7.43,7.55,7.4,7.48,0,EUR,A3M,spain
2009-09-16,7.52,7.69,7.48,7.68,0,EUR,A3M,spain
2009-09-17,7.75,8.05,7.66,7.88,0,EUR,A3M,spain
2009-09-18,7.87,7.94,7.82,7.87,0,EUR,A3M,spain
2009-09-21,7.79,7.93,7.66,7.74,0,EUR,A3M,spain
2009-09-22,7.83,7.94,7.76,7.79,0,EUR,A3M,spain
2009-09-23,7.88,7.99,7.87,7.91,0,EUR,A3M,spain
2009-09-24,7.94,7.94,7.68,7.69,0,EUR,A3M,spain
2009-09-25,7.73,7.83,7.71,7.74,0,EUR,A3M,spain
2009-09-28,7.76,7.88,7.63,7.8,0,EUR,A3M,spain
2009-09-29,7.8,7.84,7.64,7.69,0,EUR,A3M,spain
2009-09-30,7.7,7.74,7.24,7.25,0,EUR,A3M,spain
2009-10-01,7.28,7.44,7.24,7.27,0,EUR,A3M,spain
2009-10-02,6.93,6.93,6.73,6.77,0,EUR,A3M,spain
2009-10-05,6.76,7.1,6.72,7.03,0,EUR,A3M,spain
2009-10-06,7.15,7.2,6.81,7.01,0,EUR,A3M,spain
2009-10-07,7.04,7.39,6.98,7.32,0,EUR,A3M,spain
2009-10-08,7.37,7.4,7.01,7.09,0,EUR,A3M,spain
2009-10-09,7.11,7.24,7.04,7.07,0,EUR,A3M,spain
2009-10-12,7.14,7.14,6.86,6.86,0,EUR,A3M,spain
2009-10-13,6.89,6.9,6.68,6.78,0,EUR,A3M,spain
2009-10-14,6.82,6.9,6.71,6.78,0,EUR,A3M,spain
2009-10-15,6.79,6.8,6.56,6.58,0,EUR,A3M,spain
2009-10-16,6.62,6.67,6.12,6.22,0,EUR,A3M,spain
2009-10-19,6.21,6.29,6.16,6.24,0,EUR,A3M,spain
2009-10-20,6.31,6.33,6.03,6.05,0,EUR,A3M,spain
2009-10-21,6.1,6.2,6.04,6.2,0,EUR,A3M,spain
2009-10-22,6.14,6.18,5.93,6.12,0,EUR,A3M,spain
2009-10-23,6.19,6.27,6.04,6.12,0,EUR,A3M,spain
2009-10-26,6.14,6.2,5.88,5.89,0,EUR,A3M,spain
2009-10-27,5.89,6.07,5.59,5.72,0,EUR,A3M,spain
2009-10-28,5.67,5.72,5.28,5.36,0,EUR,A3M,spain
2009-10-29,5.29,6.29,5.29,6.23,0,EUR,A3M,spain
2009-10-30,6.03,6.37,5.77,5.85,0,EUR,A3M,spain
2009-11-02,5.87,5.97,5.82,5.87,0,EUR,A3M,spain
2009-11-03,5.84,5.9,5.5,5.8,0,EUR,A3M,spain
2009-11-04,5.83,6.15,5.79,6.03,0,EUR,A3M,spain
2009-11-05,5.93,6.25,5.82,6.09,0,EUR,A3M,spain
2009-11-06,6.04,6.15,5.99,6.12,0,EUR,A3M,spain
2009-11-09,6.12,6.14,5.92,6.01,0,EUR,A3M,spain
2009-11-10,6.03,6.03,5.77,5.81,0,EUR,A3M,spain
2009-11-11,5.84,6.12,5.82,6.05,0,EUR,A3M,spain
2009-11-12,6.05,6.13,5.98,6.05,0,EUR,A3M,spain
2009-11-13,5.99,6.17,5.94,6.06,0,EUR,A3M,spain
2009-11-16,6.08,6.13,6.07,6.11,0,EUR,A3M,spain
2009-11-17,6.15,6.21,6.11,6.15,0,EUR,A3M,spain
2009-11-18,6.19,6.49,6.19,6.38,0,EUR,A3M,spain
2009-11-19,6.45,6.51,6.15,6.21,0,EUR,A3M,spain
2009-11-20,6.26,6.27,6.07,6.08,0,EUR,A3M,spain
2009-11-23,6.09,6.21,6.09,6.15,0,EUR,A3M,spain
2009-11-24,6.15,6.16,6.03,6.1,0,EUR,A3M,spain
2009-11-25,6.16,6.22,6.07,6.08,0,EUR,A3M,spain
2009-11-26,6.09,6.12,5.91,5.99,0,EUR,A3M,spain
2009-11-27,5.82,6.04,5.82,5.99,0,EUR,A3M,spain
2009-11-30,6.06,6.06,5.8,5.84,0,EUR,A3M,spain
2009-12-01,5.91,6.08,5.84,6.05,0,EUR,A3M,spain
2009-12-02,6.03,6.21,5.95,6.17,0,EUR,A3M,spain
2009-12-03,6.32,6.47,6.3,6.37,0,EUR,A3M,spain
2009-12-04,6.31,6.36,6.17,6.24,0,EUR,A3M,spain
2009-12-07,6.21,6.33,6.2,6.3,0,EUR,A3M,spain
2009-12-08,6.29,6.32,6.19,6.26,0,EUR,A3M,spain
2009-12-09,6.42,6.6,6.31,6.4,0,EUR,A3M,spain
2009-12-10,6.32,6.46,6.28,6.45,0,EUR,A3M,spain
2009-12-11,6.48,7.1,6.46,6.84,0,EUR,A3M,spain
2009-12-14,7.07,7.08,6.78,6.95,0,EUR,A3M,spain
2009-12-15,7.04,7.39,6.98,7.38,0,EUR,A3M,spain
2009-12-16,7.31,7.51,7.22,7.5,0,EUR,A3M,spain
2009-12-17,7.78,8.14,7.76,7.82,0,EUR,A3M,spain
2009-12-18,7.78,8.13,7.64,7.93,0,EUR,A3M,spain
2009-12-21,7.83,7.94,7.49,7.56,0,EUR,A3M,spain
2009-12-22,7.59,7.65,7.52,7.63,0,EUR,A3M,spain
2009-12-23,7.6,7.77,7.6,7.72,0,EUR,A3M,spain
2009-12-28,7.74,7.95,7.73,7.78,0,EUR,A3M,spain
2009-12-29,7.78,8.11,7.76,8.02,0,EUR,A3M,spain
2009-12-30,7.99,8.04,7.69,7.76,0,EUR,A3M,spain
2010-01-04,7.85,7.99,7.82,7.92,0,EUR,A3M,spain
2010-01-05,7.99,8.27,7.96,8.25,0,EUR,A3M,spain
2010-01-06,8.23,8.27,8.13,8.21,0,EUR,A3M,spain
2010-01-07,8.23,8.32,8.02,8.24,0,EUR,A3M,spain
2010-01-08,8.37,8.72,8.31,8.63,0,EUR,A3M,spain
2010-01-11,8.64,8.72,8.47,8.55,0,EUR,A3M,spain
2010-01-12,8.55,8.63,8.29,8.48,0,EUR,A3M,spain
2010-01-13,8.54,8.91,8.48,8.82,0,EUR,A3M,spain
2010-01-14,8.84,8.84,8.57,8.71,0,EUR,A3M,spain
