Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-01-05,2.84,2.84,2.84,2.8,1,EUR,ABBO,spain
2012-01-09,2.75,2.75,2.75,2.75,2769,EUR,ABBO,spain
2012-01-10,2.75,2.75,2.75,2.75,3,EUR,ABBO,spain
2012-01-12,2.74,2.74,2.74,2.75,11,EUR,ABBO,spain
2012-01-16,2.74,2.74,2.74,2.75,20,EUR,ABBO,spain
2012-01-17,2.69,2.69,2.65,2.65,3750,EUR,ABBO,spain
2012-01-18,2.58,2.58,2.58,2.58,2060,EUR,ABBO,spain
2012-01-19,2.55,2.55,2.5,2.5,3950,EUR,ABBO,spain
2012-01-20,2.5,2.5,2.5,2.5,450,EUR,ABBO,spain
2012-01-23,2.55,2.55,2.51,2.51,6009,EUR,ABBO,spain
2012-01-26,2.62,2.62,2.62,2.51,25,EUR,ABBO,spain
2012-01-27,2.65,2.65,2.65,2.65,1910,EUR,ABBO,spain
2012-01-30,2.65,2.65,2.65,2.65,6984,EUR,ABBO,spain
2012-02-06,2.65,2.65,2.65,2.65,400,EUR,ABBO,spain
2012-02-07,2.64,2.64,2.64,2.65,5,EUR,ABBO,spain
2012-02-08,2.64,2.64,2.64,2.65,50,EUR,ABBO,spain
2012-02-09,2.63,2.63,2.63,2.63,945,EUR,ABBO,spain
2012-02-10,2.6,2.6,2.6,2.6,1970,EUR,ABBO,spain
2012-02-13,2.55,2.55,2.53,2.53,1729,EUR,ABBO,spain
2012-02-14,2.51,2.51,2.49,2.49,3195,EUR,ABBO,spain
2012-02-15,2.42,2.42,2.4,2.4,4810,EUR,ABBO,spain
2012-02-16,2.34,2.34,2.34,2.34,6310,EUR,ABBO,spain
2012-02-17,2.28,2.28,2.24,2.24,12510,EUR,ABBO,spain
2012-02-20,2.2,2.2,2.15,2.15,3780,EUR,ABBO,spain
2012-02-22,2.2,2.2,2.2,2.15,132,EUR,ABBO,spain
2012-02-27,2.25,2.3,2.25,2.3,14087,EUR,ABBO,spain
2012-02-28,2.36,2.36,2.36,2.3,30,EUR,ABBO,spain
2012-03-01,2.3,2.3,2.3,2.3,730,EUR,ABBO,spain
2012-03-02,2.36,2.36,2.36,2.36,562,EUR,ABBO,spain
2012-03-05,2.3,2.3,2.3,2.3,1200,EUR,ABBO,spain
2012-03-07,2.41,2.41,2.41,2.41,1010,EUR,ABBO,spain
2012-03-08,2.4,2.4,2.4,2.4,410,EUR,ABBO,spain
2012-03-14,2.4,2.4,2.4,2.4,50,EUR,ABBO,spain
2012-03-15,2.38,2.38,2.38,2.4,100,EUR,ABBO,spain
2012-03-16,2.49,2.49,2.4,2.4,14366,EUR,ABBO,spain
2012-03-19,2.49,2.49,2.49,2.49,500,EUR,ABBO,spain
2012-03-20,2.5,2.5,2.5,2.49,140,EUR,ABBO,spain
2012-03-22,2.47,2.47,2.47,2.47,2150,EUR,ABBO,spain
2012-03-23,2.56,2.56,2.56,2.56,600,EUR,ABBO,spain
2012-03-26,2.55,2.55,2.55,2.55,2000,EUR,ABBO,spain
2012-03-27,2.55,2.55,2.55,2.55,1950,EUR,ABBO,spain
2012-04-02,2.48,2.48,2.48,2.48,2020,EUR,ABBO,spain
2012-04-03,2.48,2.48,2.48,2.48,377,EUR,ABBO,spain
2012-04-05,2.44,2.44,2.44,2.44,1111,EUR,ABBO,spain
2012-04-13,2.42,2.42,2.42,2.42,600,EUR,ABBO,spain
2012-04-23,2.42,2.42,2.42,2.42,2070,EUR,ABBO,spain
