Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,12.98,13.04,12.97,12.97,0,EUR,ABG,spain
2009-02-12,13.08,13.08,12.4,12.4,0,EUR,ABG,spain
2009-02-13,12.8,12.93,12.72,12.72,0,EUR,ABG,spain
2009-02-16,12.59,12.8,12.56,12.56,0,EUR,ABG,spain
2009-02-17,12.43,12.67,11.9,11.9,0,EUR,ABG,spain
2009-02-18,12.12,12.21,11.85,11.85,0,EUR,ABG,spain
2009-02-19,12.1,12.13,11.91,12.13,0,EUR,ABG,spain
2009-02-20,11.85,11.91,11.61,11.61,0,EUR,ABG,spain
2009-02-25,10.73,10.84,10.49,10.49,0,EUR,ABG,spain
2009-02-26,10.63,11.1,10.63,11.1,0,EUR,ABG,spain
2009-02-27,10.81,10.81,10.25,10.25,0,EUR,ABG,spain
2009-03-06,9.08,9.08,8.61,8.61,0,EUR,ABG,spain
2009-03-09,8.81,8.81,8.66,8.66,0,EUR,ABG,spain
2009-03-10,8.74,9.35,8.74,9.35,0,EUR,ABG,spain
2009-03-11,9.28,9.71,9.15,9.71,0,EUR,ABG,spain
2009-03-12,9.46,9.79,9.45,9.79,0,EUR,ABG,spain
2009-03-13,9.86,10.0,9.5,9.5,0,EUR,ABG,spain
2009-03-16,9.8,9.8,9.55,9.55,0,EUR,ABG,spain
2009-03-17,9.56,9.88,9.56,9.88,0,EUR,ABG,spain
2009-03-18,9.81,10.0,9.67,9.67,0,EUR,ABG,spain
2009-03-19,9.88,10.02,9.76,10.02,0,EUR,ABG,spain
2009-03-20,9.8,9.8,9.5,9.5,0,EUR,ABG,spain
2009-04-01,10.02,10.33,10.02,10.33,0,EUR,ABG,spain
2009-04-02,10.36,10.99,10.36,10.99,0,EUR,ABG,spain
2009-04-03,10.78,11.59,10.68,11.59,0,EUR,ABG,spain
2009-04-06,11.81,12.63,11.73,11.73,0,EUR,ABG,spain
2009-04-07,12.01,12.01,11.5,11.5,0,EUR,ABG,spain
2009-04-08,11.55,11.61,11.06,11.06,0,EUR,ABG,spain
