Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2009-02-11,10.23,10.28,10.19,10.28,0,EUR,ACX,spain
2009-02-12,10.18,10.25,9.95,9.95,0,EUR,ACX,spain
2009-02-13,10.1,10.4,10.1,10.4,0,EUR,ACX,spain
2009-02-16,10.1,10.19,9.95,9.95,0,EUR,ACX,spain
2009-02-17,9.95,9.95,9.5,9.5,0,EUR,ACX,spain
2009-02-18,9.56,9.77,9.3,9.3,0,EUR,ACX,spain
2009-02-19,9.52,9.55,9.23,9.23,0,EUR,ACX,spain
2009-02-20,9.2,9.23,8.77,8.77,0,EUR,ACX,spain
2009-02-25,8.91,9.08,8.51,8.51,0,EUR,ACX,spain
2009-02-26,8.64,9.37,8.58,9.37,0,EUR,ACX,spain
2009-02-27,8.94,9.15,8.79,9.15,0,EUR,ACX,spain
2009-03-06,8.33,8.59,8.21,8.59,0,EUR,ACX,spain
2009-03-09,8.42,8.46,8.29,8.29,0,EUR,ACX,spain
2009-03-10,8.2,8.95,8.2,8.95,0,EUR,ACX,spain
2009-03-11,8.87,9.22,8.81,9.22,0,EUR,ACX,spain
2009-03-12,8.9,9.14,8.72,9.14,0,EUR,ACX,spain
2009-03-13,9.16,9.24,8.43,8.43,0,EUR,ACX,spain
2009-03-16,8.66,8.69,8.53,8.53,0,EUR,ACX,spain
2009-03-17,8.5,8.59,8.1,8.59,0,EUR,ACX,spain
2009-03-18,8.57,8.71,8.43,8.43,0,EUR,ACX,spain
2009-03-19,8.64,8.86,8.3,8.86,0,EUR,ACX,spain
2009-03-20,8.6,9.23,8.6,9.23,0,EUR,ACX,spain
2009-04-01,8.7,9.03,8.7,9.03,0,EUR,ACX,spain
2009-04-02,9.04,9.61,9.03,9.61,0,EUR,ACX,spain
2009-04-03,9.38,10.33,9.37,10.33,0,EUR,ACX,spain
2009-04-06,10.25,10.34,9.81,9.81,0,EUR,ACX,spain
2009-04-07,10.1,10.24,9.72,9.72,0,EUR,ACX,spain
2009-04-08,9.66,10.38,9.62,10.38,0,EUR,ACX,spain
2009-04-09,10.48,10.97,10.38,10.97,0,EUR,ACX,spain
2009-04-16,11.16,11.28,10.85,10.85,0,EUR,ACX,spain
2009-04-17,11.06,11.35,11.01,11.35,0,EUR,ACX,spain
2009-04-20,11.21,11.3,10.67,10.67,0,EUR,ACX,spain
2009-04-21,10.96,11.07,10.57,10.57,0,EUR,ACX,spain
2009-04-22,10.96,11.24,10.76,11.24,0,EUR,ACX,spain
2009-04-23,10.96,11.36,10.86,11.36,0,EUR,ACX,spain
2009-04-24,11.18,11.37,11.16,11.37,0,EUR,ACX,spain
2009-04-27,11.21,11.44,11.2,11.44,0,EUR,ACX,spain
2009-04-28,11.11,11.26,10.87,11.26,0,EUR,ACX,spain
2009-04-29,11.3,11.81,11.12,11.81,0,EUR,ACX,spain
2009-04-30,11.54,11.74,11.45,11.74,0,EUR,ACX,spain
2009-05-05,11.65,12.07,11.52,12.07,0,EUR,ACX,spain
2009-05-06,11.9,12.2,11.7,12.2,0,EUR,ACX,spain
2009-05-07,11.98,12.41,11.76,11.76,0,EUR,ACX,spain
2009-05-08,12.25,12.3,11.9,11.9,0,EUR,ACX,spain
2009-05-14,11.71,11.81,11.6,11.81,0,EUR,ACX,spain
2009-05-15,11.71,11.83,11.56,11.56,0,EUR,ACX,spain
2009-05-18,11.52,11.91,11.5,11.91,0,EUR,ACX,spain
2009-05-19,11.82,12.41,11.82,12.41,0,EUR,ACX,spain
2009-05-20,12.5,12.74,12.28,12.74,0,EUR,ACX,spain
2009-05-21,12.45,12.49,11.95,11.95,0,EUR,ACX,spain
