Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-01-27,2.3,2.3,2.3,2.3,200,EUR,ADLB,spain
2012-02-02,2.3,2.3,2.3,2.3,1300,EUR,ADLB,spain
2012-02-03,2.35,2.35,2.35,2.35,1304,EUR,ADLB,spain
2012-02-08,2.35,2.35,2.35,2.35,50,EUR,ADLB,spain
2012-02-09,2.35,2.35,2.35,2.35,468,EUR,ADLB,spain
2012-03-14,2.35,2.35,2.35,2.35,500,EUR,ADLB,spain
2012-03-21,2.35,2.35,2.35,2.35,500,EUR,ADLB,spain
2012-03-23,2.35,2.35,2.35,2.35,500,EUR,ADLB,spain
2012-03-26,2.35,2.35,2.35,2.35,1100,EUR,ADLB,spain
2012-03-27,2.35,2.35,2.35,2.35,1122,EUR,ADLB,spain
2012-04-04,2.35,2.35,2.35,2.35,500,EUR,ADLB,spain
2012-04-10,2.32,2.32,2.32,2.32,3111,EUR,ADLB,spain
2012-05-15,2.4,2.4,2.4,2.32,86,EUR,ADLB,spain
2012-05-21,2.32,2.32,2.32,2.32,4666,EUR,ADLB,spain
2012-05-31,2.29,2.29,2.29,2.29,2190,EUR,ADLB,spain
2012-06-06,2.29,2.29,2.29,2.29,921,EUR,ADLB,spain
2012-06-22,2.29,2.29,2.29,2.29,2000,EUR,ADLB,spain
2012-06-29,2.29,2.29,2.29,2.29,1,EUR,ADLB,spain
2012-07-09,2.22,2.22,2.22,2.22,1000,EUR,ADLB,spain
2012-07-10,2.22,2.22,2.18,2.18,2280,EUR,ADLB,spain
2012-07-11,2.14,2.14,2.14,2.14,2340,EUR,ADLB,spain
2012-07-12,2.1,2.1,2.1,2.1,2370,EUR,ADLB,spain
2012-07-13,2.14,2.14,2.14,2.14,2340,EUR,ADLB,spain
2012-07-16,2.14,2.14,2.14,2.14,2340,EUR,ADLB,spain
2012-07-17,2.14,2.14,2.14,2.14,2370,EUR,ADLB,spain
2012-07-18,2.14,2.14,2.14,2.14,2400,EUR,ADLB,spain
2012-07-19,2.14,2.14,2.14,2.14,338,EUR,ADLB,spain
2012-07-23,2.24,2.24,2.24,2.14,95,EUR,ADLB,spain
2012-07-31,2.14,2.14,2.14,2.14,6666,EUR,ADLB,spain
2012-09-06,2.23,2.23,2.23,2.23,300,EUR,ADLB,spain
2012-09-10,2.25,2.25,2.25,2.25,300,EUR,ADLB,spain
