Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-07,1.11,1.14,1.1,1.1,13955,EUR,ADXR,spain
2010-10-08,1.1,1.12,1.09,1.1,36174,EUR,ADXR,spain
2010-10-11,1.09,1.12,1.08,1.11,13319,EUR,ADXR,spain
2010-10-12,1.08,1.1,1.08,1.1,17299,EUR,ADXR,spain
2010-10-13,1.08,1.14,1.08,1.14,34546,EUR,ADXR,spain
2010-10-14,1.11,1.18,1.11,1.17,98808,EUR,ADXR,spain
2010-10-15,1.17,1.17,1.15,1.15,55968,EUR,ADXR,spain
2010-10-18,1.11,1.19,1.11,1.18,38306,EUR,ADXR,spain
2010-10-19,1.13,1.18,1.13,1.16,35349,EUR,ADXR,spain
2010-10-20,1.17,1.17,1.14,1.16,26620,EUR,ADXR,spain
2010-10-21,1.18,1.18,1.13,1.17,60670,EUR,ADXR,spain
2010-10-22,1.17,1.17,1.14,1.17,24537,EUR,ADXR,spain
2010-10-25,1.15,1.17,1.15,1.17,27152,EUR,ADXR,spain
2010-10-26,1.16,1.2,1.16,1.19,122291,EUR,ADXR,spain
2010-10-27,1.2,1.25,1.17,1.19,126773,EUR,ADXR,spain
2010-10-28,1.2,1.24,1.2,1.23,55137,EUR,ADXR,spain
2010-10-29,1.23,1.23,1.19,1.2,43238,EUR,ADXR,spain
2010-11-01,1.17,1.22,1.16,1.16,13473,EUR,ADXR,spain
2010-11-02,1.19,1.21,1.18,1.21,20015,EUR,ADXR,spain
2010-11-03,1.21,1.22,1.16,1.2,20860,EUR,ADXR,spain
2010-11-04,1.2,1.21,1.15,1.18,73987,EUR,ADXR,spain
2010-11-05,1.16,1.2,1.14,1.18,52855,EUR,ADXR,spain
2010-11-08,1.18,1.18,1.14,1.17,21002,EUR,ADXR,spain
2010-11-09,1.17,1.17,1.12,1.16,25841,EUR,ADXR,spain
2010-11-10,1.16,1.16,1.11,1.11,30191,EUR,ADXR,spain
2010-11-11,1.11,1.14,1.1,1.12,61552,EUR,ADXR,spain
2010-11-12,1.12,1.14,1.09,1.12,45731,EUR,ADXR,spain
2010-11-15,1.13,1.13,1.07,1.1,60611,EUR,ADXR,spain
2010-11-16,1.09,1.11,1.06,1.08,157539,EUR,ADXR,spain
2010-11-17,1.08,1.15,1.08,1.11,112080,EUR,ADXR,spain
2010-11-18,1.14,1.14,1.09,1.11,91945,EUR,ADXR,spain
2010-11-19,1.1,1.14,1.07,1.13,87152,EUR,ADXR,spain
2010-11-22,1.13,1.14,1.1,1.14,61523,EUR,ADXR,spain
2010-11-23,1.14,1.16,1.1,1.16,120198,EUR,ADXR,spain
2010-11-24,1.16,1.16,1.13,1.16,23094,EUR,ADXR,spain
