Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-15,9.25,9.26,9.25,9.23,381,EUR,ADZ,spain
2010-11-16,9.26,9.26,9.03,9.03,1411,EUR,ADZ,spain
2010-11-17,9.03,9.31,9.01,9.31,1544,EUR,ADZ,spain
2010-11-18,8.77,9.21,8.77,9.1,4938,EUR,ADZ,spain
2010-11-19,9.1,9.2,8.91,8.91,1183,EUR,ADZ,spain
2010-11-22,8.91,9.0,8.76,8.76,2439,EUR,ADZ,spain
2010-11-23,8.75,9.25,8.75,9.0,2786,EUR,ADZ,spain
2010-11-24,9.13,9.45,8.75,9.45,4848,EUR,ADZ,spain
2010-11-25,8.84,9.1,8.84,9.1,1766,EUR,ADZ,spain
2010-11-26,8.81,9.24,8.7,8.92,5536,EUR,ADZ,spain
2010-11-29,8.85,9.16,8.51,8.8,4270,EUR,ADZ,spain
2010-11-30,8.49,8.8,8.4,8.4,3343,EUR,ADZ,spain
2010-12-01,8.21,8.67,8.21,8.35,3281,EUR,ADZ,spain
2010-12-02,8.83,8.83,8.31,8.5,5399,EUR,ADZ,spain
2010-12-03,8.42,8.52,8.26,8.26,4668,EUR,ADZ,spain
2010-12-06,8.8,8.8,8.2,8.32,1946,EUR,ADZ,spain
2010-12-07,8.24,8.59,8.24,8.3,805,EUR,ADZ,spain
2010-12-08,8.28,8.28,8.28,8.28,800,EUR,ADZ,spain
2010-12-09,8.48,8.68,8.31,8.6,4828,EUR,ADZ,spain
2010-12-10,8.37,8.51,8.37,8.51,1247,EUR,ADZ,spain
2010-12-13,8.51,8.8,8.44,8.58,6962,EUR,ADZ,spain
2010-12-14,8.5,8.79,8.5,8.73,4393,EUR,ADZ,spain
2010-12-15,8.71,8.71,8.56,8.6,728,EUR,ADZ,spain
2010-12-16,8.6,8.7,8.53,8.53,4584,EUR,ADZ,spain
2010-12-17,8.59,8.78,8.53,8.78,3273,EUR,ADZ,spain
2010-12-20,8.78,8.78,8.28,8.59,3036,EUR,ADZ,spain
2010-12-21,8.45,8.59,8.27,8.48,3812,EUR,ADZ,spain
2010-12-22,8.48,8.58,8.45,8.45,1711,EUR,ADZ,spain
2010-12-23,8.5,8.68,8.5,8.56,7885,EUR,ADZ,spain
2010-12-27,8.4,8.52,8.4,8.42,9355,EUR,ADZ,spain
2010-12-28,8.25,8.51,8.25,8.48,3025,EUR,ADZ,spain
2010-12-29,8.5,8.51,8.31,8.51,4361,EUR,ADZ,spain
2010-12-30,8.36,8.5,8.25,8.37,11509,EUR,ADZ,spain
2011-01-03,8.4,8.5,8.26,8.26,6062,EUR,ADZ,spain
2011-01-04,8.26,8.29,8.2,8.2,4002,EUR,ADZ,spain
2011-01-05,8.2,8.2,7.78,8.01,872,EUR,ADZ,spain
2011-01-06,7.81,8.3,7.81,8.25,589,EUR,ADZ,spain
2011-01-07,7.84,8.2,7.84,8.15,826,EUR,ADZ,spain
2011-01-10,7.92,8.12,7.92,7.96,1995,EUR,ADZ,spain
2011-01-11,7.96,7.99,7.85,7.99,687,EUR,ADZ,spain
2011-01-12,7.84,8.15,7.84,8.05,1214,EUR,ADZ,spain
2011-01-13,7.98,8.15,7.83,8.1,1819,EUR,ADZ,spain
