Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-02-12,69.75,73.7,69.2,70.0,3978880,EUR,AENA,spain
2015-02-13,70.5,74.0,69.21,74.0,1538493,EUR,AENA,spain
2015-02-16,72.0,73.5,70.44,72.5,626249,EUR,AENA,spain
2015-02-17,73.07,75.27,72.2,74.9,1359790,EUR,AENA,spain
2015-02-18,75.4,77.5,75.05,76.87,984992,EUR,AENA,spain
2015-02-19,76.54,77.15,75.08,77.15,667335,EUR,AENA,spain
2015-02-20,76.5,78.0,76.19,78.0,375041,EUR,AENA,spain
2015-02-23,77.78,79.45,77.77,77.77,465583,EUR,AENA,spain
2015-02-24,78.5,78.61,75.6,77.5,701988,EUR,AENA,spain
2015-02-25,78.11,78.28,76.5,78.13,863773,EUR,AENA,spain
2015-02-26,77.26,80.75,76.14,80.64,660647,EUR,AENA,spain
2015-02-27,80.9,83.68,80.64,83.06,5844231,EUR,AENA,spain
2015-03-02,83.0,83.5,82.24,82.5,525402,EUR,AENA,spain
2015-03-03,82.65,82.9,81.51,82.0,667054,EUR,AENA,spain
2015-03-04,82.57,83.6,81.62,83.48,256050,EUR,AENA,spain
2015-03-05,83.89,85.98,82.88,84.61,628394,EUR,AENA,spain
2015-03-06,84.8,85.1,83.5,84.9,491783,EUR,AENA,spain
2015-03-09,84.7,85.1,83.7,85.05,311251,EUR,AENA,spain
2015-03-10,84.56,85.0,82.15,83.0,635914,EUR,AENA,spain
2015-03-11,82.05,82.61,79.1,80.44,1220779,EUR,AENA,spain
2015-03-12,80.5,81.66,78.61,81.3,1008922,EUR,AENA,spain
2015-03-13,81.85,83.0,81.15,81.5,313319,EUR,AENA,spain
2015-03-16,82.12,82.12,80.2,80.5,254159,EUR,AENA,spain
2015-03-17,80.31,80.89,79.5,80.0,313011,EUR,AENA,spain
2015-03-18,79.65,80.05,79.0,79.94,427700,EUR,AENA,spain
2015-03-19,79.95,80.0,78.51,79.1,315765,EUR,AENA,spain
2015-03-20,79.61,80.95,79.26,80.25,718826,EUR,AENA,spain
2015-03-23,80.5,82.0,80.3,80.8,89020,EUR,AENA,spain
2015-03-24,80.98,82.95,80.26,81.95,396547,EUR,AENA,spain
2015-03-25,81.68,82.68,80.35,80.35,836227,EUR,AENA,spain
2015-03-26,80.19,80.98,79.65,80.66,507307,EUR,AENA,spain
2015-03-27,81.6,84.5,80.7,84.0,814338,EUR,AENA,spain
2015-03-30,84.25,89.7,84.25,89.5,633958,EUR,AENA,spain
2015-03-31,89.5,93.88,89.41,93.51,815108,EUR,AENA,spain
2015-04-01,93.5,98.3,92.51,97.49,668166,EUR,AENA,spain
2015-04-02,98.0,104.2,98.0,99.6,551833,EUR,AENA,spain
2015-04-07,99.9,100.0,96.95,97.95,252690,EUR,AENA,spain
2015-04-08,97.97,98.4,93.1,94.9,566136,EUR,AENA,spain
2015-04-09,95.1,95.95,93.9,94.5,918398,EUR,AENA,spain
2015-04-10,95.5,99.42,94.6,99.42,516120,EUR,AENA,spain
2015-04-13,98.19,99.28,97.8,98.5,678232,EUR,AENA,spain
2015-04-14,97.0,97.24,91.0,92.61,1468249,EUR,AENA,spain
2015-04-15,92.5,92.97,90.31,90.37,585780,EUR,AENA,spain
2015-04-16,90.8,91.0,89.01,90.2,321756,EUR,AENA,spain
2015-04-17,90.15,90.95,88.2,90.5,389345,EUR,AENA,spain
2015-04-20,90.9,91.9,88.0,88.5,248050,EUR,AENA,spain
2015-04-21,89.38,90.49,88.3,89.7,339101,EUR,AENA,spain
2015-04-22,89.49,89.65,87.0,88.5,202698,EUR,AENA,spain
2015-04-23,88.5,88.56,86.03,86.65,438287,EUR,AENA,spain
2015-04-24,87.24,87.24,85.8,86.1,245331,EUR,AENA,spain
2015-04-27,86.44,89.83,86.2,88.95,412683,EUR,AENA,spain
2015-04-28,88.5,89.93,86.05,86.8,548181,EUR,AENA,spain
2015-04-29,88.2,88.48,80.75,82.55,890380,EUR,AENA,spain
2015-04-30,83.49,84.76,82.75,83.91,397016,EUR,AENA,spain
2015-05-04,85.46,88.9,85.16,88.52,551743,EUR,AENA,spain
2015-05-05,88.31,89.15,85.9,86.45,537823,EUR,AENA,spain
2015-05-06,87.0,88.62,85.02,86.97,502072,EUR,AENA,spain
2015-05-07,86.75,88.49,80.66,85.76,576792,EUR,AENA,spain
2015-05-08,87.2,87.85,85.4,87.5,325739,EUR,AENA,spain
2015-05-11,87.71,90.0,87.05,88.35,347031,EUR,AENA,spain
2015-05-12,88.0,89.01,87.8,88.6,393119,EUR,AENA,spain
2015-05-13,89.0,89.89,88.36,89.16,235041,EUR,AENA,spain
2015-05-14,90.1,94.4,90.0,93.76,425085,EUR,AENA,spain
2015-05-15,93.76,94.8,93.15,94.3,272345,EUR,AENA,spain
2015-05-18,94.88,95.65,93.46,94.7,362333,EUR,AENA,spain
2015-05-19,95.0,95.98,94.16,94.35,419129,EUR,AENA,spain
2015-05-20,94.77,95.84,92.21,93.28,499069,EUR,AENA,spain
2015-05-21,93.28,95.0,92.4,93.3,383594,EUR,AENA,spain
2015-05-22,93.26,94.45,92.25,92.25,308304,EUR,AENA,spain
2015-05-25,93.15,93.15,90.0,90.3,257446,EUR,AENA,spain
2015-05-26,90.75,93.89,89.55,91.51,582153,EUR,AENA,spain
2015-05-27,91.31,94.98,90.65,94.79,626015,EUR,AENA,spain
2015-05-28,95.0,97.0,94.15,96.75,331588,EUR,AENA,spain
2015-05-29,96.0,96.45,92.7,95.4,1028852,EUR,AENA,spain
2015-06-01,95.55,95.76,93.1,95.4,283031,EUR,AENA,spain
2015-06-02,95.26,95.26,93.74,94.0,353027,EUR,AENA,spain
2015-06-03,94.78,96.0,94.25,95.27,411653,EUR,AENA,spain
2015-06-04,94.09,95.15,93.6,94.36,254041,EUR,AENA,spain
2015-06-05,94.23,95.95,93.53,94.21,229027,EUR,AENA,spain
2015-06-08,93.5,95.29,92.85,93.98,182061,EUR,AENA,spain
2015-06-09,93.57,95.8,93.41,95.02,548678,EUR,AENA,spain
2015-06-10,94.0,96.81,94.0,95.49,346171,EUR,AENA,spain
2015-06-11,95.85,97.2,95.18,95.9,335809,EUR,AENA,spain
2015-06-12,95.4,96.19,94.4,94.69,213480,EUR,AENA,spain
2015-06-15,93.87,94.8,93.15,93.15,343522,EUR,AENA,spain
2015-06-16,92.8,96.0,92.7,95.75,430362,EUR,AENA,spain
2015-06-17,96.05,96.05,93.65,93.77,224822,EUR,AENA,spain
2015-06-18,93.4,93.4,91.81,92.35,445483,EUR,AENA,spain
2015-06-19,92.01,95.89,92.01,94.75,4167540,EUR,AENA,spain
2015-06-22,96.0,96.88,95.46,95.9,460003,EUR,AENA,spain
2015-06-23,96.27,96.73,94.92,95.55,402639,EUR,AENA,spain
2015-06-24,95.6,95.68,94.1,95.25,370111,EUR,AENA,spain
2015-06-25,93.75,94.03,92.69,93.1,436697,EUR,AENA,spain
2015-06-26,92.36,94.7,92.15,94.4,421990,EUR,AENA,spain
2015-06-29,90.2,93.4,88.0,92.5,663861,EUR,AENA,spain
2015-06-30,92.4,95.5,91.56,93.74,836511,EUR,AENA,spain
2015-07-01,93.95,94.94,92.52,93.05,767693,EUR,AENA,spain
2015-07-02,93.26,93.32,90.08,90.78,739548,EUR,AENA,spain
2015-07-03,91.65,95.0,91.65,94.09,409238,EUR,AENA,spain
2015-07-06,92.43,95.5,91.61,94.5,345652,EUR,AENA,spain
2015-07-07,94.5,94.99,91.85,92.24,373114,EUR,AENA,spain
2015-07-08,92.51,94.22,91.55,93.76,639770,EUR,AENA,spain
2015-07-09,94.0,95.05,93.68,94.05,470850,EUR,AENA,spain
2015-07-10,95.7,96.68,95.27,95.7,512307,EUR,AENA,spain
2015-07-13,96.73,98.56,96.21,98.17,253620,EUR,AENA,spain
2015-07-14,98.74,99.3,97.84,98.92,342154,EUR,AENA,spain
2015-07-15,99.15,101.5,99.0,100.35,565163,EUR,AENA,spain
2015-07-16,101.15,101.45,99.43,99.8,269490,EUR,AENA,spain
2015-07-17,100.25,100.25,98.8,99.23,336992,EUR,AENA,spain
2015-07-20,98.9,99.48,97.71,98.4,210681,EUR,AENA,spain
2015-07-21,98.72,99.48,97.66,98.0,2316415,EUR,AENA,spain
2015-07-22,97.78,99.5,97.5,98.0,403916,EUR,AENA,spain
