Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2015-11-24,1.786,1.796,1.786,1.796,20998,EUR,AGIL,spain
2015-11-25,1.786,1.796,1.786,1.796,14819,EUR,AGIL,spain
2015-11-26,1.776,1.845,1.776,1.845,4180,EUR,AGIL,spain
2015-11-27,1.875,1.875,1.825,1.825,4611,EUR,AGIL,spain
2015-11-30,1.796,1.796,1.796,1.796,2706,EUR,AGIL,spain
2015-12-02,1.776,1.855,1.776,1.855,4324,EUR,AGIL,spain
2015-12-03,1.806,1.806,1.806,1.806,5296,EUR,AGIL,spain
2015-12-04,1.806,1.815,1.806,1.815,5532,EUR,AGIL,spain
2015-12-07,1.815,1.815,1.815,1.815,3410,EUR,AGIL,spain
2015-12-08,1.815,1.815,1.815,1.815,2790,EUR,AGIL,spain
2015-12-09,1.815,1.825,1.815,1.825,5487,EUR,AGIL,spain
2015-12-10,1.806,1.815,1.806,1.815,5487,EUR,AGIL,spain
2015-12-11,1.796,1.815,1.796,1.815,5487,EUR,AGIL,spain
2015-12-14,1.815,1.815,1.815,1.815,5487,EUR,AGIL,spain
2015-12-15,1.825,1.825,1.825,1.825,2268,EUR,AGIL,spain
2015-12-16,1.806,1.815,1.806,1.815,5704,EUR,AGIL,spain
2015-12-17,1.806,1.806,1.796,1.796,5684,EUR,AGIL,spain
2015-12-18,1.806,1.806,1.806,1.806,5012,EUR,AGIL,spain
2015-12-21,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2015-12-22,1.796,1.796,1.786,1.786,10500,EUR,AGIL,spain
2015-12-23,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2015-12-24,1.796,1.796,1.796,1.796,2743,EUR,AGIL,spain
2015-12-28,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2015-12-29,1.806,1.806,1.786,1.786,5487,EUR,AGIL,spain
2015-12-30,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2015-12-31,1.796,1.796,1.796,1.796,2743,EUR,AGIL,spain
2016-01-04,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2016-01-05,1.806,1.815,1.806,1.815,5487,EUR,AGIL,spain
2016-01-06,1.806,1.806,1.806,1.806,2743,EUR,AGIL,spain
2016-01-07,1.806,1.806,1.806,1.806,5487,EUR,AGIL,spain
2016-01-08,1.806,1.806,1.806,1.806,5487,EUR,AGIL,spain
2016-01-11,1.806,1.806,1.806,1.806,5487,EUR,AGIL,spain
2016-01-12,1.806,1.806,1.806,1.806,5487,EUR,AGIL,spain
2016-01-13,1.776,1.776,1.776,1.776,5487,EUR,AGIL,spain
2016-01-14,1.815,1.815,1.806,1.806,5487,EUR,AGIL,spain
2016-01-15,1.815,1.815,1.806,1.806,5487,EUR,AGIL,spain
2016-01-18,1.796,1.796,1.786,1.786,5487,EUR,AGIL,spain
2016-01-19,1.806,1.806,1.796,1.796,5487,EUR,AGIL,spain
2016-01-20,1.786,1.786,1.776,1.776,5487,EUR,AGIL,spain
2016-01-21,1.786,1.796,1.786,1.796,5487,EUR,AGIL,spain
2016-01-22,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2016-01-25,1.806,1.806,1.806,1.806,5487,EUR,AGIL,spain
2016-01-26,1.806,1.825,1.806,1.825,5487,EUR,AGIL,spain
2016-01-27,1.786,1.806,1.786,1.806,5543,EUR,AGIL,spain
2016-01-28,1.825,1.825,1.825,1.825,5487,EUR,AGIL,spain
2016-01-29,1.806,1.806,1.786,1.786,5544,EUR,AGIL,spain
2016-02-01,1.786,1.786,1.786,1.786,5487,EUR,AGIL,spain
2016-02-02,1.786,1.786,1.786,1.786,2743,EUR,AGIL,spain
2016-02-03,1.796,1.796,1.796,1.796,5487,EUR,AGIL,spain
2016-02-04,1.786,1.786,1.786,1.786,5487,EUR,AGIL,spain
2016-02-05,1.786,1.786,1.786,1.786,5487,EUR,AGIL,spain
2016-02-08,1.766,1.766,1.766,1.766,5487,EUR,AGIL,spain
2016-02-09,1.746,1.746,1.726,1.726,5487,EUR,AGIL,spain
2016-02-10,1.726,1.726,1.726,1.726,7307,EUR,AGIL,spain
2016-02-11,1.696,1.696,1.696,1.696,5586,EUR,AGIL,spain
2016-02-12,1.696,1.696,1.696,1.696,5638,EUR,AGIL,spain
2016-02-15,1.766,1.766,1.756,1.756,5851,EUR,AGIL,spain
2016-02-16,1.696,1.776,1.696,1.776,5568,EUR,AGIL,spain
2016-02-17,1.815,1.815,1.815,1.815,5487,EUR,AGIL,spain
2016-02-18,1.825,1.825,1.825,1.825,5644,EUR,AGIL,spain
2016-02-19,1.825,1.825,1.825,1.825,5633,EUR,AGIL,spain
2016-02-22,1.825,1.825,1.825,1.825,5487,EUR,AGIL,spain
2016-02-23,1.825,1.825,1.825,1.825,5487,EUR,AGIL,spain
2016-02-24,1.736,1.736,1.656,1.656,11515,EUR,AGIL,spain
