Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-10-27,1.82,1.82,1.82,1.82,1335,EUR,AI,spain
2010-10-28,1.77,1.82,1.77,1.82,829,EUR,AI,spain
2010-10-29,1.77,1.81,1.73,1.81,5516,EUR,AI,spain
2010-11-01,1.81,1.82,1.81,1.82,2550,EUR,AI,spain
2010-11-02,1.8,1.83,1.8,1.83,7250,EUR,AI,spain
2010-11-03,1.83,1.84,1.78,1.78,9843,EUR,AI,spain
2010-11-04,1.81,1.84,1.74,1.82,8593,EUR,AI,spain
2010-11-05,1.84,1.84,1.82,1.84,6255,EUR,AI,spain
2010-11-08,1.82,1.84,1.74,1.83,8826,EUR,AI,spain
2010-11-09,1.82,1.83,1.82,1.83,2693,EUR,AI,spain
2010-11-10,1.84,1.84,1.75,1.83,21726,EUR,AI,spain
2010-11-11,1.8,1.83,1.8,1.83,6913,EUR,AI,spain
2010-11-12,1.8,1.82,1.77,1.82,11003,EUR,AI,spain
2010-11-15,1.8,1.84,1.8,1.84,7369,EUR,AI,spain
2010-11-16,1.83,1.84,1.75,1.84,19448,EUR,AI,spain
2010-11-17,1.8,1.81,1.8,1.8,3603,EUR,AI,spain
2010-11-18,1.82,1.96,1.82,1.85,25560,EUR,AI,spain
2010-11-19,1.86,1.86,1.83,1.83,8760,EUR,AI,spain
2010-11-22,1.85,1.85,1.8,1.83,8150,EUR,AI,spain
2010-11-23,1.85,1.85,1.77,1.84,6600,EUR,AI,spain
2010-11-24,1.83,1.84,1.75,1.83,7635,EUR,AI,spain
2010-11-25,1.83,1.83,1.83,1.83,6250,EUR,AI,spain
2010-11-26,1.83,1.83,1.83,1.83,8599,EUR,AI,spain
2010-11-29,1.83,1.85,1.83,1.83,8540,EUR,AI,spain
2010-11-30,1.84,1.84,1.74,1.74,11383,EUR,AI,spain
2010-12-01,1.75,1.76,1.74,1.76,4723,EUR,AI,spain
2010-12-02,1.83,1.83,1.75,1.75,6826,EUR,AI,spain
2010-12-03,1.82,1.82,1.67,1.78,6696,EUR,AI,spain
2010-12-06,1.75,1.8,1.75,1.8,1542,EUR,AI,spain
2010-12-07,1.81,1.81,1.81,1.8,100,EUR,AI,spain
2010-12-08,1.74,1.8,1.69,1.8,5778,EUR,AI,spain
2010-12-09,1.8,1.82,1.71,1.79,4966,EUR,AI,spain
2010-12-10,1.72,1.78,1.72,1.77,4163,EUR,AI,spain
2010-12-13,1.75,1.79,1.65,1.72,7709,EUR,AI,spain
2010-12-14,1.72,1.72,1.72,1.72,3100,EUR,AI,spain
2010-12-15,1.77,1.77,1.68,1.7,9189,EUR,AI,spain
2010-12-16,1.8,1.8,1.71,1.74,3261,EUR,AI,spain
2010-12-17,1.8,1.8,1.7,1.7,6978,EUR,AI,spain
2010-12-20,1.64,1.71,1.64,1.71,3217,EUR,AI,spain
2010-12-21,1.8,1.8,1.71,1.77,7847,EUR,AI,spain
2010-12-22,1.77,1.77,1.71,1.72,3561,EUR,AI,spain
2010-12-23,1.72,1.76,1.72,1.72,368,EUR,AI,spain
2010-12-27,1.72,1.77,1.7,1.75,12359,EUR,AI,spain
2010-12-28,1.73,1.75,1.71,1.71,1087,EUR,AI,spain
2010-12-29,1.7,1.77,1.7,1.77,2444,EUR,AI,spain
2010-12-30,1.77,1.77,1.72,1.72,8848,EUR,AI,spain
2011-01-03,1.7,1.72,1.67,1.67,12921,EUR,AI,spain
2011-01-04,1.67,1.67,1.67,1.67,0,EUR,AI,spain
2011-01-05,1.71,1.71,1.71,1.71,1300,EUR,AI,spain
2011-01-06,1.71,1.71,1.71,1.71,0,EUR,AI,spain
2011-01-07,1.71,1.71,1.71,1.71,0,EUR,AI,spain
2011-01-10,1.71,1.71,1.71,1.71,3561,EUR,AI,spain
2011-01-11,1.64,1.74,1.64,1.74,4492,EUR,AI,spain
2011-01-12,1.66,1.72,1.6,1.72,5244,EUR,AI,spain
2011-01-13,1.72,1.72,1.72,1.72,0,EUR,AI,spain
2011-01-14,1.72,1.72,1.72,1.72,0,EUR,AI,spain
2011-01-17,1.72,1.72,1.72,1.72,725,EUR,AI,spain
2011-01-18,1.68,1.72,1.66,1.67,2240,EUR,AI,spain
2011-01-19,1.66,1.71,1.66,1.71,1671,EUR,AI,spain
2011-01-20,1.66,1.71,1.65,1.71,1451,EUR,AI,spain
2011-01-21,1.66,1.72,1.66,1.71,1290,EUR,AI,spain
2011-01-24,1.67,1.72,1.66,1.67,2698,EUR,AI,spain
2011-01-25,1.72,1.72,1.71,1.72,735,EUR,AI,spain
2011-01-26,1.72,1.72,1.72,1.72,0,EUR,AI,spain
2011-01-27,1.72,1.75,1.67,1.75,12353,EUR,AI,spain
2011-01-28,1.67,1.77,1.67,1.77,54206,EUR,AI,spain
2011-01-31,1.77,1.8,1.77,1.8,645,EUR,AI,spain
2011-02-01,1.72,1.85,1.72,1.85,15254,EUR,AI,spain
2011-02-02,1.9,1.9,1.76,1.84,3695,EUR,AI,spain
2011-02-03,1.75,1.98,1.75,1.87,24538,EUR,AI,spain
2011-02-04,1.87,1.94,1.87,1.94,6087,EUR,AI,spain
2011-02-07,1.92,1.92,1.86,1.89,3880,EUR,AI,spain
2011-02-08,1.94,1.94,1.79,1.94,21035,EUR,AI,spain
2011-02-09,1.93,1.93,1.82,1.88,2941,EUR,AI,spain
