Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-15,37.0,37.41,36.99,37.34,29129,EUR,ALB,spain
2010-11-16,37.61,37.61,36.75,36.85,34807,EUR,ALB,spain
2010-11-17,36.85,37.18,36.4,36.62,52694,EUR,ALB,spain
2010-11-18,36.45,37.13,36.4,37.13,55639,EUR,ALB,spain
2010-11-19,37.96,37.96,36.8,37.12,21734,EUR,ALB,spain
2010-11-22,37.45,37.45,36.51,36.74,12089,EUR,ALB,spain
2010-11-23,36.4,37.23,36.24,36.31,59989,EUR,ALB,spain
2010-11-24,36.31,36.99,36.0,36.4,315083,EUR,ALB,spain
2010-11-25,36.27,37.43,35.81,36.19,27170,EUR,ALB,spain
2010-11-26,36.18,36.35,35.59,35.84,24922,EUR,ALB,spain
2010-11-29,35.62,36.17,35.16,35.16,43785,EUR,ALB,spain
2010-11-30,35.54,35.54,34.32,34.63,60729,EUR,ALB,spain
2010-12-01,34.71,35.55,34.52,35.44,68893,EUR,ALB,spain
2010-12-02,35.55,36.46,35.0,36.08,55861,EUR,ALB,spain
2010-12-03,35.7,36.35,35.61,36.35,26966,EUR,ALB,spain
2010-12-06,36.25,36.64,36.21,36.38,21553,EUR,ALB,spain
2010-12-07,36.3,36.9,36.28,36.32,28296,EUR,ALB,spain
2010-12-08,36.5,36.57,35.96,36.06,29219,EUR,ALB,spain
2010-12-09,36.18,36.44,36.05,36.28,14567,EUR,ALB,spain
2010-12-10,36.49,36.49,35.9,36.2,19562,EUR,ALB,spain
2010-12-13,36.4,36.4,35.86,36.08,24536,EUR,ALB,spain
2010-12-14,36.05,36.63,35.91,36.42,18554,EUR,ALB,spain
2010-12-15,36.61,36.61,36.03,36.5,22956,EUR,ALB,spain
2010-12-16,36.63,36.63,36.39,36.51,16850,EUR,ALB,spain
2010-12-17,36.42,36.75,36.08,36.2,20010,EUR,ALB,spain
2010-12-20,36.19,36.56,35.68,36.52,20622,EUR,ALB,spain
2010-12-21,36.52,37.26,36.52,37.26,31826,EUR,ALB,spain
2010-12-22,37.15,37.86,36.95,37.86,47704,EUR,ALB,spain
2010-12-23,37.6,37.98,37.6,37.74,17797,EUR,ALB,spain
2010-12-27,37.75,37.88,37.4,37.88,26776,EUR,ALB,spain
2010-12-28,37.9,37.9,37.7,37.9,12988,EUR,ALB,spain
2010-12-29,37.95,38.59,37.95,38.59,18174,EUR,ALB,spain
2010-12-30,38.6,38.67,38.4,38.46,29697,EUR,ALB,spain
2011-01-03,38.46,38.89,38.41,38.77,13805,EUR,ALB,spain
2011-01-04,38.8,38.8,38.3,38.53,28841,EUR,ALB,spain
2011-01-05,38.6,38.79,37.91,38.58,30361,EUR,ALB,spain
2011-01-06,38.8,38.83,38.05,38.05,36325,EUR,ALB,spain
2011-01-07,38.06,38.18,37.26,37.49,57711,EUR,ALB,spain
