Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2012-01-04,2.69,2.69,2.69,2.69,14870,EUR,ALC,spain
2012-01-12,2.58,2.58,2.58,2.58,250,EUR,ALC,spain
2012-01-16,2.63,2.63,2.63,2.63,200,EUR,ALC,spain
2012-01-17,2.62,2.62,2.58,2.58,800,EUR,ALC,spain
2012-01-18,2.58,2.58,2.58,2.58,1847,EUR,ALC,spain
2012-01-20,2.7,2.7,2.7,2.7,200,EUR,ALC,spain
2012-01-26,2.69,2.69,2.69,2.69,3345,EUR,ALC,spain
2012-02-14,2.69,2.69,2.69,2.69,2604,EUR,ALC,spain
2012-03-12,2.59,2.59,2.59,2.59,1941,EUR,ALC,spain
2012-03-13,2.57,2.57,2.57,2.57,1735,EUR,ALC,spain
2012-03-26,2.67,2.67,2.67,2.57,100,EUR,ALC,spain
2012-04-12,2.57,2.57,2.51,2.51,3949,EUR,ALC,spain
2012-04-25,2.57,2.57,2.51,2.51,100,EUR,ALC,spain
2012-04-30,2.57,2.57,2.57,2.57,200,EUR,ALC,spain
2012-05-22,2.58,2.58,2.58,2.58,3900,EUR,ALC,spain
2012-05-24,2.62,2.62,2.62,2.62,1920,EUR,ALC,spain
2012-05-28,2.64,2.64,2.64,2.64,1800,EUR,ALC,spain
2012-05-30,2.7,2.7,2.7,2.64,100,EUR,ALC,spain
2012-05-31,2.58,2.58,2.33,2.33,18383,EUR,ALC,spain
2012-06-01,2.44,2.48,2.44,2.48,1300,EUR,ALC,spain
2012-06-04,2.6,2.6,2.6,2.6,500,EUR,ALC,spain
2012-06-06,2.53,2.53,2.53,2.53,687,EUR,ALC,spain
2012-06-08,2.65,2.65,2.65,2.65,200,EUR,ALC,spain
2012-07-18,2.65,2.65,2.65,2.65,37,EUR,ALC,spain
2012-08-20,2.58,2.58,2.58,2.58,250,EUR,ALC,spain
2012-09-10,2.58,2.58,2.58,2.58,6630,EUR,ALC,spain
2012-09-12,2.58,2.58,2.58,2.58,1000,EUR,ALC,spain
2012-09-13,2.52,2.52,2.52,2.52,994,EUR,ALC,spain
2012-09-14,2.52,2.52,2.52,2.52,995,EUR,ALC,spain
2012-11-22,2.46,2.46,2.46,2.46,1774,EUR,ALC,spain
2012-11-23,2.4,2.4,2.4,2.4,2000,EUR,ALC,spain
2012-11-26,2.35,2.35,2.32,2.32,2000,EUR,ALC,spain
2012-11-27,2.28,2.28,2.28,2.28,1000,EUR,ALC,spain
2012-11-28,2.25,2.25,2.25,2.25,10000,EUR,ALC,spain
2012-12-05,2.25,2.25,2.25,2.25,1113,EUR,ALC,spain
2012-12-19,2.26,2.26,2.26,2.26,4402,EUR,ALC,spain
2012-12-28,2.32,2.32,2.32,2.32,1080,EUR,ALC,spain
2012-12-31,2.38,2.38,2.38,2.38,3149,EUR,ALC,spain
2013-01-22,2.39,2.39,2.39,2.39,2000,EUR,ALC,spain
2013-01-28,2.33,2.33,2.33,2.33,1000,EUR,ALC,spain
2013-01-31,2.37,2.37,2.37,2.37,12650,EUR,ALC,spain
2013-02-01,2.43,2.43,2.43,2.43,2000,EUR,ALC,spain
2013-03-20,2.43,2.43,2.43,2.43,350,EUR,ALC,spain
2013-03-25,2.49,2.49,2.49,2.49,10000,EUR,ALC,spain
2013-03-28,2.53,2.53,2.53,2.53,1100,EUR,ALC,spain
2013-04-03,2.57,2.57,2.57,2.57,5000,EUR,ALC,spain
2013-04-04,2.57,2.57,2.57,2.57,5000,EUR,ALC,spain
2013-04-09,2.6,2.6,2.6,2.6,5250,EUR,ALC,spain
2013-04-10,2.6,2.6,2.6,2.6,988,EUR,ALC,spain
2013-04-24,2.66,2.66,2.66,2.66,1000,EUR,ALC,spain
2013-04-25,2.72,2.72,2.72,2.72,950,EUR,ALC,spain
2013-04-26,2.8,2.8,2.8,2.8,5925,EUR,ALC,spain
2013-04-29,2.85,2.85,2.85,2.8,30,EUR,ALC,spain
2013-05-02,2.85,2.85,2.85,2.85,1034,EUR,ALC,spain
2013-05-03,2.85,2.85,2.85,2.85,3700,EUR,ALC,spain
2013-05-06,2.77,2.77,2.76,2.76,3000,EUR,ALC,spain
2013-05-07,2.8,2.8,2.8,2.8,1400,EUR,ALC,spain
2013-05-08,2.76,2.76,2.74,2.74,1900,EUR,ALC,spain
2013-05-14,2.8,2.8,2.8,2.8,1135,EUR,ALC,spain
2013-05-15,2.78,2.78,2.78,2.78,1071,EUR,ALC,spain
2013-05-22,2.78,2.78,2.78,2.78,5000,EUR,ALC,spain
2013-05-23,2.78,2.78,2.78,2.78,5300,EUR,ALC,spain
2013-05-27,2.81,2.81,2.81,2.81,7212,EUR,ALC,spain
2013-05-29,2.87,2.87,2.87,2.87,1000,EUR,ALC,spain
2013-05-30,2.91,2.91,2.91,2.91,900,EUR,ALC,spain
2013-05-31,2.9,2.9,2.9,2.9,300,EUR,ALC,spain
2013-06-03,2.92,2.92,2.92,2.92,900,EUR,ALC,spain
2013-06-04,2.94,2.94,2.94,2.94,800,EUR,ALC,spain
2013-06-05,2.96,2.96,2.96,2.96,1000,EUR,ALC,spain
2013-06-06,2.99,2.99,2.99,2.99,1300,EUR,ALC,spain
2013-06-07,3.02,3.02,3.02,2.89,29,EUR,ALC,spain
2013-06-10,2.96,2.96,2.96,2.96,1471,EUR,ALC,spain
2013-06-19,2.96,2.96,2.96,2.96,400,EUR,ALC,spain
2013-06-20,3.04,3.04,3.04,3.04,1000,EUR,ALC,spain
2013-06-21,3.04,3.04,3.04,3.04,798,EUR,ALC,spain
2013-06-24,3.05,3.05,3.05,3.05,329,EUR,ALC,spain
2013-06-25,3.08,3.08,3.08,3.08,8516,EUR,ALC,spain
2013-07-04,3.01,3.01,3.01,3.01,3499,EUR,ALC,spain
2013-07-05,3.0,3.0,3.0,3.0,2016,EUR,ALC,spain
2013-07-15,3.1,3.1,3.1,3.1,6994,EUR,ALC,spain
2013-07-16,3.08,3.08,3.08,3.08,3000,EUR,ALC,spain
2013-07-31,3.05,3.05,3.05,3.05,1098,EUR,ALC,spain
2013-08-08,3.04,3.04,3.04,3.05,140,EUR,ALC,spain
2013-08-09,3.05,3.05,3.05,3.05,831,EUR,ALC,spain
2013-08-26,3.1,3.1,3.1,3.05,29,EUR,ALC,spain
2013-08-28,3.1,3.1,3.1,3.1,471,EUR,ALC,spain
2013-09-04,3.1,3.1,3.1,3.1,29,EUR,ALC,spain
2013-09-05,3.13,3.13,3.13,3.13,330,EUR,ALC,spain
2013-09-06,3.13,3.13,3.13,3.13,1180,EUR,ALC,spain
2013-09-16,3.19,3.19,3.19,3.19,250,EUR,ALC,spain
2013-09-17,3.19,3.23,3.19,3.23,3855,EUR,ALC,spain
2013-09-18,3.28,3.28,3.28,3.28,950,EUR,ALC,spain
2013-09-19,3.21,3.21,3.21,3.21,2800,EUR,ALC,spain
2013-09-20,3.33,3.33,3.33,3.33,400,EUR,ALC,spain
2013-09-23,3.33,3.33,3.33,3.33,200,EUR,ALC,spain
2013-09-24,3.33,3.33,3.33,3.33,2241,EUR,ALC,spain
2013-09-25,3.34,3.34,3.31,3.31,10500,EUR,ALC,spain
2013-10-04,3.37,3.37,3.37,3.37,10500,EUR,ALC,spain
2013-10-08,3.4,3.41,3.4,3.41,2710,EUR,ALC,spain
2013-10-09,3.45,3.45,3.45,3.45,3750,EUR,ALC,spain
2013-10-10,3.41,3.41,3.4,3.4,1190,EUR,ALC,spain
2013-10-14,3.41,3.45,3.41,3.45,1345,EUR,ALC,spain
2013-10-17,3.45,3.45,3.45,3.45,9000,EUR,ALC,spain
2013-10-18,3.52,3.52,3.52,3.52,600,EUR,ALC,spain
2013-10-21,3.52,3.55,3.52,3.55,4755,EUR,ALC,spain
2013-10-22,3.61,3.69,3.61,3.69,9746,EUR,ALC,spain
2013-10-23,3.7,3.7,3.7,3.7,1400,EUR,ALC,spain
2013-10-24,3.79,3.79,3.79,3.79,1500,EUR,ALC,spain
2013-10-25,3.85,3.85,3.85,3.85,4829,EUR,ALC,spain
