Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-09-19,0.84,0.84,0.84,0.84,200000,EUR,ALFAA,spain
2011-09-20,0.84,0.84,0.84,0.84,0,EUR,ALFAA,spain
2011-09-21,0.8,0.8,0.8,0.8,15000,EUR,ALFAA,spain
2011-09-22,0.77,0.77,0.77,0.76,100000,EUR,ALFAA,spain
2011-09-23,0.72,0.72,0.72,0.74,100000,EUR,ALFAA,spain
2011-09-26,0.76,0.76,0.76,0.76,100000,EUR,ALFAA,spain
2011-09-27,0.82,0.82,0.82,0.82,100000,EUR,ALFAA,spain
2011-09-28,0.81,0.81,0.81,0.81,100000,EUR,ALFAA,spain
2011-09-29,0.81,0.81,0.81,0.81,100000,EUR,ALFAA,spain
2011-09-30,0.79,0.79,0.79,0.79,100000,EUR,ALFAA,spain
2011-10-03,0.76,0.76,0.76,0.77,100000,EUR,ALFAA,spain
2011-10-04,0.75,0.75,0.75,0.75,0,EUR,ALFAA,spain
2011-10-05,0.79,0.79,0.79,0.79,0,EUR,ALFAA,spain
2011-10-06,0.8,0.82,0.8,0.81,15000,EUR,ALFAA,spain
2011-10-07,0.84,0.84,0.83,0.84,26700,EUR,ALFAA,spain
2011-10-10,0.85,0.85,0.85,0.85,100000,EUR,ALFAA,spain
2011-10-11,0.85,0.85,0.85,0.85,0,EUR,ALFAA,spain
2011-10-12,0.86,0.86,0.86,0.85,100000,EUR,ALFAA,spain
2011-10-13,0.85,0.85,0.85,0.85,0,EUR,ALFAA,spain
2011-10-14,0.85,0.85,0.85,0.84,10000,EUR,ALFAA,spain
2011-10-17,0.85,0.85,0.85,0.85,0,EUR,ALFAA,spain
2011-10-18,0.81,0.81,0.8,0.82,201400,EUR,ALFAA,spain
2011-10-19,0.85,0.85,0.85,0.85,0,EUR,ALFAA,spain
2011-10-20,0.81,0.81,0.81,0.81,100000,EUR,ALFAA,spain
2011-10-21,0.8,0.8,0.8,0.81,10000,EUR,ALFAA,spain
2011-10-24,0.82,0.82,0.82,0.83,100000,EUR,ALFAA,spain
