Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-16,6.91,6.91,6.65,6.65,112291,EUR,ALM,spain
2010-11-17,6.62,6.72,6.58,6.66,84213,EUR,ALM,spain
2010-11-18,6.72,6.81,6.65,6.77,102375,EUR,ALM,spain
2010-11-19,6.87,6.87,6.58,6.63,155596,EUR,ALM,spain
2010-11-22,6.64,6.72,6.38,6.47,191737,EUR,ALM,spain
2010-11-23,6.38,6.48,6.28,6.28,196687,EUR,ALM,spain
2010-11-24,6.26,6.45,6.18,6.23,181228,EUR,ALM,spain
2010-11-25,6.19,6.4,6.12,6.23,116253,EUR,ALM,spain
2010-11-26,6.23,6.48,6.08,6.48,481382,EUR,ALM,spain
2010-11-29,6.48,6.71,6.25,6.32,164151,EUR,ALM,spain
2010-11-30,6.33,6.38,6.02,6.03,287341,EUR,ALM,spain
2010-12-01,6.05,6.25,6.05,6.18,148101,EUR,ALM,spain
2010-12-02,6.24,6.36,6.1,6.27,244669,EUR,ALM,spain
2010-12-03,6.31,6.44,6.22,6.43,170746,EUR,ALM,spain
2010-12-06,6.43,6.56,6.43,6.53,157708,EUR,ALM,spain
2010-12-07,6.64,6.64,6.48,6.58,142236,EUR,ALM,spain
2010-12-08,6.57,6.72,6.57,6.71,167677,EUR,ALM,spain
2010-12-09,6.72,6.75,6.58,6.6,179711,EUR,ALM,spain
2010-12-10,6.6,6.68,6.53,6.66,59081,EUR,ALM,spain
2010-12-13,6.7,6.86,6.64,6.84,289010,EUR,ALM,spain
2010-12-14,6.78,6.85,6.67,6.74,198144,EUR,ALM,spain
2010-12-15,6.73,6.73,6.57,6.65,116485,EUR,ALM,spain
2010-12-16,6.65,6.72,6.57,6.69,103530,EUR,ALM,spain
2010-12-17,6.68,6.69,6.53,6.58,107493,EUR,ALM,spain
2010-12-20,6.57,6.74,6.57,6.58,168631,EUR,ALM,spain
2010-12-21,6.69,6.69,6.56,6.68,60711,EUR,ALM,spain
2010-12-22,6.62,6.74,6.6,6.66,112953,EUR,ALM,spain
2010-12-23,6.67,6.7,6.54,6.63,119852,EUR,ALM,spain
2010-12-27,6.62,6.65,6.53,6.59,62195,EUR,ALM,spain
2010-12-28,6.51,6.7,6.51,6.7,51283,EUR,ALM,spain
2010-12-29,6.65,6.79,6.65,6.74,121110,EUR,ALM,spain
2010-12-30,6.65,6.74,6.64,6.64,60938,EUR,ALM,spain
2011-01-03,6.66,6.84,6.66,6.82,191086,EUR,ALM,spain
2011-01-04,6.89,7.06,6.86,6.99,256048,EUR,ALM,spain
2011-01-05,7.35,7.53,7.24,7.5,996767,EUR,ALM,spain
2011-01-06,7.48,7.53,7.36,7.51,190635,EUR,ALM,spain
2011-01-07,7.5,7.55,7.31,7.45,244195,EUR,ALM,spain
2011-01-10,7.42,7.47,7.32,7.32,216393,EUR,ALM,spain
2011-01-11,7.33,7.57,7.31,7.57,160742,EUR,ALM,spain
2011-01-12,7.57,7.69,7.57,7.68,174385,EUR,ALM,spain
