Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2018-07-12,6.3,6.3,6.3,6.3,1629,EUR,ALQ,spain
2018-07-13,6.3,6.3,6.3,6.3,523,EUR,ALQ,spain
2018-07-16,6.0,6.0,5.95,6.0,1000,EUR,ALQ,spain
2018-07-17,6.0,6.0,6.0,6.0,369,EUR,ALQ,spain
2018-07-25,6.0,6.0,6.0,6.0,2000,EUR,ALQ,spain
2018-08-03,6.0,6.0,6.0,6.0,2000,EUR,ALQ,spain
2018-08-16,5.95,5.95,5.95,5.95,842,EUR,ALQ,spain
2018-08-21,5.9,5.9,5.9,5.9,849,EUR,ALQ,spain
2018-08-22,5.85,5.85,5.85,5.85,856,EUR,ALQ,spain
2018-08-23,5.8,5.8,5.8,5.8,864,EUR,ALQ,spain
2018-08-24,5.85,5.85,5.8,5.8,1720,EUR,ALQ,spain
2018-08-29,5.8,5.8,5.8,5.8,537,EUR,ALQ,spain
2018-09-21,5.85,5.85,5.85,5.85,856,EUR,ALQ,spain
2018-09-24,5.8,5.8,5.8,5.8,864,EUR,ALQ,spain
2018-10-04,5.75,5.75,5.75,5.75,200,EUR,ALQ,spain
2018-11-02,5.8,5.8,5.8,5.8,344,EUR,ALQ,spain
2018-11-06,5.8,5.8,5.8,5.8,864,EUR,ALQ,spain
2018-11-21,5.8,5.8,5.8,5.8,340,EUR,ALQ,spain
2018-11-26,5.8,5.8,5.8,5.8,524,EUR,ALQ,spain
2018-11-27,5.8,5.8,5.8,5.8,864,EUR,ALQ,spain
2018-11-28,5.8,5.8,5.8,5.8,864,EUR,ALQ,spain
2018-11-29,5.75,5.75,5.75,5.75,4626,EUR,ALQ,spain
2018-11-30,5.75,5.75,5.75,5.75,374,EUR,ALQ,spain
2018-12-03,5.8,5.8,5.8,5.8,2000,EUR,ALQ,spain
2018-12-05,5.75,5.75,5.75,5.75,871,EUR,ALQ,spain
2018-12-10,5.75,5.75,5.75,5.75,1380,EUR,ALQ,spain
2018-12-13,5.75,5.75,5.75,5.75,1739,EUR,ALQ,spain
2019-01-08,5.75,5.75,5.75,5.75,0,EUR,ALQ,spain
2019-01-10,5.75,5.75,5.75,5.75,540,EUR,ALQ,spain
2019-01-23,5.6,5.65,5.6,5.6,2391,EUR,ALQ,spain
2019-01-24,5.55,5.6,5.55,5.55,902,EUR,ALQ,spain
2019-01-25,5.6,5.6,5.6,5.6,869,EUR,ALQ,spain
2019-02-19,5.6,5.6,5.6,5.6,35800,EUR,ALQ,spain
2019-02-28,5.65,5.65,5.65,5.65,961,EUR,ALQ,spain
2019-03-07,5.7,5.7,5.7,5.7,4500,EUR,ALQ,spain
2019-03-14,5.75,5.75,5.75,5.75,315,EUR,ALQ,spain
2019-03-18,5.75,5.75,5.75,5.75,300,EUR,ALQ,spain
2019-04-03,5.7,5.7,5.7,5.7,879,EUR,ALQ,spain
2019-04-11,5.7,5.7,5.7,5.7,1029,EUR,ALQ,spain
2019-04-15,5.7,5.7,5.7,5.7,2850,EUR,ALQ,spain
2019-04-16,5.65,5.65,5.65,5.65,1150,EUR,ALQ,spain
2019-04-25,5.7,5.7,5.7,5.7,764,EUR,ALQ,spain
2019-04-26,5.75,5.75,5.75,5.75,869,EUR,ALQ,spain
2019-04-29,5.8,5.8,5.8,5.8,3000,EUR,ALQ,spain
2019-04-30,5.8,5.8,5.8,5.8,3000,EUR,ALQ,spain
2019-05-03,5.8,5.8,5.8,5.8,300,EUR,ALQ,spain
2019-05-07,5.8,5.8,5.8,5.8,1880,EUR,ALQ,spain
2019-05-16,5.8,5.8,5.8,5.8,10091,EUR,ALQ,spain
2019-05-17,5.85,5.85,5.85,5.85,300,EUR,ALQ,spain
2019-06-06,5.9,5.9,5.9,5.9,400,EUR,ALQ,spain
