Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-09-19,13.18,13.32,13.025,13.2,2491668,EUR,AMA,spain
2011-09-20,13.11,13.2,12.68,12.74,3271223,EUR,AMA,spain
2011-09-21,12.79,12.8,12.16,12.4,3271875,EUR,AMA,spain
2011-09-22,12.05,12.29,11.76,11.84,2490916,EUR,AMA,spain
2011-09-23,11.91,11.98,11.21,11.575,3688856,EUR,AMA,spain
2011-09-26,11.435,12.385,11.395,12.045,3589487,EUR,AMA,spain
2011-09-27,12.55,12.55,12.185,12.295,2741858,EUR,AMA,spain
2011-09-28,12.21,12.385,11.99,12.1,1638378,EUR,AMA,spain
2011-09-29,12.075,12.285,12.0,12.01,2055862,EUR,AMA,spain
2011-09-30,11.935,12.08,11.87,12.055,1818223,EUR,AMA,spain
2011-10-03,11.855,12.115,11.845,11.985,1199427,EUR,AMA,spain
2011-10-04,11.88,11.885,11.415,11.55,1805372,EUR,AMA,spain
2011-10-05,11.76,11.94,11.72,11.94,1307525,EUR,AMA,spain
2011-10-06,12.12,12.25,11.895,12.165,3360307,EUR,AMA,spain
2011-10-07,12.245,12.26,11.725,11.98,1998153,EUR,AMA,spain
2011-10-10,12.1,12.55,11.98,12.505,1737194,EUR,AMA,spain
2011-10-11,12.5,12.69,12.4,12.6,1421966,EUR,AMA,spain
2011-10-12,12.59,12.695,12.44,12.67,1255591,EUR,AMA,spain
2011-10-13,12.7,12.85,12.52,12.64,1246372,EUR,AMA,spain
2011-10-14,12.635,13.085,12.58,12.86,1278184,EUR,AMA,spain
2011-10-17,12.985,13.03,12.76,12.82,1490131,EUR,AMA,spain
2011-10-18,12.74,13.22,12.6,13.155,2025566,EUR,AMA,spain
2011-10-19,12.65,12.88,12.53,12.77,11461441,EUR,AMA,spain
2011-10-20,12.62,12.82,12.57,12.615,2406312,EUR,AMA,spain
2011-10-21,12.715,13.0,12.62,12.945,3265996,EUR,AMA,spain
2011-10-24,13.075,13.36,12.85,13.25,2002948,EUR,AMA,spain
2011-10-25,13.19,13.3,13.09,13.25,1081996,EUR,AMA,spain
2011-10-26,13.185,13.59,13.18,13.3,2917158,EUR,AMA,spain
2011-10-27,13.8,14.01,13.365,14.01,4049219,EUR,AMA,spain
2011-10-28,14.07,14.07,13.495,13.64,2171112,EUR,AMA,spain
2011-10-31,13.49,13.795,13.46,13.66,1678417,EUR,AMA,spain
2011-11-01,13.4,13.475,13.09,13.17,2092942,EUR,AMA,spain
2011-11-02,13.375,13.555,13.1,13.13,3430018,EUR,AMA,spain
2011-11-03,12.985,13.32,12.83,13.175,5163439,EUR,AMA,spain
2011-11-04,13.245,13.48,13.05,13.14,4295461,EUR,AMA,spain
2011-11-07,13.065,13.11,12.885,13.0,3426225,EUR,AMA,spain
2011-11-08,13.015,13.335,13.015,13.2,3225577,EUR,AMA,spain
2011-11-09,13.33,13.405,12.765,12.925,3702636,EUR,AMA,spain
2011-11-10,12.635,12.68,12.34,12.545,3857023,EUR,AMA,spain
2011-11-11,12.43,12.795,12.35,12.675,2997222,EUR,AMA,spain
2011-11-14,12.8,12.8,12.52,12.575,1131239,EUR,AMA,spain
2011-11-15,12.525,12.94,12.525,12.79,2808722,EUR,AMA,spain
2011-11-16,12.765,12.88,12.59,12.68,1559781,EUR,AMA,spain
2011-11-17,12.69,12.795,12.5,12.62,1350874,EUR,AMA,spain
2011-11-18,12.555,12.65,12.44,12.48,1950193,EUR,AMA,spain
2011-11-21,12.44,12.57,12.23,12.44,1279792,EUR,AMA,spain
