Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2011-09-19,0.87,0.88,0.87,0.88,45843,EUR,AMXL,spain
2011-09-20,0.89,0.89,0.87,0.88,43074,EUR,AMXL,spain
2011-09-21,0.84,0.86,0.84,0.85,43048,EUR,AMXL,spain
2011-09-22,0.85,0.85,0.81,0.8,43000,EUR,AMXL,spain
2011-09-23,0.77,0.79,0.77,0.81,42500,EUR,AMXL,spain
2011-09-26,0.83,0.83,0.81,0.81,42000,EUR,AMXL,spain
2011-09-27,0.85,0.86,0.85,0.86,43000,EUR,AMXL,spain
2011-09-28,0.85,0.86,0.85,0.83,41596,EUR,AMXL,spain
2011-09-29,0.84,0.84,0.82,0.84,47600,EUR,AMXL,spain
2011-09-30,0.82,0.83,0.82,0.82,47194,EUR,AMXL,spain
2011-10-03,0.84,0.84,0.83,0.82,41508,EUR,AMXL,spain
2011-10-04,0.83,0.83,0.79,0.8,42000,EUR,AMXL,spain
2011-10-05,0.81,0.83,0.81,0.82,40596,EUR,AMXL,spain
2011-10-06,0.83,0.83,0.81,0.8,41296,EUR,AMXL,spain
2011-10-07,0.83,0.83,0.82,0.81,42000,EUR,AMXL,spain
2011-10-10,0.81,0.81,0.81,0.81,25000,EUR,AMXL,spain
2011-10-11,0.81,0.83,0.79,0.81,29927,EUR,AMXL,spain
2011-10-12,0.82,0.82,0.82,0.81,821,EUR,AMXL,spain
2011-10-13,0.84,0.86,0.84,0.86,41117,EUR,AMXL,spain
2011-10-14,0.87,0.87,0.85,0.85,43000,EUR,AMXL,spain
2011-10-17,0.87,0.88,0.87,0.85,40600,EUR,AMXL,spain
2011-10-18,0.85,0.86,0.84,0.84,41500,EUR,AMXL,spain
2011-10-19,0.88,0.88,0.88,0.86,40000,EUR,AMXL,spain
2011-10-20,0.86,0.87,0.86,0.84,40750,EUR,AMXL,spain
2011-10-21,0.85,0.85,0.84,0.85,17500,EUR,AMXL,spain
2011-10-24,0.86,0.88,0.86,0.86,40680,EUR,AMXL,spain
2011-10-25,0.88,0.88,0.86,0.87,42500,EUR,AMXL,spain
2011-10-26,0.88,0.88,0.88,0.88,0,EUR,AMXL,spain
2011-10-27,0.9,0.9,0.88,0.89,60894,EUR,AMXL,spain
2011-10-28,0.92,0.93,0.89,0.93,53580,EUR,AMXL,spain
2011-10-31,0.92,0.95,0.92,0.93,43000,EUR,AMXL,spain
2011-11-01,0.9,0.9,0.9,0.9,40000,EUR,AMXL,spain
2011-11-02,0.89,0.89,0.89,0.91,96,EUR,AMXL,spain
2011-11-03,0.91,0.94,0.89,0.92,42176,EUR,AMXL,spain
2011-11-04,0.94,0.94,0.94,0.92,40000,EUR,AMXL,spain
2011-11-07,0.91,0.94,0.91,0.93,41310,EUR,AMXL,spain
2011-11-08,0.95,0.95,0.92,0.93,37338,EUR,AMXL,spain
2011-11-09,0.95,0.95,0.93,0.94,41605,EUR,AMXL,spain
2011-11-10,0.94,0.94,0.93,0.94,11605,EUR,AMXL,spain
2011-11-11,0.92,0.92,0.92,0.94,11000,EUR,AMXL,spain
2011-11-14,0.96,0.96,0.94,0.95,13464,EUR,AMXL,spain
2011-11-15,0.94,0.96,0.94,0.94,14000,EUR,AMXL,spain
2011-11-16,0.95,0.95,0.94,0.93,11500,EUR,AMXL,spain
2011-11-17,0.93,0.93,0.93,0.93,11000,EUR,AMXL,spain
2011-11-18,0.91,0.91,0.9,0.91,13000,EUR,AMXL,spain
2011-11-21,0.91,0.91,0.91,0.91,0,EUR,AMXL,spain
2011-11-22,0.89,0.89,0.86,0.86,13710,EUR,AMXL,spain
2011-11-23,0.88,0.88,0.86,0.86,6710,EUR,AMXL,spain
2011-11-24,0.86,0.86,0.86,0.86,12000,EUR,AMXL,spain
2011-11-25,0.87,0.87,0.85,0.85,12100,EUR,AMXL,spain
2011-11-28,0.84,0.86,0.84,0.87,14000,EUR,AMXL,spain
2011-11-29,0.87,0.87,0.86,0.89,13000,EUR,AMXL,spain
2011-11-30,0.89,0.9,0.85,0.83,34821,EUR,AMXL,spain
2011-12-01,0.87,0.89,0.85,0.88,25800,EUR,AMXL,spain
2011-12-02,0.89,0.89,0.88,0.89,18774,EUR,AMXL,spain
2011-12-05,0.91,0.91,0.9,0.9,16000,EUR,AMXL,spain
2011-12-06,0.89,0.91,0.89,0.89,23630,EUR,AMXL,spain
2011-12-07,0.9,0.91,0.89,0.89,21505,EUR,AMXL,spain
2011-12-08,0.89,0.89,0.85,0.85,26500,EUR,AMXL,spain
2011-12-09,0.85,0.86,0.85,0.86,11500,EUR,AMXL,spain
