Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2007-11-02,210.0,213.7,209.3,213.25,167029,EUR,ANA,spain
2007-11-05,212.4,213.2,210.4,212.6,140589,EUR,ANA,spain
2007-11-06,213.9,217.3,213.15,216.55,181453,EUR,ANA,spain
2007-11-07,218.0,233.95,217.95,228.05,844394,EUR,ANA,spain
2007-11-08,226.15,249.0,223.4,241.9,1019038,EUR,ANA,spain
2007-11-09,241.9,242.0,227.0,228.35,737347,EUR,ANA,spain
2007-11-12,228.2,235.4,225.2,227.0,635627,EUR,ANA,spain
2007-11-13,225.45,226.95,215.45,222.05,648034,EUR,ANA,spain
2007-11-14,226.0,228.95,220.35,222.15,445709,EUR,ANA,spain
2007-11-15,222.2,224.95,218.65,221.05,280501,EUR,ANA,spain
2007-11-16,220.6,225.1,218.05,223.25,462374,EUR,ANA,spain
2007-11-19,222.2,227.1,212.0,213.4,283806,EUR,ANA,spain
2007-11-20,216.0,217.85,205.35,215.6,395817,EUR,ANA,spain
2007-11-21,212.2,213.85,209.1,212.75,266034,EUR,ANA,spain
2007-11-22,213.35,217.0,209.25,215.9,253139,EUR,ANA,spain
2007-11-23,217.2,219.0,215.05,216.0,294687,EUR,ANA,spain
2007-11-26,217.5,223.0,215.3,219.7,369220,EUR,ANA,spain
2007-11-27,219.65,219.65,213.1,215.75,196510,EUR,ANA,spain
2007-11-28,217.6,224.4,215.05,222.85,237489,EUR,ANA,spain
2007-11-29,226.0,228.8,223.0,228.15,282776,EUR,ANA,spain
2007-11-30,229.1,234.0,224.0,232.0,276524,EUR,ANA,spain
2007-12-03,234.1,238.0,228.0,234.5,282608,EUR,ANA,spain
2007-12-04,235.15,236.85,226.0,226.9,305207,EUR,ANA,spain
2007-12-05,229.9,233.6,228.4,232.95,318171,EUR,ANA,spain
2007-12-06,235.7,237.3,232.0,233.15,182173,EUR,ANA,spain
2007-12-07,237.05,238.45,232.95,235.25,229362,EUR,ANA,spain
2007-12-10,233.6,237.8,232.9,235.1,292749,EUR,ANA,spain
2007-12-11,237.05,238.0,228.15,229.25,380637,EUR,ANA,spain
2007-12-12,224.95,234.1,223.8,233.25,281981,EUR,ANA,spain
2007-12-13,230.0,232.9,224.0,224.1,351879,EUR,ANA,spain
2007-12-14,224.25,229.65,224.25,229.3,255465,EUR,ANA,spain
2007-12-17,226.4,228.5,222.1,222.25,206629,EUR,ANA,spain
2007-12-18,222.15,226.5,222.0,224.5,390470,EUR,ANA,spain
2007-12-19,225.6,226.6,219.55,219.75,197165,EUR,ANA,spain
2007-12-20,219.1,222.6,212.35,213.85,305216,EUR,ANA,spain
2007-12-21,220.0,221.9,215.1,219.85,244490,EUR,ANA,spain
2007-12-24,219.85,219.85,219.85,219.85,0,EUR,ANA,spain
2007-12-27,213.85,223.05,213.85,218.65,113251,EUR,ANA,spain
2007-12-28,216.2,218.6,215.0,216.85,182213,EUR,ANA,spain
2008-01-02,215.15,218.9,207.3,208.95,152358,EUR,ANA,spain
2008-01-03,207.95,212.9,204.05,210.95,368094,EUR,ANA,spain
2008-01-04,209.9,210.25,201.05,203.8,290215,EUR,ANA,spain
2008-01-07,202.85,204.6,196.9,201.5,289766,EUR,ANA,spain
2008-01-08,204.0,212.75,202.55,209.5,293178,EUR,ANA,spain
2008-01-09,207.5,209.95,202.1,206.1,410640,EUR,ANA,spain
2008-01-10,207.4,210.5,203.0,204.65,205779,EUR,ANA,spain
2008-01-11,204.6,208.3,196.4,198.3,361475,EUR,ANA,spain
2008-01-14,199.0,207.5,198.8,205.7,317612,EUR,ANA,spain
2008-01-15,202.2,204.7,196.5,198.25,237165,EUR,ANA,spain
2008-01-16,198.25,198.25,185.1,187.75,554464,EUR,ANA,spain
2008-01-17,189.2,194.5,183.0,184.75,501110,EUR,ANA,spain
2008-01-18,184.95,187.8,178.85,181.6,634433,EUR,ANA,spain
2008-01-21,179.0,179.0,165.4,166.15,643878,EUR,ANA,spain
2008-01-22,166.15,175.0,152.05,169.2,911650,EUR,ANA,spain
2008-01-23,169.2,173.0,162.55,164.65,416238,EUR,ANA,spain
2008-01-24,170.0,177.95,169.0,174.55,618348,EUR,ANA,spain
2008-01-25,176.0,180.6,172.0,172.95,538749,EUR,ANA,spain
2008-01-28,168.6,171.7,166.7,169.95,561593,EUR,ANA,spain
2008-01-29,169.95,181.5,169.95,179.95,434779,EUR,ANA,spain
2008-01-30,178.7,181.2,173.0,174.25,362508,EUR,ANA,spain
2008-01-31,175.0,178.85,166.0,169.65,639758,EUR,ANA,spain
2008-02-01,175.3,178.0,172.7,178.0,351478,EUR,ANA,spain
2008-02-04,179.9,181.5,178.25,179.5,241839,EUR,ANA,spain
2008-02-05,179.4,181.0,166.25,167.3,467397,EUR,ANA,spain
2008-02-06,165.05,170.0,165.05,168.35,336831,EUR,ANA,spain
2008-02-07,168.15,168.15,161.2,162.35,333863,EUR,ANA,spain
2008-02-08,164.95,168.3,163.0,166.85,199058,EUR,ANA,spain
2008-02-11,166.3,167.8,163.55,166.95,238464,EUR,ANA,spain
2008-02-12,169.45,174.2,165.0,173.3,266415,EUR,ANA,spain
2008-02-13,171.95,176.75,170.1,174.85,262186,EUR,ANA,spain
