Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2010-11-16,3.25,3.25,3.18,3.21,49823,EUR,APE,spain
2010-11-17,3.18,3.26,3.18,3.18,46463,EUR,APE,spain
2010-11-18,3.23,3.23,3.08,3.11,20604,EUR,APE,spain
2010-11-19,3.11,3.18,3.09,3.18,14830,EUR,APE,spain
2010-11-22,3.23,3.23,3.1,3.1,14343,EUR,APE,spain
2010-11-23,3.05,3.09,3.05,3.09,13500,EUR,APE,spain
2010-11-24,3.07,3.14,3.06,3.14,53596,EUR,APE,spain
2010-11-25,3.12,3.19,3.09,3.19,20317,EUR,APE,spain
2010-11-26,3.15,3.16,3.09,3.14,9649,EUR,APE,spain
2010-11-29,3.25,3.25,3.0,3.02,29161,EUR,APE,spain
2010-11-30,3.02,3.02,2.82,2.86,23789,EUR,APE,spain
2010-12-01,2.9,2.9,2.8,2.85,17913,EUR,APE,spain
2010-12-02,2.9,2.93,2.75,2.81,30829,EUR,APE,spain
2010-12-03,2.86,2.86,2.75,2.85,21457,EUR,APE,spain
2010-12-06,2.85,2.85,2.75,2.85,26074,EUR,APE,spain
2010-12-07,2.85,2.95,2.73,2.93,31699,EUR,APE,spain
2010-12-08,2.99,2.99,2.8,2.87,34294,EUR,APE,spain
2010-12-09,2.89,2.95,2.82,2.83,58610,EUR,APE,spain
2010-12-10,2.81,2.85,2.79,2.84,20875,EUR,APE,spain
2010-12-13,2.83,2.9,2.8,2.88,33976,EUR,APE,spain
2010-12-14,2.84,2.97,2.84,2.94,42836,EUR,APE,spain
2010-12-15,2.95,3.2,2.86,3.13,107323,EUR,APE,spain
2010-12-16,3.12,3.12,3.03,3.08,30270,EUR,APE,spain
2010-12-17,3.16,3.16,3.02,3.05,37500,EUR,APE,spain
2010-12-20,3.02,3.04,2.91,2.98,26272,EUR,APE,spain
2010-12-21,2.98,3.05,2.95,2.96,12627,EUR,APE,spain
2010-12-22,2.96,3.1,2.93,3.1,32098,EUR,APE,spain
2010-12-23,2.99,3.09,2.99,3.08,6519,EUR,APE,spain
2010-12-27,3.03,3.06,2.95,3.03,20171,EUR,APE,spain
2010-12-28,2.99,3.04,2.96,2.97,13999,EUR,APE,spain
2010-12-29,3.01,3.01,2.88,2.9,75785,EUR,APE,spain
2010-12-30,2.98,2.98,2.85,2.9,32287,EUR,APE,spain
2011-01-03,2.85,2.94,2.85,2.9,5409,EUR,APE,spain
2011-01-04,2.85,2.9,2.85,2.85,14699,EUR,APE,spain
2011-01-05,2.85,2.88,2.77,2.81,15447,EUR,APE,spain
2011-01-06,2.89,2.89,2.8,2.86,4460,EUR,APE,spain
2011-01-07,2.76,2.86,2.76,2.86,8905,EUR,APE,spain
2011-01-10,2.85,2.85,2.76,2.77,5451,EUR,APE,spain
2011-01-11,2.8,2.81,2.77,2.81,9108,EUR,APE,spain
2011-01-12,2.82,2.89,2.81,2.87,11154,EUR,APE,spain
2011-01-13,2.9,2.95,2.83,2.94,27283,EUR,APE,spain
2011-01-14,2.93,2.93,2.86,2.9,23706,EUR,APE,spain
2011-01-17,2.9,2.92,2.86,2.9,7323,EUR,APE,spain
2011-01-18,2.85,2.94,2.85,2.93,26639,EUR,APE,spain
2011-01-19,2.95,2.95,2.87,2.91,16161,EUR,APE,spain
