Date,Open,High,Low,Close,Volume,Currency,Symbol,Country
2014-05-12,15.29,15.86,15.23,15.4,1489604,EUR,APPS,spain
2014-05-13,15.48,15.7,15.31,15.7,928040,EUR,APPS,spain
2014-05-14,15.88,15.94,15.31,15.6,1097652,EUR,APPS,spain
2014-05-15,15.7,16.99,15.38,15.4,842255,EUR,APPS,spain
2014-05-16,15.63,15.63,14.9,14.9,840597,EUR,APPS,spain
2014-05-19,14.95,15.39,14.82,15.0,360624,EUR,APPS,spain
2014-05-20,15.0,15.36,14.9,15.0,399098,EUR,APPS,spain
2014-05-21,14.9,15.3,14.9,15.15,352150,EUR,APPS,spain
2014-05-22,15.27,15.99,15.0,15.72,441350,EUR,APPS,spain
2014-05-23,15.7,15.96,15.6,15.8,195866,EUR,APPS,spain
2014-05-26,15.96,16.0,15.55,16.0,228320,EUR,APPS,spain
2014-05-27,15.81,16.8,15.74,16.5,227378,EUR,APPS,spain
2014-05-28,16.5,16.5,16.12,16.39,183591,EUR,APPS,spain
2014-05-29,16.45,16.48,15.88,16.35,128867,EUR,APPS,spain
2014-05-30,16.2,16.5,16.2,16.4,108892,EUR,APPS,spain
2014-06-02,16.53,16.56,16.05,16.05,119724,EUR,APPS,spain
2014-06-03,16.14,16.14,15.57,15.92,117787,EUR,APPS,spain
2014-06-04,16.0,16.09,15.73,16.0,142703,EUR,APPS,spain
2014-06-05,16.0,16.57,15.98,16.49,222891,EUR,APPS,spain
2014-06-06,16.64,16.78,16.03,16.57,95053,EUR,APPS,spain
2014-06-09,16.6,16.6,16.07,16.2,110194,EUR,APPS,spain
2014-06-10,16.11,16.3,16.05,16.27,96564,EUR,APPS,spain
2014-06-11,16.34,16.34,16.0,16.12,40936,EUR,APPS,spain
2014-06-12,16.11,16.23,16.0,16.07,79847,EUR,APPS,spain
2014-06-13,16.01,16.18,15.96,16.0,118771,EUR,APPS,spain
2014-06-16,15.9,15.9,15.59,15.68,39586,EUR,APPS,spain
2014-06-17,15.65,15.8,15.39,15.74,129877,EUR,APPS,spain
2014-06-18,15.88,16.16,15.78,16.06,42157,EUR,APPS,spain
2014-06-19,15.91,16.44,15.91,16.2,217261,EUR,APPS,spain
2014-06-20,16.49,16.49,16.23,16.23,612517,EUR,APPS,spain
2014-06-23,17.0,17.5,16.0,16.27,395434,EUR,APPS,spain
2014-06-24,16.4,16.4,15.71,15.95,292411,EUR,APPS,spain
2014-06-25,15.95,16.1,15.73,15.81,269339,EUR,APPS,spain
2014-06-26,15.93,15.93,15.37,15.47,306955,EUR,APPS,spain
2014-06-27,15.59,15.59,14.85,15.15,365205,EUR,APPS,spain
2014-06-30,15.26,15.26,14.5,15.1,425072,EUR,APPS,spain
2014-07-01,14.97,15.02,14.18,14.5,1002536,EUR,APPS,spain
2014-07-02,14.55,14.73,14.39,14.72,403877,EUR,APPS,spain
2014-07-03,14.71,15.29,14.71,15.19,500820,EUR,APPS,spain
2014-07-04,15.26,15.59,15.22,15.55,227677,EUR,APPS,spain
2014-07-07,15.55,15.6,15.25,15.37,135015,EUR,APPS,spain
2014-07-08,15.34,15.36,15.05,15.2,125805,EUR,APPS,spain
2014-07-09,15.31,15.31,14.99,15.26,283502,EUR,APPS,spain
2014-07-10,15.24,15.31,14.75,15.0,236593,EUR,APPS,spain
2014-07-11,15.03,15.06,14.75,14.75,248920,EUR,APPS,spain
2014-07-14,14.96,15.0,14.5,14.87,161607,EUR,APPS,spain
2014-07-15,14.9,14.9,14.32,14.35,117041,EUR,APPS,spain
2014-07-16,14.36,14.6,14.22,14.4,194771,EUR,APPS,spain
2014-07-17,14.26,14.44,14.26,14.38,148786,EUR,APPS,spain
2014-07-18,14.42,14.49,14.23,14.32,51573,EUR,APPS,spain
2014-07-21,14.25,14.4,14.23,14.28,90150,EUR,APPS,spain
2014-07-22,14.3,14.35,14.1,14.3,136536,EUR,APPS,spain
2014-07-23,14.23,14.33,14.1,14.21,48766,EUR,APPS,spain
2014-07-24,14.21,14.27,14.04,14.07,60285,EUR,APPS,spain
2014-07-25,14.0,14.12,13.87,14.04,69308,EUR,APPS,spain
2014-07-28,14.21,14.45,14.11,14.13,94961,EUR,APPS,spain
2014-07-29,13.9,13.9,11.82,12.2,1853381,EUR,APPS,spain
2014-07-30,12.3,12.47,11.5,12.06,1255449,EUR,APPS,spain
2014-07-31,12.0,12.35,11.71,12.02,588916,EUR,APPS,spain
2014-08-01,11.72,11.92,11.57,11.65,619039,EUR,APPS,spain
2014-08-04,11.85,11.86,11.31,11.5,451333,EUR,APPS,spain
2014-08-05,11.6,12.12,11.38,11.9,558770,EUR,APPS,spain
2014-08-06,11.79,11.98,11.62,11.75,285654,EUR,APPS,spain
2014-08-07,11.87,12.0,11.52,11.75,1007556,EUR,APPS,spain
2014-08-08,11.67,11.88,11.63,11.76,559156,EUR,APPS,spain
2014-08-11,11.77,12.05,11.77,11.83,453553,EUR,APPS,spain
2014-08-12,11.97,11.97,11.74,11.74,235875,EUR,APPS,spain
2014-08-13,11.75,12.1,11.75,11.9,158735,EUR,APPS,spain
2014-08-14,11.95,12.09,11.88,11.9,105236,EUR,APPS,spain
2014-08-15,11.9,11.99,11.84,11.9,69989,EUR,APPS,spain
2014-08-18,11.92,12.11,11.9,11.99,41545,EUR,APPS,spain
2014-08-19,11.99,12.54,11.99,12.33,113784,EUR,APPS,spain
2014-08-20,12.38,12.38,11.9,12.05,111403,EUR,APPS,spain
2014-08-21,12.16,12.16,12.04,12.1,116939,EUR,APPS,spain
2014-08-22,12.14,12.14,11.99,12.0,168020,EUR,APPS,spain
2014-08-25,12.23,12.23,11.93,12.0,216123,EUR,APPS,spain
2014-08-26,11.93,12.27,11.9,12.2,710474,EUR,APPS,spain
2014-08-27,12.2,12.4,11.96,12.04,105855,EUR,APPS,spain
2014-08-28,11.95,12.11,11.9,11.99,77634,EUR,APPS,spain
